rank	username	minecraft:picked_up/minecraft:diamond_pickaxe
267	DaviusMaximoose	8
267	RobotMinion101	8
267	seramalen	8
267	Sharkbyte0	8
267	Jimi7hits	8
267	txxskx	8
267	True_Clipse	8
267	wezzzi	8
267	emreknugrlu	8
267	LexMakesHistory	8
267	ebanana	8
267	Manaateee	8
267	Fuad_R	8
