rank	username	minecraft:picked_up/minecraft:bone
1	Spacewardharpy7	558372
2	Hyp3rion_	266030
3	thewindmillman	249430
4	Blaiku	62881
5	Frozil20	30614
6	noam464	30208
7	Jackattack53	24187
8	MightyWertu	16973
9	TechnoNinja64	13620
10	HellsSponge	12238
11	luseis	10587
12	Legendosh	10262
13	Smoke____	9807
14	beeperbeeper5	8049
15	thescout7	7324
16	El_Jalapeno	6831
17	eitanzaki	6807
18	Mahoose	6133
19	lordpipe	5664
20	Di_infiri	5650
21	PigDab	5354
22	Akoot_	5304
23	FreakGenius	5208
24	Ezekson	5204
25	pintsizedrogue	5017
26	censorsheep	4982
27	SingedBread	4908
28	joethahobo	4526
29	TheShyPig	4124
30	YungMaki	4046
31	PhantomsGhost_	3710
32	Soplight	3311
33	PlasticOtari	3211
34	ConnorDanky_	3186
35	Blackberry1310	3047
36	sp00ky_ghost977	2921
37	Tyrannosplart	2891
38	aec9	2817
39	MattieHD	2527
40	Fullut	2510
41	rarrq	2437
42	SvenskaHugo	2366
43	Snowflowe	2351
44	eviltunix	2305
45	RebelAndroid	2297
46	EveryonesUncle	2248
47	mwrty	2221
48	Bumpy419	2196
49	_Bguette_	2149
50	KarlKaek	2141
51	Steelynan	2127
52	Enderxz3	2086
53	ooga47	2073
54	kekhon	2062
55	ebanana	2039
56	Eraxa	1991
57	SaintJosie	1965
58	Werbe	1927
59	Jovaphobic	1918
60	NomadicRobin_	1872
61	xolstoi	1788
62	vandmanden	1754
63	EMC_	1730
64	Kamflame10	1719
65	HyperCave	1697
66	Groovy_MoonBird	1692
67	Masssonnn	1686
68	Blu3beast	1658
69	ROY4LE	1558
70	Deerfoot	1557
71	BilboBaggins23	1549
72	m_be9	1531
73	PortlyPete69	1530
74	Zythose	1505
75	TheSecondLord	1467
76	StinkyDiplomat	1450
77	4774	1438
78	lcvezra	1434
79	claivin	1365
80	Corbsman	1350
81	ApophisNova	1343
81	Fildyr	1343
81	MyNamaSheff	1343
84	Arceus1975	1337
85	Iamthejo	1310
86	EcksD	1291
87	MilleGrug	1257
87	Zoeyfortnite	1257
89	SaucyDark	1253
90	WyngGoy	1237
91	RealGroot	1200
92	Xclax101	1188
93	Mewar	1186
94	AlphaWolfPlaysMC	1180
95	Skippeh	1178
96	Merv__	1176
97	eiC_	1139
98	M_Patata	1134
99	Njensen7	1111
100	mihimihimihi	1110
101	Rumpletaezer	1099
102	wezzzi	1090
103	MasterNueve	1089
104	pixelviolin	1081
105	fffMike	1065
106	bloomkieren	1052
107	NameGenerat0r	1039
108	Cowison	1035
109	500am	1029
110	Kakolbus	1027
111	gcaisawesome	987
112	MyNameIsJobo	974
113	JayToe	971
114	Maenara	962
115	ImpavidArcher	955
115	TheSeismicDuck	955
117	Yirtle	954
118	LordSpeed37	918
119	Deathkob	899
120	_Karmaa	893
121	Winklepicker279	891
122	set67	890
123	_Dean_123	888
123	Hisiste	888
125	zToasty69z	884
126	Lord_Jord	877
127	OfficerAnvil	866
128	ZA07	861
129	F_Uhre	856
130	Kowcio_	850
131	fanofbands101	847
132	Bandito_Roamer	835
133	_TCARREIRA_	831
134	jnp_gaming	823
135	DarlaMeow	786
136	Racengan	768
137	Quotary	767
138	h2p_emrld	747
139	Onennon	740
140	zOnlyKroks	733
141	Groundler	731
141	diggydog67	731
143	fr_ser	730
144	PeteO1995	723
145	TooManyDuck	718
146	WYFYoyo	704
147	Powowowow	690
148	Skylord_Luke	687
149	Zaridey	680
150	Covalents	679
151	soundad	664
152	xzvu	659
153	SuperPooch06	658
154	q_wq	655
155	SammiWolfGirl	654
156	Giannism	646
157	ougstur	645
158	chipklip	635
159	Rasmanden	631
160	Ssor69	627
161	Rebytre	624
162	Smashic	613
163	Euclidoris	610
164	Warlord324	597
165	ImDisconnected_	594
166	WET_WET_WET	589
167	gusstationwerker	569
168	Comma__	568
169	legal_tax_evader	565
169	jcool7	565
171	tuckerdoodle	563
172	Meatlaugh	562
172	Nicserso	562
174	The11thDoctor	554
175	BreadBacon	552
176	Blenderyoda	545
176	laron58	545
178	Kyrum2169	537
179	himak1	534
180	6king6colt6	533
181	youhjjhhhjj	531
181	Quaintster	531
183	calamariclam_I	516
184	non089	514
184	KingMatthew506	514
186	StabbyRoomba	511
