rank	username	minecraft:picked_up/minecraft:spruce_boat
1	Frozil12	1054
2	Arceus1975	806
3	Mahoose	652
4	TheSecondLord	599
5	beeperbeeper5	556
6	PigDab	542
7	noam464	331
8	_Dean_123	280
9	set67	277
10	pixelviolin	274
11	joethahobo	249
12	TechnoNinja64	236
13	Menthas	226
14	Akoot_	217
15	eitanzaki	213
15	Skippeh	213
17	T045RTY	193
18	ediballbearings	182
19	Soplight	175
20	rarrq	173
21	claivin	168
22	himak1	163
23	chipklip	157
24	Eraxa	146
25	kekhon	143
26	Blackberry1310	137
27	Freak_Genius	131
28	pintsizedrogue	122
28	ROY4LE	122
30	Merv__	121
31	jnp_gaming	113
32	Ezekson	110
33	MyNameIsJobo	107
34	500am	106
35	Fullut	101
36	CalebDHawk	100
37	Jackattack53	92
37	SammiWolfGirl	92
37	Smoke____	92
40	bloodbiter	89
40	EveryonesUncle	89
40	IdeallyGrey	89
43	Spacewardharpy7	87
44	Chromary	86
45	Euclidoris	80
45	stellarjay	80
47	DemTechAlpha	79
48	Comma__	78
49	Di_infiri	76
49	Rumpletaezer	76
49	EcksDofficial	76
52	BlueZabu	74
53	H72l9w	71
53	Sky_light_KING	71
55	RebelAndroid	69
55	WyngGoy	69
57	tuckerdoodle	68
57	loveseeker	68
59	Lukeee33	67
59	pappaberg	67
61	mwrty	64
62	NomadicRobin_	63
63	eviltunix	61
63	YungMaki	61
65	Guillemet	60
65	Hyp3rion_	60
65	Lord_Jord	60
68	_Bguette_	58
68	fluddd	58
68	Legendosh	58
71	HellsSponge	56
72	Hpdinosaur	55
73	Historical_Sand	54
73	xxPipperDipperxx	54
73	Vorlice	54
76	AshleeCW	53
76	fw3xywashere	53
78	Onennon	52
79	gcaisawesome	51
80	RoskobiOne	50
80	lizardfightclub	50
82	KarlKaek	49
83	Groovy_MoonBird	48
83	RodSerlingCringe	48
85	Dusk_95	47
86	Werbe	46
86	HyperCave	46
86	EcksD	46
89	MinttyFressh	45
89	andy_rex	45
89	DarlaMeow	45
89	alderban107	45
89	laron58	45
89	oxfordschool	45
89	PlasticOtari	45
96	ImpavidArcher	44
96	TheShyPig	44
96	_naturell	44
96	yulgur1	44
96	GlitchMixed	44
101	Winklepicker279	43
101	Deathkob	43
101	Steven1282598	43
101	Blaiku	43
105	SpookyDraggin	42
105	Zoeyfortnite	42
107	Nach0Bear	41
107	impossibleteapot	41
107	ooga47	41
110	SHAOBADMAN	40
110	drompje	40
110	KliBeast21	40
113	I_Am_Mushkin	39
113	Os_qq	39
113	12Magner05	39
113	TableTim	39
113	Jiminie	39
113	Razzgriz	39
113	Enderslayerxz3	39
113	Sral7	39
113	CrazyPotater	39
122	_Virify_	38
122	Vetral1	38
124	Drlzyy	37
124	Rasmanden	37
124	Deodorante	37
124	PortlyPete69	37
128	PhantomsGhost_	36
128	Kamflame10	36
128	lillips	36
128	SingedBread	36
128	MakeHistory157	36
128	BreadBacon	36
128	x86assembly	36
135	hm947	35
135	m_be9	35
135	SteveCraftBlocks	35
135	r123moore	35
135	Racengan	35
135	Kijiki	35
135	FGamerJ	35
142	SkateboardR6	34
142	sebastiensaborio	34
144	EMC_	33
