rank	username	minecraft:picked_up/minecraft:light_blue_wool
1	noam464	94880
2	joethahobo	46157
3	thewindmillman	44342
4	EcksD	19986
5	Hyp3rion_	12984
6	Hermanni__	5833
7	xxPipperDipperxx	5580
8	binman420	5117
9	mwrty	3077
10	Smoke____	2681
11	HellsSponge	1931
12	rarrq	1920
13	PhantomsGhost_	1786
14	FreakGenius	1678
15	CattSoup	1357
16	EMC_	1336
17	beeperbeeper5	1317
18	Snowflowe	1185
19	2bolx_	1158
20	RealGroot	977
21	eitanzaki	918
22	TechnoNinja64	818
23	12Magner05	735
24	mariominejedi	731
25	YungMaki	712
26	Inbefour	692
26	Mythic1130	692
28	Ezekson	662
29	ConnorDanky_	627
30	kekhon	599
31	Blackberry1310	576
32	Motsaro	501
33	Frozil20	452
33	DarlaMeow	452
35	PeteO1995	371
36	ShedJr_	344
37	Eraxa	326
38	Xclax101	322
39	TheSecondLord	321
40	Lez_	318
41	KingMatthew506	281
42	Tjhodskins19	274
42	Werbe	274
44	Legendosh	268
45	nitram49b	244
46	The11thDoctor	243
47	lordpipe	229
48	Maenara	207
49	nocturne78	203
50	Hoid_the_Roamer	202
51	Blu3beast	196
52	Mahoose	191
53	Kowcio_	182
54	Soplight	177
55	Fullut	169
56	bladeefan2009	164
57	fkGrim	155
58	TheShyPig	154
59	Bumpy419	149
60	corvidpartyfor6	148
61	Alteriity	145
62	pintsizedrogue	143
63	sadvavilloso	142
64	SammiWolfGirl	141
65	fw3xywashere	129
66	Mr_Byzantine	128
66	Swexti	128
66	WyngGoy	128
69	Di_infiri	122
70	NameGenerat0r	117
71	SaucyDark	116
72	Wooptey	114
73	Kouridragon	112
74	bigstankyy	110
75	gusstationwerker	107
76	Smashic	103
77	Rumpletaezer	101
78	ImpavidArcher	92
79	Chromary	90
80	Blaiku	85
81	The_SlideV5	76
82	RoskobiOne	72
83	MindyDooWho	69
83	olliebollie48	69
85	fanofbands101	64
86	El_Jalapeno	58
87	seanitoo	56
87	6king6colt6	56
89	Winston_Ingram	53
90	xzvu	52
91	gabriels543	45
92	djancak	43
93	fffMike	41
94	Sral7	39
95	Merv__	38
95	MattieHD	38
97	Comma__	36
97	Enderxz3	36
99	Reamdin	32
100	IamCL4SSY	31
101	Mattesco	30
102	hollowww	29
102	AlexxO_o	29
102	lillips	29
105	FishyBoy3811	28
105	Lord_Jord	28
107	RebelAndroid	27
108	DinoDoctor_	25
108	lorpus	25
108	EveryonesUncle	25
108	RoofTyler	25
112	heckface	24
113	PortlyPete69	22
113	Dogcorn69420	22
115	Arceus1975	21
116	InfernalMound	20
117	SoftSix	19
117	The_slideV3	19
119	Smussa	17
119	Fakiuss	17
121	dabloons	16
121	luseis	16
123	Skylord_Luke	14
123	MinerDec	14
123	Tyrannosplart	14
123	Jimb0nat0r	14
127	brycepants	13
127	censorsheep	13
127	Sheldor097	13
130	LAVA129	12
130	Akoot_	12
130	_Karmaa	12
133	Steelynan	11
134	GravitySaint	10
134	Kura2218	10
136	PlasticOtari	8
137	chipklip	7
137	KarlKaek	7
137	Incinere	7
137	ZeroAbyssTTV	7
137	legal_tax_evader	7
137	MustaLoordi	7
143	diamondgolem35	6
143	Crowman1	6
143	Nostrom	6
143	PigDab	6
143	Fuad_R	6
143	Groundler	6
143	monky_irl	6
143	MakeHistory157	6
143	PlzNoBM	6
143	Quotary	6
153	Franco093	5
153	AlexStrange	5
153	MrQuanQuan	5
153	handsome_strong	5
153	Spacewardharpy7	5
153	Zoeyfortnite	5
159	hzs91	4
159	LeauVox4921	4
159	burbankbuilder28	4
159	NormanFetus	4
159	Quaintster	4
159	BumbleBeever	4
159	BlankityMcBlank	4
166	500am	3
166	Mobstr	3
166	TableTim	3
166	shadowthemonkey	3
166	Jackattack53	3
166	Truckoss	3
166	LexMakesHistory	3
166	fluddd	3
166	Barlycorn	3
175	JohnnyFyes	2
175	ProbablyNick	2
175	SmashingPump	2
175	KomputerDude	2
175	Myszoaz	2
175	Historical_Sand	2
175	shyshyannne	2
175	_Dean_123	2
175	r123moore	2
175	fr_ser	2
175	kars0n	2
175	Bak3dPotater	2
175	ooga47	2
175	ChocolatePepsi	2
175	jacobsoy	2
175	StinkyDiplomat	2
175	lcvezra	2
192	Louiis123	1
192	teslawolf38	1
192	q_wq	1
192	Tommhh	1
192	hm947	1
192	T045RTY	1
192	ZaneABrain	1
192	Da_Boss_Rani	1
192	Valoth	1
192	pr33tu	1
192	GingerNeutron	1
192	SteveCraftBlocks	1
192	Covalents	1
192	Marbz_	1
192	AJplaysMC_	1
192	WET_WET_WET	1
192	Zythose	1
192	ApophisNova	1
192	AuroraSkies	1
192	420BreadLizard	1
192	ese_wn_po	1
192	marumochis	1
192	Kyrum2169	1
192	MADDMASTA	1
192	SpacesickPrism	1
192	MyNamaSheff	1
192	Kateesaur	1
