rank	username	minecraft:picked_up/minecraft:orange_banner
1	beeperbeeper5	273
2	LuvLuvLove	182
3	Werbe	137
4	Lez_	135
5	FreakGenius	134
6	eitanzaki	84
7	Mattesco	59
8	Mr_Byzantine	47
9	jnp_gaming	46
10	pintsizedrogue	35
10	Huwulling	35
10	Kowcio_	35
13	RebelAndroid	32
14	jaimshae	30
15	Fullut	28
16	_Dean_123	26
17	MixerDixer	24
17	Mahoose	24
17	r123moore	24
20	SteveCraftBlocks	20
20	Onennon	20
22	KliBeast21	18
22	cuddlyMonster	18
24	QuiCreans	17
24	Blackberry1310	17
24	Blaiku	17
24	lordpipe	17
24	pixelviolin	17
24	Eczbek	17
24	Yamdalorian	17
31	ShedJr_	16
32	rarrq	15
32	craaaash	15
32	TheShyPig	15
35	StarCookiees_	14
36	12Magner05	13
36	Hoid_the_Roamer	13
36	EveryonesUncle	13
36	Pumpkin_P_Patch	13
36	Soplight	13
41	Legendosh	11
42	joethahobo	10
42	audiocracked	10
44	Cowison	9
44	luseis	9
44	Manaateee	9
44	KamFurnace	9
48	bl1ss0	8
48	Nicserso	8
50	funeralhome	7
50	zcrk	7
50	Akoot_	7
50	blackeemperor	7
50	Eraxa	7
55	EatUrPancreas	6
55	00000000-0000-0000-0009-01ff0c3e5e4f	6
57	Merv__	5
57	HellsSponge	5
57	miramyu	5
60	Whiterooster001	4
60	TheSecondLord	4
60	Snowflowe	4
60	burbankbuilder28	4
64	ChillenChiggen	3
64	ApophisNova	3
64	Ender_Souls	3
64	Deerfoot	3
64	Xclax101	3
64	HairballHacker10	3
64	Myntsys	3
64	MakeHistory157	3
64	VentiHilton	3
64	MyNamaSheff	3
64	Enderxz3	3
75	PazinGaming	2
75	tuckerdoodle	2
75	WarHammer3	2
75	kekhon	2
75	500am	2
75	Kamflame	2
75	theonlymagikarp	2
75	noam464	2
75	avalan64	2
75	Shogunite	2
75	kyouma777	2
75	Luigipunch989	2
75	TechnoNinja64	2
88	BPTY4618	1
88	teslawolf38	1
88	CompAir	1
88	LionelHutzESQ	1
88	FlackoJonah	1
88	Swexti	1
88	bloodbiter	1
88	luvphan	1
88	Uzbeki_John	1
88	NotSoJamie	1
88	Jackattack53	1
88	milltesco	1
88	hanaryheatwave	1
88	pappaberg	1
88	oscminus	1
88	Skylord_Luke	1
88	emreknugrlu	1
88	Groundler	1
88	Buuck_	1
88	Spacewardharpy7	1
88	IdeallyGrey	1
88	ConnorDanky_	1
88	Sral7	1
88	h2p_emrld	1
