rank	username	minecraft:picked_up/minecraft:green_shulker_box
1	thewindmillman	3031
2	pintsizedrogue	2057
3	YungMaki	471
4	TheShyPig	461
5	SteveCraftBlocks	460
6	PlasticOtari	405
7	beeperbeeper5	385
8	gcaisawesome	334
9	Hyp3rion_	332
10	thescout7	328
11	Mahoose	308
12	ROY4LE	286
13	ConnorDanky_	244
14	Enderxz3	234
15	MyNameIsJobo	200
16	Yamdalorian	190
17	HellsSponge	189
18	500am	188
19	elliebelle107	181
20	lordpipe	167
21	luseis	157
22	TheSecondLord	147
22	Mattesco	147
24	Awyrlas	144
25	Blaiku	129
26	6king6colt6	123
27	Deathkob	122
28	Lez_	118
29	jnp_gaming	114
30	PortlyPete69	112
31	m_be9	111
32	Secret_Canary	110
33	Kowcio_	108
34	Mr_Byzantine	104
35	Jackattack53	101
36	pixelviolin	97
37	Snowflowe	85
37	MakeHistory157	85
37	TechnoNinja64	85
40	lorywithay	82
41	skroobiez	81
42	teslawolf38	79
43	Steelynan	78
44	Huwulling	71
45	emreknugrlu	70
46	diamondgolem35	67
46	Lutres_	67
48	Spenduh	66
49	rarrq	65
49	yulgur1	65
49	Barlycorn	65
52	Chromary	60
53	Scathra	59
54	Akoot_	58
54	EcksD	58
56	XboxPanda	57
57	Bumpy419	56
58	PhantomsGhost_	54
58	Groundler	54
60	Historical_Sand	51
60	kekhon	51
60	miramyu	51
63	Soplight	50
64	Zaridey	49
64	Manaateee	49
66	Inchef	46
67	Njensen7	45
68	MAns_44	43
69	Spacewardharpy7	41
70	Di_infiri	40
70	07shiny	40
72	EMC_	39
72	theonlymagikarp	39
74	_3Stump_	38
74	Ezekson	38
76	eitanzaki	36
77	ShedJr_	35
77	12Magner05	35
77	mwrty	35
77	fr_ser	35
77	OG_Songsee	35
82	CLG_Kata	34
82	Myszoaz	34
82	WyngGoy	34
85	MunkaKris	33
86	BPTY4618	32
86	Lukeee33	32
86	DemTechAlpha	32
86	iSammael	32
90	_Dean_123	31
91	BadenStayFly	30
91	ImpavidArcher	30
93	Krowuss	29
93	LexMakesHistory	29
93	Hisiste	29
96	noam464	28
96	Ecplosive	28
96	annebolyn	28
99	oscminus	27
99	cedric72	27
101	Fullut	26
102	NameGenerat0r	25
102	claivin	25
102	El_Jalapeno	25
105	Blackberry1310	24
105	breadbowlgamer	24
107	WET_WET_WET	23
107	KingMatthew506	23
109	Merv__	22
109	CoffeeNoir	22
109	corvidpartyfor6	22
109	_Karmaa	22
109	obzii	22
114	Freeman666	21
114	hanaryheatwave	21
114	MightyWertu	21
114	MovingFish7	21
114	Dreamdbr14	21
119	Apollo_993	20
120	Legendosh	19
121	joethahobo	18
121	Smashic	18
121	Rumpletaezer	18
124	Ozixar	17
124	Kakolbus	17
124	JayToe	17
127	Foof13	16
127	titanlax	16
127	djancak	16
130	ssleepless	15
131	PazinGaming	14
131	Crowman1	14
131	Hoid_the_Roamer	14
131	Segotep999	14
131	Jimb0nat0r	14
136	ECstardust	13
136	Hpdinosaur	13
136	Alteriity	13
136	ZaneABrain	13
136	Werbe	13
136	Blu3beast	13
136	Buuck_	13
136	kyouma777	13
144	TooManyDuck	12
144	Razzgriz	12
144	SammiWolfGirl	12
144	diggydog67	12
148	AlexxO_o	11
148	Aangezet	11
148	TruestTurnip	11
148	xzvu	11
148	non089	11
148	little_dUki	11
154	seanitoo	10
154	blackeemperor	10
154	Dogcorn69420	10
154	Sheldor097	10
154	Nicserso	10
159	pretty_pink_reno	9
159	sp00ky_ghost977	9
161	ProbablyNick	8
161	T045RTY	8
161	Auseawesome	8
161	Marbz_	8
161	fragrantmonke444	8
161	PigDab	8
161	Olib3ar	8
161	IamCL4SSY	8
161	SvenskaHugo	8
161	Skippeh	8
161	h2p_emrld	8
172	Da_Boss_Rani	7
172	MattieHD	7
172	PoogersLejit	7
172	Xalithia	7
172	pappaberg	7
172	fxiryglitch	7
172	Shogunite	7
172	Eraxa	7
172	TheKingK_	7
172	Biites	7
182	Frozil20	6
182	nattybears	6
182	Skylord_Luke	6
182	Lord_Jord	6
182	Kyrum2169	6
182	Pumpkin_P_Patch	6
182	Zoeyfortnite	6
189	MrKrabOnCoke	5
189	jushykins	5
189	xxPipperDipperxx	5
189	MinuteMira	5
189	QuesoCrusaderIII	5
189	fffMike	5
189	Sral7	5
196	ExtraDumb	4
196	King_Pancake1	4
196	Samificator	4
196	wezzzi	4
196	Xclax101	4
196	fluddd	4
196	the__Reaper4999	4
196	KamFurnace	4
196	TheWickedBird	4
205	SaucyDark	3
205	DenizSmille	3
205	MSK__	3
205	featherflyy	3
205	eclipseboi	3
205	bl1ss0	3
205	crashomon	3
205	ApophisNova	3
205	k1ngGilgamesh	3
205	F_Uhre	3
205	MyNamaSheff	3
205	FelixPSY375	3
205	TheSandwhich_	3
218	Sleepy_Evelyn	2
218	fade_emerge78823	2
218	emrekn	2
218	magykcraft	2
218	Stiar	2
218	SuperPooch06	2
218	corpsecity	2
218	DarlaMeow	2
218	rezi	2
218	Racengan	2
218	_Mythic____	2
218	BlankityMcBlank	2
218	Kekoo	2
218	jcool7	2
218	ZeroKraken	2
218	hermmm_	2
218	CattSoup	2
235	elicobnoah	1
235	JohnnyFyes	1
235	BodaciousCake	1
235	Ssor69	1
235	Euclidoris	1
235	Valoth	1
235	Halsam_six	1
235	r123moore	1
235	olliebollie48	1
235	Arceus1975	1
235	Rocco_Lane	1
235	Truckoss	1
235	Fakiuss	1
235	fw3xy74	1
235	Bl1tzFX	1
235	NomadicRobin_	1
235	audiocracked	1
235	MankMaestro	1
235	duqboy	1
235	Tyrannosplart	1
235	KSI	1
235	deleteduser3c11b	1
235	K_a__a_n	1
235	TheBananaKat	1
235	camando92	1
