rank	username	minecraft:picked_up/minecraft:light_blue_candle
1	NomadicRobin_	18
2	SingedBread	15
3	xxPipperDipperxx	8
4	PlasticOtari	4
5	Steven1282598	3
6	Mahoose	2
6	Ezekson	2
6	EcksDofficial	2
9	pintsizedrogue	1
9	joethahobo	1
9	lillips	1
9	Ilaea	1
9	Nycteus_	1
9	lordpipe	1
9	EcksD	1
9	Legendosh	1
