rank	username	minecraft:picked_up/minecraft:flow_pottery_sherd
1	thewindmillman	52
2	pixelviolin	19
3	oscminus	16
4	00000000-0000-0000-0009-01fe065167f0	12
5	Yamdalorian	11
6	Buuck_	6
7	k_ce	5
7	Enderxz3	5
9	Spaghettatron	4
10	Mr_Byzantine	1
10	CLG_Kata	1
10	MyMawgDonaldsGon	1
10	beeperbeeper5	1
10	MAns_44	1
10	cutelilreno	1
10	TheKingK_	1
