rank	username	minecraft:picked_up/minecraft:detector_rail
1	Hyp3rion_	15700
2	fffMike	2936
3	eitanzaki	934
4	Jackattack53	476
5	YungMaki	406
6	noam464	365
7	thewindmillman	214
8	HellsSponge	189
9	Spenduh	179
10	thescout7	173
11	Akoot_	141
12	censorsheep	134
12	ConnorDanky_	134
14	EMC_	113
15	FreddyFart	104
16	PigDab	102
17	Spacewardharpy7	98
18	Di_infiri	86
19	StinkyDiplomat	84
20	MattieHD	79
21	El_Jalapeno	73
22	MightyWertu	70
23	andy_rex	68
23	mihimihimihi	68
25	Shogunite	64
26	non089	63
27	AlexxO_o	60
28	joethahobo	57
29	pintsizedrogue	54
29	The_slideV3	54
31	kekhon	49
32	Skippeh	48
33	FreakGenius	46
34	EcksD	45
35	PlzNoBM	43
36	ProbsNotNova	42
37	Enderxz3	38
37	AdmiralSmoke	38
39	Groundler	35
40	GooseWithin	33
40	SkateboardR6	33
42	Jovaphobic	30
43	ProfessorBee	28
43	yatsuta	28
45	MakeHistory157	26
46	ITDV	24
47	ECstardust	23
47	Manaateee	23
49	Hiryu27	22
50	_Mythic____	21
50	pixelviolin	21
52	Historical_Sand	20
52	kalzor	20
52	FishisTTV	20
55	Blaiku	19
56	Nicky_H225	18
56	Werbe	18
58	Snowflowe	16
58	PortlyPete69	16
60	Kakolbus	15
60	Deathkob	15
60	Warlord324	15
63	Soplight	14
64	Huwulling	13
64	SvenskaHugo	13
66	PhantomsGhost_	12
66	Sleepy_Time_	12
66	Bumpy419	12
66	lizardfightclub	12
66	BumbleBeever	12
71	MilleGrug	11
72	noodlepack	10
72	SteveCraftBlocks	10
72	shadowthemonkey	10
72	MyNameIsJobo	10
76	Alteriity	9
76	Mahoose	9
76	kars0n	9
76	Racengan	9
76	Druid95	9
81	Comma__	8
81	TheDankPlatypus	8
81	Arceus1975	8
81	WhosJPG	8
81	HolyVenom	8
81	masskedman	8
81	JackyKwacky	8
81	WyngGoy	8
81	FadedSpade82	8
81	__tomato	8
81	Steelynan	8
92	Groovy_MoonBird	7
92	GingerNeutron	7
92	GLLogan2	7
92	NotMeanttoChange	7
92	The11thDoctor	7
92	groofles	7
92	_Bguette_	7
92	Barlycorn	7
92	Eraxa	7
101	Apollo_993	6
101	Merv__	6
101	ImpavidArcher	6
101	PhantomBionic	6
101	carloselpapii	6
101	12Magner05	6
101	corvidpartyfor6	6
101	PegLegPete93	6
101	jewbacaman	6
101	Drewen24	6
101	audiocracked	6
101	anbbang	6
101	JayToe	6
114	Matemax	5
114	beeperbeeper5	5
114	RIPB0ZO	5
114	prizm_	5
114	RobotMinion101	5
114	Meatlaugh	5
114	DanTheBuilderino	5
114	DolphinLaugh	5
114	UCP_TheKingK	5
114	NATE_the_HALO	5
114	TechnoNinja64	5
125	NatalieTW	4
125	BPTY4618	4
125	Natty	4
125	TheSecondLord	4
125	slkiey	4
125	TerraVl	4
125	set67	4
125	emrekn	4
125	xxPipperDipperxx	4
125	Kubelz	4
125	benediktine1	4
125	M_Patata	4
125	Rumpletaezer	4
125	Zythose	4
125	Skylord_Luke	4
125	Onennon	4
125	Lord_Zacler	4
125	Deodorante	4
125	MAns_44	4
125	AssassinAshton	4
125	Vorlice	4
125	Hisiste	4
125	_Meow_Mix	4
125	MasterNueve	4
125	07shiny	4
125	Ripzch	4
125	EngagedGrub41	4
125	OfficerAnvil	4
125	Ezekson	4
125	RadarHz	4
125	HesDemonPants	4
156	SmashingPump	3
156	Creativebuilder2	3
156	CliffEmAll	3
156	m_be9	3
156	hanaryheatwave	3
156	_Boipl_	3
156	Rasmanden	3
156	Maenara	3
156	Lord_Jord	3
156	Katsuragi0243218	3
156	ori0le	3
156	shrimp_flips	3
156	SlinkyPinky	3
156	ThatMan_Dave	3
156	Xclax101	3
156	Factoroni	3
156	sp00ky_ghost977	3
156	ayamefag	3
156	Kowcio_	3
156	starbits140	3
156	deadshot16	3
156	mawileite	3
156	Eczbek	3
156	TheBananaKat	3
156	vandmanden	3
156	The_SlideV5	3
182	MunkaKris	2
182	Bandito_Roamer	2
182	Frozil20	2
182	ExtraDumb	2
182	tuckerdoodle	2
182	lotarp	2
182	Malorn_Aetherius	2
182	Blackberry1310	2
182	eiC_	2
182	burbankbuilder28	2
182	King_Pancake1	2
182	domagawha	2
182	Rebytre	2
182	On35h0t1k1ll778	2
182	TheShyPig	2
182	LilLizardWizard	2
182	Kim_Jong_eel	2
182	TheSeismicDuck	2
182	Fuad_R	2
182	AstreaTSS	2
182	Jamstroxian	2
182	Steve897	2
182	Kyrum2169	2
182	obzii	2
182	tompup	2
182	jnp_gaming	2
182	MirielThePastor	2
182	Biites	2
182	xolstoi	2
182	00000000-0000-0000-0009-01ff0c3e5e4f	2
212	chipklip	1
212	dimondking777	1
212	Lukeee33	1
212	livingdaydreams	1
212	Batman922	1
212	Lez_	1
212	Euclidoris	1
212	_Nat666	1
212	MinttyFressh	1
212	Guillemet	1
212	Mewar	1
212	eviltunix	1
212	ImDisconnected_	1
212	Marbz_	1
212	sharckyes	1
212	ooga47	1
212	Mattesco	1
212	J4k__	1
212	Russiancat1	1
212	luseis	1
212	Fuhrer_Teemo	1
212	Darkgon	1
212	JESS_THE_RERE	1
212	Quincannon	1
212	lordpipe	1
212	Strangemonkey71	1
212	MineMaster0012	1
212	Bawbman	1
212	Juh1s	1
212	LeEricc	1
212	Quotary	1
212	OrewaSora	1
