rank	username	minecraft:picked_up/minecraft:cherry_sign
1	Lez_	176
2	skitzxo	61
3	pretty_pink_reno	52
4	OreTheBear	42
5	pintsizedrogue	32
6	Mattesco	13
7	Tersea_	11
7	lordpipe	11
7	Enderxz3	11
10	royal_2	10
11	MattieHD	9
11	StarCookiees_	9
11	TheWickedBird	9
14	bl1ss0	8
14	Kowcio_	8
16	CosmicStardustt	5
16	luseis	5
18	Frigzy_	4
18	myaccountwasgone	4
18	Alteriity	4
18	crashomon	4
18	fragrantmonke444	4
23	Lazy_geniusig	3
23	Huwulling	3
23	Synthoum	3
23	Legendosh	3
27	Mr_Byzantine	2
27	Archsam	2
27	TheSecondLord	2
27	SteveCraftBlocks	2
27	Jackattack53	2
27	oscminus	2
27	Buuck_	2
27	FiguraDei	2
27	Pumpkin_P_Patch	2
27	KamFurnace	2
27	Jimb0nat0r	2
38	Napoleonpancake	1
38	ECstardust	1
38	beeperbeeper5	1
38	Fullbit_	1
38	ee_echo_oo	1
38	Werbe	1
38	Moofyman	1
38	XxCookiequeenxX	1
38	SpigulGyro	1
