rank	username	minecraft:picked_up/minecraft:packed_ice
1	EcksD	149755
2	Eraxa	87733
3	thewindmillman	63150
4	beeperbeeper5	56576
5	noam464	53012
6	YungMaki	43267
7	HellsSponge	35771
8	Spacewardharpy7	26688
9	PlasticOtari	25516
10	Legendosh	23542
11	TheShyPig	22995
12	m_be9	18225
13	ROY4LE	17535
14	TheSecondLord	16107
15	yulgur1	15757
16	Hermanni__	15133
17	censorsheep	13696
18	Awyrlas	13546
19	Blackberry1310	11619
20	Fullut	11571
21	Groundler	11166
22	Blu3beast	11081
23	Werbe	10697
24	Hyp3rion_	9803
25	Ezekson	9783
26	joethahobo	9742
27	Kamflame10	9672
28	Mattesco	9370
29	diggydog67	9005
30	Segotep999	9002
31	jcool7	8667
32	layabout100	7992
33	Sral7	7884
34	Hisiste	7832
35	ssleepless	7770
36	Di_infiri	7571
37	BlancoFlaco	7501
38	CrateOfBoxes	6834
39	PigDab	6592
40	Onennon	6507
41	Njensen7	6149
42	pintsizedrogue	6108
43	eitanzaki	6068
44	gcaisawesome	5867
45	Snowflowe	5835
46	EveryonesUncle	5603
47	lizardfightclub	5558
48	Blaiku	5342
49	obzii	5251
50	MilleGrug	5187
51	MyNameIsJobo	5059
52	Kowcio_	5042
53	NoChumpChange	4798
54	rarrq	4772
55	stahouo	4602
56	_Dean_123	4571
57	301851	4551
58	stellarjay	4511
59	Maenara	4464
60	kekhon	4428
61	MSK__	4384
62	Racengan	4285
63	mwrty	4133
64	Historical_Sand	3880
65	Smoke____	3627
66	ReyTheLegend	3546
67	set67	3506
68	masskedman	3434
69	Frozil20	3386
70	dartwaffle	3257
71	Kakolbus	3179
72	Arceus1975	3133
73	lordpipe	3102
74	andy_rex	2948
75	fffMike	2830
76	loveseeker	2705
77	thescout7	2701
78	claivin	2585
79	PhantomsGhost_	2385
80	Steven1282598	2368
81	MightyWertu	2347
82	Winklepicker279	2327
83	iHuntWeeaboos	2316
84	_8man	2300
85	AuroraValkyrie	2296
86	jnp_gaming	2290
87	MakeHistory157	2289
88	Bumpy419	2248
89	Razzgriz	2244
90	Rocco_Lane	2211
91	RebelAndroid	2180
92	Hoid_the_Roamer	2162
93	TechnoNinja64	2143
94	EMC_	2125
95	IronArshXS	2117
96	MovingFish7	2082
97	Drlzyy	2032
98	FirsTimeGamingTV	2014
99	Akoot_	1992
100	12Magner05	1985
101	Megarboh	1955
102	Kubeusz2010	1924
103	Deathkob	1921
104	proxivitoid	1904
105	CharlieButt	1817
106	Nicserso	1814
107	Fuhrer_Teemo	1813
108	Mewar	1807
109	surfinggiraffejp	1802
110	SammiWolfGirl	1775
111	6king6colt6	1755
112	Chromary	1748
113	Jij0	1744
114	Skippeh	1729
115	_Karmaa	1669
116	OG_Songsee	1667
117	CoffeeNoir	1577
117	PortlyPete69	1577
119	eviltunix	1507
120	Armattillo	1488
121	fred870d	1478
122	AltnumberF4	1464
123	Dragonlfw	1449
124	__tomato	1411
125	Steelynan	1393
126	DolphinLaugh	1384
127	MattieHD	1373
128	H72l9w	1358
129	T045RTY	1333
130	TheTrueClipse	1324
131	tramizu	1316
132	_naturell	1305
133	pixelviolin	1295
134	XxCookiequeenxX	1294
135	500am	1286
136	_TCARREIRA_	1263
137	bigstankyy	1232
138	zmpeg	1223
139	Stynxy	1219
140	Scathra	1206
141	Merv__	1179
142	Sky_light_KING	1150
143	mawileite	1129
144	TooManyDuck	1127
145	Jorrdi	1110
146	himak1	1108
147	Jackattack53	1102
148	Cocoamallows	1077
149	I_Am_Mushkin	1068
150	Zythose	1065
151	IvarEXE	1062
152	livingdaydreams	1053
153	Donutt	1047
154	Nyxiom_	1038
155	ApophisNova	993
155	MyNamaSheff	993
157	WET_WET_WET	989
157	Enderslayerxz3	989
159	King_Pancake1	965
160	WYFYoyo	962
161	Fizznut909	950
162	EngagedGrub41	946
163	El_Jalapeno	924
164	Soplight	911
165	Kyrum2169	906
166	valiSW	881
166	SingedBread	881
168	eiC_	866
169	Myszoaz	861
170	h2p_emrld	828
171	SellyZ	818
172	KarlKaek	810
173	MousePlays	800
174	ImpavidArcher	783
175	UrbanPlanner1978	781
176	chipklip	774
177	Inchef	759
178	ShedJr_	757
179	Jiminie	753
180	JESS_THE_RERE	750
181	BreadBacon	744
182	xxPipperDipperxx	743
183	DarlaMeow	738
184	Mahoose	715
185	Vizzoid	698
186	voiding_	689
187	yatsuta	671
188	Rumpletaezer	668
189	NameGenerat0r	661
190	Lord_Zacler	660
191	IAmTheWalrus910	654
192	HesDemonPants	641
193	bloodbiter	640
194	M_Patata	587
194	MasterNueve	587
196	XeroByMyth	583
197	SteveCraftBlocks	576
197	Leyna3	576
199	tuckerdoodle	573
200	StinkyDiplomat	558
201	Bandito_Roamer	555
202	WyngGoy	553
203	Menthas	539
204	audiocracked	530
205	Iagoku	528
206	TheSeismicDuck	523
207	Ssor69	521
208	hm947	520
209	lcvezra	519
210	Quotary	511
211	Zoeyfortnite	505
212	Eczbek	503
213	Dusk_95	493
214	Groovy_MoonBird	484
215	Tolhart	475
216	Reamdin	450
216	Nagasaki_Riku	450
218	Fuad_R	439
219	MOSS000	411
220	Freak_Genius	397
221	ratglock	365
222	kinas45y5	345
223	WinterYoke	324
224	BodaciousCake	303
225	ewsophie	296
225	Paintz	296
227	Warlord324	292
228	AngalexikCZ	291
229	AshleeCW	288
230	LexMakesHistory	283
231	DaviusMaximoose	269
232	JayToe	264
233	theonlymagikarp	256
234	shrimp_flips	254
234	Barlycorn	254
