rank	username	minecraft:picked_up/minecraft:black_dye
1	thewindmillman	958459
2	noam464	58156
3	EcksD	24878
4	Frozil12	2282
5	TheShyPig	2063
6	PigDab	1919
7	Spacewardharpy7	1728
8	lillips	1127
9	EcksDofficial	1079
10	Blaiku	985
11	SingedBread	928
12	joethahobo	912
13	Franco093	608
14	Werbe	572
15	Smoke____	429
16	burbankbuilder28	403
17	CliffEmAll	329
18	Chromary	321
19	Lord_Jord	309
20	r123moore	282
21	kekhon	273
22	The_SlideV5	256
23	HellsSponge	251
24	iHuntWeeaboos	240
25	TheSecondLord	238
26	oxfordschool	197
27	seramalen	195
28	beeperbeeper5	167
29	fluddd	164
30	fffMike	155
31	El_Jalapeno	152
32	_3Stump_	150
33	pintsizedrogue	133
34	ROY4LE	125
34	Legendosh	125
34	Powowowow	125
37	PhantomsGhost_	121
38	EMC_	105
39	Comma__	103
40	eitanzaki	98
41	bigstankyy	97
42	Skippeh	96
43	Inbefour	94
44	Freak_Genius	92
45	YungMaki	90
46	Kubeusz2010	86
47	rarrq	82
47	gcaisawesome	82
47	GlitchyPlate810	82
50	jnp_gaming	81
51	__tomato	75
52	SteveCraftBlocks	73
53	Eraxa	70
54	Deathkob	67
55	lordpipe	66
56	Spenduh	65
57	_Virify_	64
57	Swexti	64
57	Fullut	64
57	Arceus1975	64
57	AltnumberF4	64
62	King_Pancake1	60
62	Shogunite	60
64	titanlax	55
65	ImpavidArcher	54
65	Blackberry1310	54
67	Kakolbus	46
68	jacxhadow	44
69	Di_infiri	43
70	_Karmaa	35
71	h2p_emrld	34
72	hm947	33
72	Akoot_	33
74	sadvavilloso	31
75	500am	28
75	Kubelz	28
77	youhjjhhhjj	24
77	Mahoose	24
77	Snowflowe	24
77	ApophisNova	24
77	MyNamaSheff	24
82	Hermanni__	23
83	p4lp	22
84	NotMeanttoChange	21
85	Steelynan	20
85	Enderslayerxz3	20
87	livingdaydreams	18
88	Avrelion	16
88	Toriankel	16
90	Eczbek	13
91	Mr_Byzantine	12
91	Cryptacity	12
91	Hiryu27	12
94	I_Am_Mushkin	11
95	susbakaimpostor	10
95	BlancoFlaco	10
95	H72l9w	10
95	MangoTheFish	10
95	HAIRYCLOUD626	10
95	audiocracked	10
95	MinuteMira	10
102	The11thDoctor	9
103	Touched_Bread	8
103	Truckoss	8
103	MightyWertu	8
103	djancak	8
103	00000000-0000-0000-0009-01ff0c3e5e4f	8
108	epiksk8erduck	7
108	Leyna3	7
110	Groovy_MoonBird	6
110	Matyyy15	6
110	LeGold	6
110	kinas45y5	6
114	Ssor69	5
114	set67	5
114	Kokeech	5
114	dartwaffle	5
114	NameGenerat0r	5
114	WYFYoyo	5
120	jushykins	4
120	Nach0Bear	4
120	AnnieBathory	4
120	RobotMinion101	4
120	Maenara	4
120	Blu3beast	4
120	Groundler	4
120	SammiWolfGirl	4
128	12Magner05	3
128	M_Patata	3
128	Hyp3rion_	3
128	Zythose	3
128	proxivitoid	3
128	MasterNueve	3
128	starbits140	3
128	CalebDHawk	3
128	_Wannabe_	3
137	SyK7	2
137	SaucyDark	2
137	himak1	2
137	gustarbite	2
137	pixelviolin	2
137	Kowcio_	2
143	Crowvens	1
143	dabloons	1
143	teslawolf38	1
143	TooManyDuck	1
143	Ryker	1
143	CoffeeNoir	1
143	Inchef	1
143	TheDankPlatypus	1
143	Ecplosive	1
143	Marbz_	1
143	eli_tschki	1
143	Queen_Jalapeno	1
143	Bumpy419	1
143	Mattesco	1
143	The_slideV3	1
143	claivin	1
143	SkateboardR6	1
143	MovingFish7	1
143	WyngGoy	1
143	Optiprimus	1
143	SSytex_X	1
143	cichy096	1
143	HesDemonPants	1
143	vandmanden	1
