rank	username	minecraft:picked_up/minecraft:spruce_trapdoor
1	Spacewardharpy7	13305
2	Mahoose	3945
3	EveryonesUncle	3527
4	HellsSponge	2904
5	Kakolbus	2518
6	500am	2177
7	ayamefag	1999
8	burbankbuilder28	1958
9	eitanzaki	1892
10	Steelynan	1538
11	pintsizedrogue	1392
12	noam464	1351
13	m_be9	1196
14	Racengan	1194
15	ImpavidArcher	1151
16	Ezekson	1138
17	PlasticOtari	1077
18	Historical_Sand	1029
19	kekhon	974
20	EcksDofficial	935
21	loveseeker	832
22	TheSecondLord	821
23	XboxPanda	820
24	Merv__	819
25	EMC_	782
26	Legendosh	752
27	Jiminie	730
28	Enderslayerxz3	685
29	Fullut	660
30	Soplight	624
31	Inbefour	597
32	joethahobo	591
33	Blackberry1310	589
33	Di_infiri	589
33	Onennon	589
36	Groundler	576
37	Eraxa	557
38	Smoke____	511
39	ApophisNova	503
39	MyNamaSheff	503
41	Arceus1975	467
42	beeperbeeper5	432
43	rarrq	426
44	MyNameIsJobo	399
45	TheShyPig	394
46	Chromary	373
47	pixelviolin	371
48	thescout7	361
49	Rebytre	357
50	Freak_Genius	350
51	TheOuterCore	345
52	CalebDHawk	340
53	Akoot_	338
54	Slapface522	323
55	Cowison	321
56	SvenskaHugo	315
57	RodSerlingCringe	313
58	soundad	309
59	YungJakobo	308
60	KarlKaek	305
60	Cryptacity	305
62	__Fanda__	304
63	jacxhadow	291
64	titanlax	284
65	Kyrum2169	280
66	lcvezra	279
67	Skylord_Luke	278
68	fkGrim	277
69	_Dean_123	269
70	__tomato	268
71	thewindmillman	252
72	Jackattack53	249
73	xxPipperDipperxx	247
74	Snowflowe	239
74	anbbang	239
76	Ssor69	237
77	oxfordschool	233
78	Werbe	227
78	Frozil12	227
80	_Karmaa	226
81	Dusk_95	223
81	Kowcio_	223
83	fr0stss	222
84	Winklepicker279	211
85	NomadicRobin_	197
86	2Stout	195
87	Meatlaugh	190
88	PigDab	175
89	Groovy_MoonBird	172
90	SteveCraftBlocks	166
91	RatatJuice	164
92	_Bguette_	160
93	RobotMinion101	155
94	MyNameIsDakar	151
95	PortlyPete69	149
96	wwwwinnebagoooo	145
96	YungMaki	145
98	Skippeh	142
99	Crowvens	141
100	Mr_Byzantine	140
101	Inchef	132
102	wezzzi	131
103	ogoa	128
104	SuperPooch06	124
105	KingMatthew506	122
106	SokaOtaku	118
107	_stets	116
108	UCP_TheKingK	112
109	groofles	111
110	Prismyst	110
110	MangoTheFish	110
110	Eczbek	110
113	diamondgolem35	107
113	gabriels543	107
115	stahouo	103
116	Hermanni__	102
117	Malorn_Aetherius	98
118	6king6colt6	97
118	Deathkob	97
120	John6970	96
120	Rumpletaezer	96
122	12Magner05	94
122	Lord_Doob	94
124	Quotary	91
125	LexMakesHistory	89
126	CSG_Haru	88
127	pappaberg	86
128	valkam13	83
129	Bumpy419	81
130	prizm_	80
131	NotMeanttoChange	79
132	Tommhh	74
132	XxCookiequeenxX	74
132	MilleGrug	74
135	H72l9w	73
136	Felenov	72
137	Sleek_Storm_721	70
138	Myszoaz	69
138	Jeteight	69
140	Blaiku	68
141	Huwulling	67
141	claivin	67
141	MustaLoordi	67
144	Hpdinosaur	66
145	Da_Boss_Rani	65
146	awesomeoneme	64
147	set67	63
147	kyouma777	63
149	M_Patata	62
149	FGamerJ	62
151	The_slideV3	59
151	07shiny	59
153	NatrixxddxYT	58
153	MasterNueve	58
153	2blox	58
156	dopplexd	57
156	CrookedKaptain	57
156	LeauVox4921	57
156	El_Jalapeno	57
156	Nycteus_	57
156	jnp_gaming	57
162	Frozt99	55
162	Smashic	55
164	r123moore	54
164	Shiirazuku	54
164	Sky_light_KING	54
164	Shogunite	54
164	TechnoNinja64	54
169	Xclax101	53
169	YoshikageBites	53
169	diggydog67	53
172	_8man	52
173	Auseawesome	51
173	JESS_THE_RERE	51
175	SaucyDark	50
175	cowgirlkasia	50
175	shyshyannne	50
175	_Cloverbelle_	50
179	Bucscw24	49
180	PhantomsGhost_	48
180	Kkanot	48
180	MightyWertu	48
183	Dedalus36	46
183	ChocolatePepsi	46
185	ShedJr_	45
185	MovingFish7	45
187	xorompole	44
188	NameGenerat0r	42
188	Blu3beast	42
188	erkada	42
188	MeetTheWollo	42
192	Natty	41
192	Marbz_	41
192	MonitorLizards	41
192	MakeHistory157	41
192	ReyTheLegend	41
192	ZoomieZoomie	41
198	Fildyr	40
198	vandmanden	40
200	numbra	39
200	DermeinUser	39
200	SammiWolfGirl	39
203	SaltineDream	38
203	hm947	38
203	_naturell	38
206	NotMeowMix	37
206	obzii	37
208	Armattillo	36
208	tsitrawhy	36
210	littlesophiagirl	35
210	T045RTY	35
210	SpaceGrenadier	35
210	Stiar	35
210	purpolepickle	35
210	BlueZabu	35
210	HolyVenom	35
210	AuroraSkies	35
210	SkateboardR6	35
219	Zythose	34
219	DC_XII	34
219	the_russell1611	34
219	Kubeusz2010	34
223	BlancoFlaco	33
223	Ryker	33
223	SlayerCrypto	33
226	I_Am_Mushkin	31
226	bloodbiter	31
226	Barlycorn	31
226	Pickel_Lord	31
226	_KuruKuru	31
231	Flores991	30
231	Sleepy_Time_	30
231	NieToksikpl	30
234	AlazelTheReal	29
234	Ravenbie	29
234	ADEXTV	29
234	DarkS0L	29
234	MineMaster0012	29
234	alkrie	29
240	tuckerdoodle	28
240	SquadMonster	28
240	SourPapaSmurf	28
240	XeroByMyth	28
244	_Boipl_	27
244	EcksD	27
246	elleparo	26
246	ProfessorBee	26
246	UncreativeArtist	26
249	ColeSnyder	25
249	drompje	25
249	Jimi7hits	25
249	Lord_Jord	25
253	Jovaphobic	24
253	Swexti	24
253	FirsTimeGamingTV	24
253	PegLegPete93	24
253	Solar_Power	24
253	TheTrueClipse	24
253	Wowful	24
253	chipklip	24
253	lordpipe	24
262	IforgotCS_Source	23
262	Vetral1	23
262	Soap_Bender	23
262	StinkyDiplomat	23
262	CACTUSLAD	23
267	seanitoo	22
268	q_wq	21
268	ElectricDragon81	21
268	TheGameArchitect	21
268	Nicserso	21
268	561cool	21
273	Hoid_the_Roamer	20
273	ProfessorDiaper	20
273	fffMike	20
276	AuroraValkyrie	19
276	lewieinnit	19
276	DinoDoctor_	19
276	TooManyDuck	19
276	MinttyFressh	19
276	Megarboh	19
276	TheDankPlatypus	19
276	Kokeech	19
276	Aangezet	19
276	Teebone15	19
286	Mewar	18
286	thgrocks	18
286	_3Stump_	18
289	Incinere	17
289	jushykins	17
289	drumine	17
289	WyngGoy	17
289	WYFYoyo	17
294	SDMNAEK	16
294	LotusProject	16
294	fallingemma	16
294	Karetoko	16
294	fr_ser	16
294	Jiminbub	16
294	SexcMf	16
