rank	username	minecraft:picked_up/minecraft:red_stained_glass_pane
1	pintsizedrogue	989
2	beeperbeeper5	803
3	joethahobo	760
4	EMC_	568
5	Eraxa	560
6	Kowcio_	490
7	luseis	464
8	fffMike	293
9	k_ce	273
10	Lez_	251
11	Huwulling	235
12	El_Jalapeno	218
13	TheShyPig	209
14	jnp_gaming	184
15	Manaateee	163
16	IamCL4SSY	127
17	FreakGenius	124
18	craaaash	92
19	VentiHilton	83
20	Mahoose	80
21	r123moore	79
21	Jimi7hits	79
23	Groundler	75
24	Spacewardharpy7	73
25	TechnoNinja64	72
26	Tyrannosplart	71
27	MousePlays	64
28	pixelviolin	58
29	Crowman1	57
30	jacxhadow	49
30	wTXop	49
32	Krowuss	45
33	Snowflowe	37
34	Spenduh	32
34	es0th	32
36	_Huge_Male_	30
36	Mattesco	30
38	Blackberry1310	29
38	TheSecondLord	29
38	Lord_Jord	29
38	GoofyBread	29
42	Enderxz3	26
43	SaucyDark	24
44	bloodbiter	23
44	miramyu	23
46	F_Uhre	22
47	MakeHistory157	20
48	rarrq	19
48	Blaiku	19
50	eitanzaki	18
50	Quaintster	18
50	AssFullaCum	18
53	m_be9	17
54	CoffeeNoir	16
55	__tomato	15
56	M_Patata	14
56	AJplaysMC_	14
56	lordpipe	14
56	MasterNueve	14
60	livingdaydreams	13
61	12Magner05	12
61	doublemaki	12
63	Onennon	11
63	Ezekson	11
63	Yamdalorian	11
66	Marbz_	10
66	Werbe	10
66	TheTommyGun63	10
66	ConnorDanky_	10
70	Steelynan	9
71	QuiCreans	8
71	royal_2	8
71	emrekn	8
71	ROY4LE	8
71	bluemage31	8
71	Spaghettatron	8
77	Groovy_MoonBird	7
77	McCakeAh	7
77	Vol_Rod33	7
77	Blu3beast	7
77	Pumpkin_P_Patch	7
77	laron58	7
77	DairyNickel756	7
84	CLG_Kata	6
84	Merv__	6
84	Ryan_GEMS	6
84	MrExplorer	6
84	kekhon	6
84	oscminus	6
84	EcksD	6
84	PlasticOtari	6
92	Mr_Byzantine	5
92	ImpavidArcher	5
92	Hpdinosaur	5
92	UncreativeArtist	5
92	mwrty	5
92	noam464	5
92	NomadicRobin_	5
92	HellsSponge	5
92	Quotary	5
101	Incinere	4
101	BobDeBouwer1337	4
101	xxPipperDipperxx	4
101	claivin	4
101	SammiWolfGirl	4
106	ProbablyNick	3
106	PhantomsGhost_	3
106	Isaac70096	3
106	MinttyFressh	3
106	500am	3
106	Nach0Bear	3
106	Chromary	3
106	Soplight	3
106	Winston_Ingram	3
106	Jimb0nat0r	3
106	TheWickedBird	3
117	BadenOnGod	2
117	PazinGaming	2
117	ZaneABrain	2
117	titanlax	2
117	philandr	2
117	Gzrdy	2
117	Hyp3rion_	2
117	Bumpy419	2
117	RobotMinion101	2
117	zToasty69z	2
117	Akoot_	2
117	Deathkob	2
117	NameGenerat0r	2
117	SexcMf	2
117	ElectricDragon81	2
117	obzii	2
117	FelixPSY375	2
117	HesDemonPants	2
117	trexgb	2
136	vvhing	1
136	TooManyDuck	1
136	jushykins	1
136	_Dean_123	1
136	bbquakes	1
136	thescout7	1
136	Awyrlas	1
136	pumpfonzo	1
136	__Fanda__	1
136	CarltheCuck	1
136	Di_infiri	1
136	Jackattack53	1
136	ApophisNova	1
136	ooga47	1
136	Macho_Tacos	1
136	EveryonesUncle	1
136	emreknugrlu	1
136	DarlaMeow	1
136	Racengan	1
136	Optiprimus	1
136	SvenskaHugo	1
136	MyNamaSheff	1
136	aubergined	1
