rank	username	minecraft:picked_up/minecraft:sweet_berries
1	ShedJr_	12064
2	Lez_	10067
3	luseis	8400
4	FreakGenius	7800
5	beeperbeeper5	5832
6	kekhon	4993
7	hanaryheatwave	3933
8	Mr_Byzantine	3811
9	Felenov	3627
10	Legendosh	3594
11	Akoot_	3469
12	thgrocks	3131
13	SammiWolfGirl	2886
14	Ezekson	2810
15	pintsizedrogue	2779
16	EngagedGrub41	2658
17	Blackberry1310	2428
18	Yamdalorian	2427
19	Enderxz3	2323
20	Boipl	1995
21	LeauVox4921	1865
22	KingMatthew506	1855
23	jnp_gaming	1853
24	bloodbiter	1672
25	Arceus1975	1669
26	NomadicRobin_	1647
27	FiguraDei	1559
28	AspenLightVT	1546
29	UncreativeArtist	1538
30	TheShyPig	1448
31	Soplight	1404
32	nut_e	1360
33	NoChumpChange	1322
34	The_slideV3	1257
35	not_a_duck_23	1203
36	crying_wolf_13	1195
37	ooga47	1190
38	Mahoose	1185
39	Luigipunch989	1177
40	Merv__	1174
41	xxPipperDipperxx	1168
42	Fullut	1157
43	thewindmillman	1139
44	Juansinmiedo18	1121
45	SuperPooch06	1118
45	Sqwishy	1118
47	k_ce	1113
48	TechnoNinja64	1080
49	oscminus	1076
50	drunkeeez	1070
51	rarrq	1028
52	Eraxa	1007
53	EveryonesUncle	995
54	CalebDHawk	991
55	HellsSponge	961
56	claivin	917
57	Dakar_	891
58	StinkyDiplomat	881
59	Tiberonus	868
60	Spacewardharpy7	849
61	Hyp3rion_	819
62	fffMike	809
63	iElijahi	808
64	legal_tax_evader	799
65	shadowthemonkey	762
66	Hpdinosaur	741
66	2Stout	741
68	joethahobo	737
69	Saucepeh	734
70	lordpipe	716
71	set67	704
72	ProfessorBee	694
73	Killercatty78	689
74	Optiprimus	666
75	weabis	653
76	m_be9	624
76	emreknugrlu	624
78	SomeWanderer	605
79	royal_2	590
80	_stets	576
81	ROY4LE	562
82	Blu3beast	556
83	Gregward_Smith	554
84	KamFurnace	548
85	LordAurum	544
86	Kubeusz2010	532
87	PhantomsGhost_	516
88	Manaateee	510
89	rotten_mango	507
90	eitanzaki	503
91	SteveCraftBlocks	477
91	skitzxo	477
93	PlasticOtari	476
94	ApophisNova	471
94	TheWildMateo	471
94	MyNamaSheff	471
97	The11thDoctor	461
98	aldplaysmc	457
99	shineh10	456
99	TheRealAndrin	456
101	UrbanPlanningEx	450
102	SyntheticSurgeon	449
102	MoistMicrowave	449
104	Kowcio_	426
105	MightyWertu	424
106	T045RTY	422
107	500am	421
108	GooseWithin	420
109	Hiryu27	417
110	BlancoFlaco	415
111	ratglock	407
112	diggydog67	405
113	TooPure2	404
114	catandmoose	394
115	wiqor	385
116	Swexti	380
117	masskedman	379
118	Zee_zey	378
118	MovingFish7	378
120	q_wq	375
121	_Dean_123	372
122	Kura2218	369
123	annebolyn	366
123	WYFYoyo	366
125	SvenskaHugo	357
126	MonitorLizards	355
127	burbankbuilder28	354
128	Moetis	352
129	valiSW	350
130	soundad	349
130	ILoveCarrot	349
132	PazinGaming	344
132	jcool7	344
134	miramyu	341
135	pretty_pink_reno	340
136	excelsionprime	338
137	corvidpartyfor6	333
138	NebulousBadger	332
139	Schlitzman	330
140	YungMaki	328
141	ImpavidArcher	321
142	noam464	318
143	CharlieButt	314
144	Groovy_MoonBird	313
145	EMC_	312
146	_themselves	311
147	Pumpkin_P_Patch	310
148	6king6colt6	309
149	00000000-0000-0000-0009-01ff0c3e5e4f	307
150	parodypatient	305
151	TooManyDuck	304
152	sandmire	297
153	jushykins	296
153	KGTV	296
155	EcksD	295
156	djancak	294
157	Hahaa_0	289
158	out1s	287
159	wwwwinnebagoooo	286
160	_vlex	285
161	Sheldor097	283
162	Cats_Fly	281
163	Inchef	280
164	SnowyAvi	279
165	Frozil20	275
166	sp00ky_ghost977	274
167	eviltunix	271
168	Buuck_	270
169	Cocoamallows	267
170	Burge_r	265
170	robotemo	265
172	Mr_Gulle_	264
173	Segotep999	262
174	crashomon	258
175	RebytreGT	250
175	ProfessorDiaper	250
177	balin55	249
178	Eczbek	247
179	cheerytomato	244
180	Peeing	243
181	fluddd	241
182	Kakolbus	239
182	_Meow_Mix	239
184	ChampPog_	237
184	Powowowow	237
