rank	username	minecraft:picked_up/minecraft:rooted_dirt
1	500am	1223
2	EMC_	838
3	Rebytre	751
4	Jiminie	716
5	Enderslayerxz3	590
6	pintsizedrogue	529
7	Legendosh	485
8	Segotep999	480
9	RebelAndroid	337
10	Smoke____	314
11	Jackattack53	302
12	pixelviolin	297
13	12Magner05	287
14	PlasticOtari	163
15	Frozil12	149
16	TheALV	122
17	Miko_Fullbuster	101
18	Steelynan	86
19	AuroraSkies	81
20	MSK__	80
21	Yahir091	67
22	Mahoose	58
23	MilleGrug	36
24	Klerick	19
25	Kakolbus	18
26	Blackberry1310	16
26	NomadicRobin_	16
28	2blox	11
29	beeperbeeper5	9
30	Lord_Zacler	8
30	AltnumberF4	8
32	thewindmillman	7
33	Kowcio_	6
33	Skippeh	6
35	ImpavidArcher	5
35	CoffeeNoir	5
35	Jimi7hits	5
38	hm947	4
38	Toriankel	4
40	KarlKaek	3
40	himak1	3
40	Inchef	3
40	Arceus1975	3
40	_Boipl_	3
45	TheSecondLord	2
45	xxPipperDipperxx	2
45	Hyp3rion_	2
45	EveryonesUncle	2
45	fluddd	2
45	SammiWolfGirl	2
45	00000000-0000-0000-0009-01f898304150	2
52	Groovy_MoonBird	1
52	Ryker	1
52	ShedJr_	1
52	rarrq	1
52	Winklepicker279	1
52	DarkS0L	1
52	_Karmaa	1
52	Freak_Genius	1
