rank	username	minecraft:picked_up/minecraft:music_disc_strad
1	Blu3beast	204
2	HellsSponge	98
3	Soplight	87
4	kekhon	53
5	Xclax101	52
6	Merv__	34
7	pintsizedrogue	32
8	H72l9w	30
8	Inchef	30
10	Zoeyfortnite	29
11	Mahoose	28
12	TechnoNinja64	26
13	claivin	24
14	_Bguette_	21
15	12Magner05	20
15	Jackattack53	20
17	Maenara	19
18	heckface	18
18	Skylord_Luke	18
20	ImpavidArcher	16
20	CalebDHawk	16
22	ShedJr_	15
22	beeperbeeper5	15
22	surfinggiraffejp	15
25	PhantomsGhost_	14
25	Awyrlas	14
27	eitanzaki	13
27	youhjjhhhjj	13
27	Fullut	13
27	Hyp3rion_	13
27	Steelynan	13
27	Ezekson	13
33	chipklip	12
33	lcvezra	12
35	Rebytre	11
35	Werbe	11
35	Eraxa	11
35	Legendosh	11
39	Hpdinosaur	10
39	_Dean_123	10
39	YungMaki	10
42	Blackberry1310	9
42	RobotMinion101	9
44	bloodbiter	8
44	alderban107	8
46	Incinere	7
46	joethahobo	7
46	Akoot_	7
46	Njensen7	7
46	jnp_gaming	7
51	chimpmunker	6
51	rarrq	6
51	SteveCraftBlocks	6
51	ROY4LE	6
51	Di_infiri	6
51	Inbefour	6
51	fluddd	6
51	ediballbearings	6
51	stahouo	6
60	6king6colt6	5
60	mwrty	5
60	xxPipperDipperxx	5
60	thgrocks	5
60	yulgur1	5
60	PartyPhoenix	5
60	Airem_Core	5
60	Dusk_95	5
60	SammiWolfGirl	5
60	kinas45y5	5
70	Euclidoris	4
70	TheSecondLord	4
70	Lumien_	4
70	ese_wn_po	4
70	Freak_Genius	4
70	Frozil12	4
70	SingedBread	4
70	Warlord324	4
70	pixelviolin	4
70	Spenduh	4
70	_3Stump_	4
70	Enderslayerxz3	4
82	Dedalus36	3
82	hm947	3
82	set67	3
82	r123moore	3
82	noam464	3
82	loveseeker	3
82	MyNameIsJobo	3
82	Chromary	3
82	Rumpletaezer	3
82	Arceus1975	3
82	Donutt	3
82	Onennon	3
82	Jiminie	3
82	Deodorante	3
82	NameGenerat0r	3
82	El_Jalapeno	3
82	Blaiku	3
82	BumbleBeever	3
82	Godspirit249	3
82	Dreamdbr14	3
82	Hermanni__	3
82	PlasticOtari	3
104	abramgray	2
104	MOSS000	2
104	Valoth	2
104	BobDeBouwer1337	2
104	ProfessorBee	2
104	switchNat	2
104	Mewar	2
104	2Stout	2
104	Resner	2
104	M_Patata	2
104	SuperPooch06	2
104	Zythose	2
104	Bumpy419	2
104	msJabberwock	2
104	CruncyIsTaken	2
104	fred870d	2
104	epiksk8erduck	2
104	Nicky19	2
104	AlphaWolfPlaysMC	2
104	KnightmareD	2
104	audiocracked	2
104	DTwenty	2
104	GravitySaint	2
104	MasterNueve	2
104	Cocoamallows	2
104	Nagasaki_Riku	2
104	alkrie	2
104	fffMike	2
104	MilleGrug	2
104	Powowowow	2
104	JayToe	2
104	Smoke____	2
104	FishisTTV	2
137	Groovy_MoonBird	1
137	MixerDixer	1
137	Sabby65	1
137	T045RTY	1
137	ZaneABrain	1
137	Whiterooster001	1
137	Prodiginus	1
137	Kalwag	1
137	Comma__	1
137	jushykins	1
137	MattieHD	1
137	500am	1
137	CyrusIsTired	1
137	Kkanot	1
137	Candad_	1
137	KingEgg1	1
137	Avrelion	1
137	Winklepicker279	1
137	WET_WET_WET	1
137	drompje	1
137	Oliver_Frost	1
137	HAIRYCLOUD626	1
137	ApophisNova	1
137	The11thDoctor	1
137	MinerDec	1
137	Sky_light_KING	1
137	ILoveCarrot	1
137	Lord_Jord	1
137	wezzzi	1
137	fw3xywashere	1
137	Sara	1
137	TheFireTurtle	1
137	OverallConcept	1
137	DarlaMeow	1
137	Quaintster	1
137	Racengan	1
137	Spacewardharpy7	1
137	Xovalt_	1
137	sp00ky_ghost977	1
137	layabout100	1
137	stavgod	1
137	IdeallyGrey	1
137	BlankityMcBlank	1
137	_TCARREIRA_	1
137	ItsJunoIGuess	1
137	Sheldor097	1
137	oxfordschool	1
137	EcksD	1
137	MyNamaSheff	1
137	little_dUki	1
137	2blox	1
137	h2p_emrld	1
