rank	username	minecraft:picked_up/minecraft:redstone_ore
1	joethahobo	15339
2	Werbe	9842
3	AssEatrAndLicker	9245
4	noam464	9105
5	Spacewardharpy7	7388
6	PhantomsGhost_	7190
7	gcaisawesome	7089
8	HellsSponge	5224
9	Blaiku	5053
10	EMC_	4204
11	lordpipe	4018
12	Smoke____	3780
13	EcksD	3450
14	eitanzaki	3231
15	thewindmillman	3079
16	Ezekson	2936
17	TheShyPig	2894
18	Hyp3rion_	2759
19	YungMaki	2441
20	Hoid_the_Roamer	2179
21	TheThomas69	2114
22	Deathkob	2014
23	Kakolbus	1932
24	Skippeh	1927
25	PigDab	1839
26	Snowflowe	1826
27	Zythose	1788
28	Cowison	1786
29	Barlycorn	1699
30	oxfordschool	1645
31	BobDeBouwer1337	1574
32	set67	1536
33	xDzarkious	1487
34	OtariCharlie	1414
35	Hisiste	1394
36	RebelAndroid	1337
37	Mahoose	1306
38	Di_infiri	1285
39	BumbleBeever	1262
40	Enderslayerxz3	1230
41	Freak_Genius	1184
42	EveryonesUncle	1019
43	diamondgolem35	1013
44	Fullut	957
45	TheSecondLord	935
46	Lord_Jord	933
47	Mewar	928
48	beeperbeeper5	875
49	livingdaydreams	859
50	NomadicRobin_	842
51	Miko_Fullbuster	811
52	Jackattack53	781
53	sebastiensaborio	776
54	NoChumpChange	772
55	Soap_Bender	761
56	kekhon	721
57	Akoot_	683
58	Scathra	682
59	12Magner05	680
60	Maenara	675
60	Frozil12	675
62	CoffeeNoir	666
63	SpaceGrenadier	650
64	MangoTheFish	637
65	Quotary	630
66	claivin	626
67	Arceus1975	620
68	ApophisNova	605
68	MyNamaSheff	605
70	audiocracked	591
71	BodaciousCake	588
72	Natofthese	579
73	TheSeismicDuck	571
74	Soplight	570
75	Smiguli_	565
76	Sky_light_KING	564
77	MyNameIsJobo	553
78	Groundler	534
78	KG1999	534
80	jcool7	515
81	Historical_Sand	514
82	Blackberry1310	513
83	Inchef	505
84	pintsizedrogue	504
85	Corbsman	494
86	T045RTY	486
86	Hermanni__	486
88	Franco093	480
88	El_Jalapeno	480
90	Vetral1	479
91	m_be9	474
92	ClemenPine	467
93	500am	461
94	SingedBread	454
95	NameGenerat0r	447
96	FirsTimeGamingTV	432
97	thescout7	428
98	ssleepless	426
99	ivorico	404
100	SammiWolfGirl	386
101	WyngGoy	384
102	MSK__	382
103	Yatitay	378
104	ItsJunoIGuess	369
104	anbbang	369
106	M_Patata	358
106	Rocco_Lane	358
106	MasterNueve	358
109	Roosje69	353
110	obzii	351
111	gaziter10	338
112	SellyZ	329
112	jnp_gaming	329
114	Bumpy419	315
115	Jij0	314
116	ROY4LE	313
117	Steven1282598	311
118	SlayerCrypto	310
119	ShedJr_	309
119	r123moore	309
121	ogoa	306
122	PlzNoBM	305
123	Fuhrer_Teemo	304
124	DTwenty	300
125	TooManyDuck	296
126	MissCeleste7	290
127	Eraxa	288
128	Vorlice	286
129	LexMakesHistory	283
129	Cocoamallows	283
131	radioactv_jelly	279
132	Kouridragon	277
133	soundad	276
134	CrateOfBoxes	274
135	masskedman	272
136	Inbefour	271
137	awesomeoneme	268
137	MilleGrug	268
139	KnightmareD	262
140	Drlzyy	258
141	mwrty	257
142	EfficientC52	255
143	Zoeyfortnite	248
144	Ailmast	246
145	H72l9w	243
146	Flores991	237
146	kinas45y5	237
148	TheTrueClipse	231
149	SeverianTheLame	230
150	07shiny	227
151	Kamflame10	223
151	Legendosh	223
153	Healthing	222
154	Zedducius	220
155	Chromary	219
156	Shiirazuku	216
157	fred870d	209
158	MOSS000	206
159	FishisTTV	203
160	Iagoku	198
160	OverallConcept	198
160	Sheldor097	198
163	abramgray	197
163	501g	197
165	little_dUki	195
166	ProbablyNick	193
167	G1ldor	192
167	surfinggiraffejp	192
167	TechnoNinja64	192
170	Lukeee33	189
170	MakeHistory157	189
172	Bandito_Roamer	188
173	Swexti	187
173	Sral7	187
175	Euclidoris	185
176	_czarny	182
176	TheEnderman548	182
178	fluddd	179
179	rarrq	171
180	hcb238	169
181	Shogunite	168
182	_Virify_	164
183	Z3braYTIL	162
184	XboxPanda	161
184	Windo_licker	161
186	fanofbands101	160
186	KingMatthew506	160
188	ediballbearings	158
189	FelixPSY375	155
190	Dogcorn69420	154
191	Chaotic1s	151
192	Nyxiom_	149
193	pixelviolin	148
194	BronkerBrum	146
195	Rasmanden	144
195	MightyWertu	144
197	CalebDHawk	140
198	Kegradigm	135
199	Drewen24	133
199	laron58	133
201	gilesmcriles	130
202	Afinnity	129
202	Oxygen16	129
204	SaltineDream	128
205	boog4loo	127
206	wfk7	123
206	OG_Songsee	123
208	Nagasaki_Riku	121
209	KartivGal	119
210	_Dean_123	116
211	stahouo	115
212	SDMNAEK	109
213	NotMeowMix	108
214	RefluxRatio	107
215	ColeSnyder	106
216	PegLegPete93	104
217	jambvds	103
217	IvarEXE	103
219	Winklepicker279	102
220	I_Am_Mushkin	101
221	MrExplorer	99
221	fkGrim	99
221	Cyntrical	99
224	ImpavidArcher	98
224	33sudo	98
226	Hpdinosaur	95
226	Njensen7	95
228	eiC_	94
228	cog	94
230	Kubeusz2010	91
231	DarlaMeow	90
232	Blu3beast	89
232	Omar_Alone	89
234	andy_rex	84
235	Typadopoulos	83
236	emrekn	82
237	Skylord_Luke	81
237	Kowcio_	81
239	IforgotCS_Source	79
239	himak1	79
239	loveseeker	79
239	Leyna3	79
243	Vector1209	77
244	Teebone15	76
245	eviltunix	73
245	RoyalDorrr	73
247	jushykins	71
247	shyshyannne	71
247	Awyrlas	71
250	diggydog67	70
251	spencersolberg	69
252	kaziroki	68
252	seramalen	68
254	ProfessorBee	67
