rank	username	minecraft:picked_up/minecraft:waxed_oxidized_copper_door
1	Buuck_	7
2	CLG_Kata	4
3	MattieHD	2
3	Secret_Canary	2
3	Spaghettatron	2
6	Pumpkin_P_Patch	1
