rank	username	minecraft:picked_up/minecraft:enchanted_golden_apple
1	Di_infiri	30
2	ConnorDanky_	14
3	Segotep999	13
4	HellsSponge	12
5	TheSecondLord	11
5	Jackattack53	11
7	thewindmillman	10
7	Hyp3rion_	10
7	Werbe	10
7	EcksD	10
11	Apollo_993	9
11	TheShyPig	9
11	Eraxa	9
11	Kowcio_	9
15	Blackberry1310	8
16	thescout7	7
17	diamondgolem35	6
17	Lez_	6
17	12Magner05	6
17	Manaateee	6
17	YungMaki	6
22	beeperbeeper5	5
22	kekhon	5
22	luseis	5
25	joethahobo	4
25	intropass	4
25	ROY4LE	4
25	Tyrannosplart	4
25	Blaiku	4
30	Tobinator_007	3
30	zqw10k	3
30	Frozil20	3
30	Xalithia	3
30	noam464	3
30	censorsheep	3
30	SUN_DREAM	3
30	SammiWolfGirl	3
30	TheBananaKat	3
30	Nicserso	3
30	TechnoNinja64	3
30	PlasticOtari	3
42	Mr_Byzantine	2
42	Crowvens	2
42	PhantomsGhost_	2
42	maliraspberry	2
42	youhjjhhhjj	2
42	jessewegottacook	2
42	Historical_Sand	2
42	_Dean_123	2
42	_lildarki3	2
42	hanaryheatwave	2
42	tobinwilliams	2
42	Spacewardharpy7	2
42	MineMaster0012	2
42	__tomato	2
42	xzvu	2
42	h2p_emrld	2
58	pintsizedrogue	1
58	PazinGaming	1
58	SmashingPump	1
58	Merv__	1
58	Wolf_Mauler_73	1
58	ImpavidArcher	1
58	Incinere	1
58	eitanzaki	1
58	ZaneABrain	1
58	SpaceGrenadier	1
58	Sleepy_Time_	1
58	rarrq	1
58	Tiberonus	1
58	500am	1
58	fade_emerge78823	1
58	PegLegPete93	1
58	Touched_Bread	1
58	M_Patata	1
58	ZeroAbyssTTV	1
58	shadowthemonkey	1
58	Zythose	1
58	andy_rex	1
58	Krowuss	1
58	kars0n	1
58	Donutt	1
58	oscminus	1
58	The11thDoctor	1
58	k1ngGilgamesh	1
58	Mattesco	1
58	AlexxO_o	1
58	IamCL4SSY	1
58	Akoot_	1
58	AuroraSkies	1
58	Kennyissleepy	1
58	Sorry_Arey	1
58	Dakar_	1
58	_Karmaa	1
58	claivin	1
58	FreakGenius	1
58	Blu3beast	1
58	fluddd	1
58	Toriankel	1
58	Warlord324	1
58	SkateboardR6	1
58	_Meow_Mix	1
58	MovingFish7	1
58	MasterNueve	1
58	Kyrum2169	1
58	UCP_TheKingK	1
58	Soplight	1
58	lcvezra	1
58	Deguns123	1
58	CalebDHawk	1
58	fffMike	1
58	xX_Stalin69_Xx	1
58	Kubeusz2010	1
58	Jimb0nat0r	1
58	SamTheDwagon	1
58	AdmiralSmoke	1
