rank	username	minecraft:picked_up/minecraft:prismarine_shard
1	Hyp3rion_	2058267
2	Ezekson	1754637
3	thewindmillman	655966
4	noam464	298709
5	EcksD	229258
6	Blaiku	141236
7	Jackattack53	139437
8	Frozil20	114519
9	Hisiste	58162
10	eitanzaki	46460
11	Paintz	42899
12	Jimb0nat0r	29320
13	Snowflowe	23015
14	DarlaMeow	9840
15	Spacewardharpy7	4446
16	Zythose	4178
17	EngagedGrub41	3792
18	gcaisawesome	3569
19	HellsSponge	3193
20	ImpavidArcher	2814
21	ConnorDanky_	2723
22	Yamdalorian	2516
23	skitzxo	2244
24	Mahoose	2208
25	12Magner05	2203
26	jcool7	2031
27	Inbefour	2023
28	Enderxz3	1872
29	MightyWertu	1729
30	Huwulling	1713
31	weabis	1668
32	PigDab	1642
33	Bumpy419	1632
34	Groundler	1591
35	shadowthemonkey	1497
36	PhantomsGhost_	1433
37	beeperbeeper5	1397
38	_Virify_	1395
39	Hiryu27	1315
40	ItsColin11	1308
41	SuperPooch06	1145
42	xDraggin	1098
43	YungMaki	1077
44	luseis	1071
45	FreakGenius	898
46	Marbz_	678
47	Lord_Jord	612
48	SvenskaHugo	611
49	diamondgolem35	541
50	RebelAndroid	534
51	El_Jalapeno	495
52	Gus2005	462
53	Blu3beast	422
54	XboxPanda	411
55	powercas_gamer	395
56	cog	384
57	MilleGrug	367
58	EMC_	364
59	T045RTY	340
60	lordpipe	337
61	fw3xy74	330
62	M_Patata	322
62	MasterNueve	322
64	Eraxa	312
65	Kakolbus	310
66	SingedBread	282
67	Hahaa_0	273
68	AuroraValkyrie	269
69	poopybh	266
70	titanlax	258
71	QueenShuvi	235
72	Racengan	226
73	oscminus	220
74	Mr_Byzantine	215
75	joethahobo	202
75	AstreaTSS	202
77	Skippeh	195
78	True_Clipse	188
79	Jovaphobic	184
80	500am	177
80	EveryonesUncle	177
80	calamariclam_I	177
83	Maenara	168
84	Winklepicker279	159
85	Rumpletaezer	157
86	Legendosh	155
87	Kyrum2169	153
88	NomadicRobin_	150
89	Di_infiri	142
90	sp00ky_ghost977	140
91	pintsizedrogue	134
91	Incinere	134
93	Zaridey	130
94	Shogunite	129
95	corvidpartyfor6	121
96	excelsionprime	118
97	TechnoNinja64	114
98	Notta	113
99	_Dean_123	109
100	kekhon	105
100	Azmodan_246	105
102	Segotep999	104
103	Fullut	102
104	teslawolf38	99
105	Comma__	96
106	skroobiez	94
107	Tyrannosplart	93
108	MAns_44	92
108	Powowowow	92
110	diggydog67	89
111	Druid95	87
112	Manaateee	86
112	_TCARREIRA_	86
114	TheShyPig	85
115	Soplight	81
116	eiC_	78
116	AlexxO_o	78
118	Blackberry1310	77
119	Merv__	75
120	RebytreGT	73
121	Eczbek	72
121	UrbanPlanningEx	72
123	Vellu21	70
124	djancak	69
124	Steelynan	69
126	set67	67
127	Xclax101	66
128	PazinGaming	65
129	Sleek_Storm_721	64
129	Rocco_Lane	64
129	Razzgriz	64
132	Chromary	61
133	Apollo_993	60
134	ApophisNova	59
134	MyNamaSheff	59
136	MattieHD	58
136	claivin	58
138	eviltunix	56
139	YungWali	55
140	MovingFish7	54
141	Kowcio_	53
141	JayToe	53
143	h2p_emrld	50
144	jnp_gaming	49
145	ooga47	48
146	PortlyPete69	46
147	voiding_	43
148	MSK__	42
149	thescout7	40
150	dudcreeper	39
150	AssFullaCum	39
150	__tomato	39
153	NinjaKnifeKill	38
153	Secret_Canary	38
153	Awyrlas	38
156	lizardfightclub	37
157	Flapjacker687	36
158	Groovy_MoonBird	35
159	CLG_Kata	33
159	CliffEmAll	33
161	NameGenerat0r	32
162	Buuck_	31
163	Onennon	30
163	_Karmaa	30
163	Barlycorn	30
163	pixelviolin	30
167	ECstardust	29
167	Reamdin	29
169	rarrq	28
169	Faart	28
171	BumbleBeever	27
171	Zoeyfortnite	27
173	I_Am_Mushkin	25
173	livingdaydreams	25
173	ougstur	25
173	stellarjay	25
177	CollinMH06	24
178	TheSecondLord	23
178	Arceus1975	23
180	dimondking777	22
180	Cryptacity	22
182	Eczbox	20
182	TheSeismicDuck	20
184	k_ce	19
184	DemTechAlpha	19
184	TheWickedBird	19
187	Iagoku	18
188	MrKrabOnCoke	17
188	r123moore	17
188	Werbe	17
188	Akoot_	17
188	Vicemaniac	17
188	elliebelle107	17
194	SkateboardR6	16
194	TheKingK_	16
194	xzvu	16
197	TheDankPlatypus	15
197	StarCookiees_	15
199	Inchef	14
199	Skomo	14
199	SammiWolfGirl	14
199	TheBananaKat	14
203	Lez_	13
203	TastyPorkchop	13
203	lorpus	13
203	Jonafrog99	13
203	Leyna3	13
203	the__Reaper4999	13
203	33sudo	13
203	Fizznut909	13
211	Smashic	12
211	Fuad_R	12
211	Dogcorn69420	12
211	CalebDHawk	12
215	TooManyDuck	11
215	MyNameIsJobo	11
215	TheWildMateo	11
215	wezzzi	11
215	1442	11
215	taengoos	11
215	Iamthejo	11
222	SaucyDark	10
222	ratglock	10
222	legal_tax_evader	10
222	V2Loon	10
222	F_Uhre	10
222	WyngGoy	10
222	ProbsNotNova	10
222	Quotary	10
230	Creativebuilder2	9
230	mwrty	9
230	fluddd	9
230	HesDemonPants	9
234	JitteryJared2	8
234	vandmanden	8
234	PlasticOtari	8
237	MinttyFressh	7
237	J4k__	7
237	SpouHn	7
237	XxCookiequeenxX	7
237	master9067	7
237	mihimihimihi	7
237	monky_irl	7
244	MoistMicrowave	6
244	Saucepeh	6
244	intropass	6
244	NYJ	6
248	ZaneABrain	5
248	m_be9	5
248	Scathra	5
248	surfinggiraffejp	5
248	Mattesco	5
248	emreknugrlu	5
248	Vorlice	5
255	j5ylim	4
255	elicobnoah	4
255	Tiberonus	4
255	himak1	4
255	Charmyboi	4
255	dnlksl	4
255	The_slideV3	4
255	MustaLoordi	4
255	fffMike	4
255	FishisTTV	4
265	SmashingPump	3
265	LovelyDane	3
265	6king6colt6	3
265	Gregward_Smith	3
265	crying_wolf_13	3
265	ROY4LE	3
265	platinumzero	3
265	John6970	3
265	whoaluv	3
265	Fuhrer_Teemo	3
265	StinkyDiplomat	3
265	MakeHistory157	3
265	layabout100	3
265	LordSpeed37	3
265	yatsuta	3
265	non089	3
265	Drawgirl	3
265	BreadBacon	3
265	TheSandwhich_	3
284	Alexanderjac	2
284	LittleBug562	2
284	_stets	2
284	lorywithay	2
284	Vensterbankje	2
284	Da_Boss_Rani	2
284	Guillemet	2
284	Cambo5000	2
284	Covalents	2
284	mimbo1211	2
284	SlayerCrypto	2
284	IamCL4SSY	2
284	audiocracked	2
284	Russiancat1	2
284	LetsDoItLive	2
284	_Mythic____	2
284	Pumpkin_P_Patch	2
