rank	username	minecraft:picked_up/minecraft:cherry_slab
1	Lez_	634
2	StarCookiees_	412
3	skitzxo	360
4	Kowcio_	318
5	Reneedium	150
6	OreTheBear	100
7	_witch_craft_	72
8	_Duckery	57
9	11Brewer	49
10	royal_2	43
11	Moofyman	41
12	Apollo_993	37
13	Archsam	31
14	k_ce	23
15	Napoleonpancake	21
15	Enderxz3	21
17	XxCookiequeenxX	11
18	Mr_Byzantine	10
18	Huwulling	10
20	oscminus	9
21	shineh10	8
21	lordpipe	8
21	Yamdalorian	8
24	_Huge_Male_	6
25	PazinGaming	4
26	RatatJuice	3
26	Tersea_	3
26	AstreaTSS	3
26	TheWickedBird	3
30	PercivalCaduceus	2
30	Krowuss	2
30	emreknugrlu	2
30	pretty_pink_reno	2
30	KamFurnace	2
30	Jimb0nat0r	2
36	fragrantmonke444	1
36	U_Mos_	1
36	Mr_Froxy	1
