rank	username	minecraft:picked_up/minecraft:netherite_leggings
1	500am	22
2	Hyp3rion_	15
3	joethahobo	10
4	beeperbeeper5	9
4	Wowful	9
6	Segotep999	8
7	eitanzaki	7
7	Historical_Sand	7
7	rarrq	7
7	PlasticOtari	7
11	Akoot_	6
11	Freak_Genius	6
11	oxfordschool	6
14	kekhon	5
14	Rebytre	5
14	Frozil12	5
14	YungMaki	5
14	Smoke____	5
19	TheSecondLord	4
19	ToastedGamingYT	4
19	Jiminie	4
19	SingedBread	4
19	SkateboardR6	4
19	Enderslayerxz3	4
25	Dedalus36	3
25	T045RTY	3
25	Mahoose	3
25	MrKrabOnCoke	3
25	Blackberry1310	3
25	Nicky_H225	3
25	Smashic	3
25	fred870d	3
25	lillips	3
25	BruhBag	3
25	aywri	3
25	Ezekson	3
37	pintsizedrogue	2
37	KarlKaek	2
37	ShedJr_	2
37	Da_Boss_Rani	2
37	Fullut	2
37	egglapras	2
37	Xalithia	2
37	thewindmillman	2
37	xo_Marren_xo	2
37	NomadicRobin_	2
37	Mafubana	2
37	LexMakesHistory	2
37	DarlaMeow	2
37	El_Jalapeno	2
37	Blaiku	2
37	UCP_TheKingK	2
37	FishisTTV	2
54	JohnnyFyes	1
54	nataliecool	1
54	xyct	1
54	Ev0luti0nz	1
54	dimondking777	1
54	teslawolf38	1
54	EMC_	1
54	Wolf_Mauler_73	1
54	ImpavidArcher	1
54	Wooptey	1
54	Swexti	1
54	titanlax	1
54	Upstro10	1
54	NieToksikpl	1
54	SoftSix	1
54	Sloths_Ender	1
54	Z3braYTIL	1
54	set67	1
54	Awyrlas	1
54	r123moore	1
54	noam464	1
54	SBean737	1
54	M_Patata	1
54	prizm_	1
54	Marbz_	1
54	Di_infiri	1
54	WET_WET_WET	1
54	Arceus1975	1
54	happy_mileo	1
54	Zythose	1
54	King_Pancake1	1
54	GUBBENZ	1
54	ApophisNova	1
54	Werbe	1
54	Mattesco	1
54	PigDab	1
54	LeGold	1
54	AlexxO_o	1
54	FishyBoy3811	1
54	PuFY	1
54	groofles	1
54	TJawesome09	1
54	CrumplyBanjo_	1
54	masskedman	1
54	EveryonesUncle	1
54	shadowmanu8	1
54	Fuad_R	1
54	HellsSponge	1
54	iHuntWeeaboos	1
54	Quaintster	1
54	vadar12	1
54	Racengan	1
54	guitar_hero_101	1
54	Th6masss	1
54	Spacewardharpy7	1
54	ItsDeltaMC	1
54	Eraxa	1
54	KG1999	1
54	SvenskaHugo	1
54	Kowcio_	1
54	SC0RCHEDD	1
54	_Yonk_	1
54	obzii	1
54	jcool7	1
54	Steelynan	1
54	Eczbek	1
54	Kubeusz2010	1
54	Aryamanee	1
54	MyNamaSheff	1
54	Weepingbiel	1
54	Legendosh	1
54	jnp_gaming	1
54	EcksDofficial	1
54	remmisrat	1
54	00000000-0000-0000-0009-01f898304150	1
