rank	username	minecraft:picked_up/minecraft:sugar_cane
271	DarkS0L	707
272	laron58	706
273	Kowcio_	704
274	Mr_Byzantine	665
275	MyNameIsJobo	660
276	ItsAki_	659
277	Cowison	653
278	h2p_emrld	634
279	fw3xywashere	632
279	Razzgriz	632
281	AlphaWolfPlaysMC	631
282	Auseawesome	627
283	LilLizardWizard	623
284	Studyhallsaver	621
285	Kouridragon	620
286	Sebastiannlol	615
287	Typadopoulos	614
288	Segotep999	613
289	sp00ky_ghost977	597
290	Alteriity	594
291	DepressedCubic	588
292	censorsheep	585
293	smogfrog	581
294	krutas2000	575
295	Freedrik	568
296	Historical_Sand	567
296	CaptainDeadBread	567
298	Sqwishy	562
299	Fast_Turtle	556
300	Gary_	554
