rank	username	minecraft:picked_up/minecraft:cooked_porkchop
1	thewindmillman	139184
2	Hisiste	126199
3	joethahobo	78718
4	Spacewardharpy7	38554
5	EcksD	26735
6	Mahoose	23953
7	ROY4LE	20027
8	noam464	14566
9	Frozil12	6190
10	Freak_Genius	5516
11	kekhon	5425
12	eitanzaki	4174
13	pintsizedrogue	3116
14	lordpipe	2304
15	Smoke____	2209
16	Akoot_	2164
17	EveryonesUncle	2154
18	Blackberry1310	2018
19	SvenskaHugo	2006
20	ImpavidArcher	2002
21	beeperbeeper5	1893
22	SteveCraftBlocks	1419
23	YungMaki	1391
24	claivin	1374
25	2Stout	1363
26	Mobstr	1325
27	rarrq	1321
28	Quotary	1242
29	Aryamanee	1202
30	Kaf1y	1122
31	Ezekson	1078
32	Chromary	1074
33	Pazantine	1027
34	MangoTheFish	971
35	sebastiensaborio	956
36	HellsSponge	934
37	00000000-0000-0000-0009-01f898304150	930
38	Wowful	918
39	12Magner05	914
40	masskedman	824
41	Werbe	740
42	diamondgolem35	736
43	trexgb	696
44	TheSecondLord	689
45	PigDab	673
46	Eraxa	664
47	T045RTY	661
48	MilleGrug	658
49	WYFYoyo	651
50	Blaiku	648
51	CheifJumbo	631
52	eviltunix	606
53	El_Jalapeno	588
54	IronArshXS	576
54	mwrty	576
56	set67	559
57	Soplight	533
58	fffMike	529
59	Nycteus_	520
60	Enderslayerxz3	515
61	Di_infiri	494
62	egglapras	491
62	Hyp3rion_	491
64	burbankbuilder28	480
65	CoffeeNoir	464
66	Winklepicker279	462
67	gcaisawesome	461
68	KarlKaek	445
69	gabriels543	440
70	King_Pancake1	434
71	Blu3beast	417
72	PhantomsGhost_	403
73	PlasticOtari	402
74	xxPipperDipperxx	391
75	The11thDoctor	376
76	thescout7	371
77	yulgur1	360
78	TheShyPig	356
79	obzii	355
80	Spenduh	351
81	Awyrlas	342
81	SuperPooch06	342
83	EMC_	341
84	KeruNatsema	339
85	kinas45y5	338
86	EcksDofficial	333
87	ItsDeltaMC	332
88	DarlaMeow	331
89	Myszoaz	328
90	susbakaimpostor	320
90	Lutres_Torane	320
92	stellarjay	315
92	MissCeleste7	315
94	sp00ky_ghost977	307
95	Z3braYTIL	300
96	MattieHD	297
97	Lord_Jord	292
98	chipklip	290
98	fluddd	290
100	_Boipl_	286
101	NomadicRobin_	281
102	_Dean_123	279
103	Legendosh	274
104	Inchef	273
105	6king6colt6	266
105	cog	266
107	oxfordschool	264
108	Linkerton	256
109	Snowflowe	248
110	Gryglu583	247
111	fred870d	242
112	Kubeusz2010	240
113	ApophisNova	232
113	MyNamaSheff	232
115	rpmm	225
116	Zythose	223
117	Giannism	220
118	Rebytre	215
119	Fullut	206
120	Historical_Sand	204
120	UrbanPlanner1978	204
122	Jackattack53	203
122	MaGro2010	203
124	jnp_gaming	202
125	Toriankel	200
126	Mattesco	193
126	scarletwarrior1	193
128	ArdaAslan02	192
129	Dedalus36	191
130	SeverianTheLame	185
131	TheMaster972	184
132	bloodbiter	181
133	RebelAndroid	177
134	BlackButterfIy	176
134	teakings	176
136	Merv__	172
137	mimbo1211	167
137	ayamefag	167
139	JauncyWaffle99	166
140	IAmTheWalrus910	165
141	Billious	164
142	lillips	163
143	Deathkob	162
144	NameGenerat0r	159
144	MeetTheWollo	159
146	fanofbands101	158
147	TheThomas69	157
147	himak1	157
147	CollinMH06	157
150	Flapjacker687	155
150	Xalithia	155
152	ooga47	152
153	omariacts	150
153	SammiWolfGirl	150
155	GOOBERGABE04	148
155	Sheldor097	148
157	I_Am_Mushkin	146
158	HyperCave	145
159	NinjaKnifeKill	144
159	Felenov	144
159	ogoa	144
162	BapeGlowz	142
