rank	username	minecraft:picked_up/minecraft:acacia_planks
1	Spacewardharpy7	25894
2	beeperbeeper5	2580
3	Spenduh	2520
4	AdmiralSmoke	2444
5	Doom_melon	2185
6	Franco093	2145
7	4774	1066
8	YungMaki	936
9	eitanzaki	931
10	Hoid_the_Roamer	826
11	Meatlaugh	811
12	Groovy_MoonBird	799
13	KarlKaek	718
14	ApophisNova	703
14	MyNamaSheff	703
16	ThePoliteG	699
17	Blackberry1310	654
18	2Stout	610
19	Merv__	527
20	EveryonesUncle	504
21	Werbe	501
22	MadmanRaven	498
23	NameGenerat0r	496
23	Soul_Atreus	496
25	fffMike	486
26	thgrocks	480
27	Mr_Byzantine	465
28	Mahoose	435
29	set67	406
30	Groundler	404
31	lordpipe	383
32	ProfessorBee	351
32	HellsSponge	351
34	Mattesco	349
35	El_Jalapeno	346
36	corvidpartyfor6	334
37	Powowowow	316
38	Soplight	312
39	Steelynan	305
40	TheSeismicDuck	279
41	Apollo_993	253
42	TechnoNinja64	247
43	xolstoi	246
44	Bandito_Roamer	245
45	ConnorDanky_	240
46	jewbacaman	237
47	EcksD	235
48	Zaridey	234
49	mariominejedi	228
50	xxPipperDipperxx	226
51	Inbefour	221
52	FreakGenius	204
53	Mowelan	189
54	luseis	183
55	r123moore	181
56	fade_emerge78823	180
57	Lez_	176
58	kalzor	175
59	AnnieBathory	172
60	EMC_	169
61	peach0s	166
62	excelsionprime	162
63	SteveCraftBlocks	159
64	KingMatthew506	153
65	PigDab	151
66	ROY4LE	150
67	Onennon	146
68	Euclidoris	138
69	PhantomsGhost_	137
70	noam464	135
70	Ezekson	135
72	561cool	130
73	youhjjhhhjj	128
73	Phanthium	128
75	Kakolbus	127
76	lorpus	125
77	Mandroch	123
78	ItsHydroMC	118
79	IAmTheWalrus910	117
79	Sral7	117
81	Malware_Mara	109
82	Barlycorn	106
83	kekhon	105
84	Hiryu27	102
85	ChillenChiggen	101
86	smogfrog	99
87	legal_tax_evader	98
87	Chuvacevedo	98
89	MS_Pryxx	95
90	Seindi	94
91	TastyPorkchop	93
92	oscminus	91
93	LeonelSalamanca	90
94	Winklepicker279	89
95	m_be9	86
95	Slapface522	86
97	xXTheWolfmanXx	85
97	lilsay	85
99	Quaintster	84
100	Frozil20	81
100	Lord_Jord	81
102	ImpavidArcher	78
102	Swalt	78
104	King_Pancake1	76
105	Hyp3rion_	74
105	_Ruzeeq_	74
107	ProfessorDiaper	72
108	pintsizedrogue	71
109	Kynigito	65
110	olek_kosa2009pvp	64
110	Shogunite	64
112	TheShyPig	63
112	IamCL4SSY	63
114	CLG_Kata	61
114	Ilinca_Io	61
114	wickedword	61
114	Fuad_R	61
114	MineMaster0012	61
114	Moetis	61
120	starbits140	60
121	joethahobo	59
122	Deodorante	57
122	LeeMcGee30	57
124	mwrty	55
124	MyNameIsJobo	55
126	benediktine1	54
126	xzvu	54
128	CueMix	53
128	fr_ser	53
130	Ajax6	52
130	DennyKai	52
132	Syropatathe	51
133	claivin	50
134	JESS_THE_RERE	49
134	_3Stump_	49
136	Rich_Kat	48
136	Blazebit	48
138	Tiberonus	46
139	CoffeeNoir	45
140	Vizzoid	44
140	Karetoko	44
142	Di_infiri	43
142	KlausVonStiglitz	43
142	Toriankel	43
145	UMosDiesIrae	42
145	Kowcio_	42
145	MirielThePastor	42
148	mimbo1211	41
148	Bumpy419	41
148	ItsDeltaMC	41
148	Eraxa	41
152	eviltunix	40
152	SellyZ	40
154	hanaryheatwave	39
155	Manaateee	37
155	Legendosh	37
157	Fractured_	36
157	Reocee	36
159	Jackster03	34
160	KingFaenor	33
160	dopplexd	33
160	FreddyFart	33
163	Swexti	32
163	Jackattack53	32
163	Skylord_Luke	32
163	SwooshBoi	32
163	diggydog67	32
168	SmashingPump	31
168	Cellcorgi649	31
168	Enderxz3	31
171	TJawesome09	30
172	MoistMicrowave	29
172	ChocolatePepsi	29
174	ARandomHedge	28
174	JasmineGK	28
176	diamondgolem35	27
176	nocturne78	27
178	longappendage	26
178	Blu3beast	26
180	Myrosia	25
180	Toowny	25
180	__tomato	25
183	Wooptey	24
183	Hanselhoof	24
183	DarlaMeow	24
183	560cool	24
187	Miroryk	23
187	Killtroxx	23
187	Snowflowe	23
187	bean__salad	23
187	_beep_boop	23
192	k_ce	22
