rank	username	minecraft:picked_up/minecraft:weathered_cut_copper
1	Manaateee	99
2	Marbz_	15
3	SpacesickPrism	11
4	jessewegottacook	7
5	pixelviolin	6
6	beeperbeeper5	3
6	MineMaster0012	3
8	pintsizedrogue	2
8	luseis	2
8	Jimb0nat0r	2
11	JETrotter	1
