rank	username	minecraft:picked_up/minecraft:wooden_axe
1	noam464	104
2	teslawolf38	27
3	lordpipe	20
4	PlzNoBM	15
4	Smoke____	15
6	TheSecondLord	11
7	ImpavidArcher	10
8	Mahoose	6
8	kekhon	6
8	Blenderyoda	6
11	joethahobo	5
11	beeperbeeper5	5
11	Smashic	5
11	Legendosh	5
15	hm947	4
15	bloodbiter	4
15	John6970	4
15	fr_ser	4
15	DAD_1996	4
15	Akoot_	4
15	luseis	4
15	E775	4
15	Eraxa	4
15	xolstoi	4
25	Frozil20	3
25	lotarp	3
25	MattieHD	3
25	breadbowlgamer	3
25	Onennon	3
25	Jonte0599	3
25	cedric72	3
32	pintsizedrogue	2
32	MuffinManzz	2
32	NatalieTW	2
32	fanofbands101	2
32	Kuragari_	2
32	NieToksikpl	2
32	Yirtle	2
32	rocklobster2012	2
32	xFaiithyX	2
32	MyNameIsJobo	2
32	Doom_melon	2
32	Termi_Qc	2
32	F_Uhre	2
32	PigDab	2
32	TheShyPig	2
32	XeroByMyth	2
32	Lord_Zacler	2
32	SolicitedPuma101	2
32	Shogunite	2
32	FreakGenius	2
32	SkateboardR6	2
32	Spacewardharpy7	2
32	Poppy235	2
32	Soffbord	2
32	Steelynan	2
32	_KuruKuru	2
32	anbbang	2
32	smogfrog	2
60	Lepthymo	1
60	BigMaoguai	1
60	Elprone266	1
60	JohnnyFyes	1
60	FazeObama69	1
60	chipklip	1
60	PhantomsGhost_	1
60	PizzaJake	1
60	FroggoTheDoggo	1
60	Killswitch_RW	1
60	SmashingPump	1
60	SlowMoNinja1994	1
60	shineh10	1
60	KarlKaek	1
60	diamondgolem35	1
60	gren_ben	1
60	jimintyy	1
60	C0by3llis	1
60	T_R4Y	1
60	xchh	1
60	elmer1234	1
60	FirsTimeGamingTV	1
60	Euclidoris	1
60	Prodiginus	1
60	dopplexd	1
60	aikabot	1
60	Devintronix	1
60	Blackberry1310	1
60	xPixelRainx	1
60	rpmm	1
60	TheDiamondCG	1
60	libbydalez	1
60	Kkanot	1
60	set67	1
60	4774	1
60	lorpus	1
60	Ithaca19	1
60	Mewar	1
60	actour	1
60	2Stout	1
60	r123moore	1
60	Matek_	1
60	Phanthium	1
60	Avrelion	1
60	ZeroAbyssTTV	1
60	thebluehippo	1
60	Freeman666	1
60	Marahuyo00	1
60	Hoxy	1
60	AJplaysMC_	1
60	FlashingDemon	1
60	Chromary	1
60	hanaryheatwave	1
60	Nope______	1
60	sarahlynn00	1
60	Arceus1975	1
60	Snowflowe	1
60	wTXop	1
60	SPKB1	1
60	Akuzmi	1
60	msJabberwock	1
60	ApophisNova	1
60	Werbe	1
60	Mattesco	1
60	LittleOoccoo	1
60	epiksk8erduck	1
60	dnlksl	1
60	sammidk	1
60	Romeom175	1
60	TJawesome09	1
60	IamCL4SSY	1
60	OLookItsAnxiety	1
60	Wowful	1
60	NomadicRobin_	1
60	masskedman	1
60	Gryglu583	1
60	TheCordicus	1
60	Qorbyn	1
60	MinuteMira	1
60	pongod15	1
60	dogvis	1
60	RoofTyler	1
60	Blu3beast	1
60	zany0	1
60	marumochis	1
60	OffWithTheirHead	1
60	D3m0nik	1
60	MentheMan09	1
60	NotMeowMix	1
60	monky_irl	1
60	babyjimmyneutron	1
60	Kukkelikuk	1
60	SvenskaHugo	1
60	SquidZooka2	1
60	Danielbe	1
60	YungMaki	1
60	Bawbman	1
60	xzvu	1
60	PortlyPete69	1
60	NATE_the_HALO	1
60	1Riot	1
60	ProbsNotNova	1
60	DennyKai	1
60	fffMike	1
60	ssniffles	1
60	Eczbek	1
60	Hermanni__	1
60	EcksD	1
60	sarcopterygian	1
60	MyNamaSheff	1
60	Nicserso	1
60	AltnumberF4	1
60	Enderxz3	1
60	jnp_gaming	1
60	Havazelet	1
60	KASAN420	1
60	mediumBev	1
60	Tristankill	1
60	Deliriohm	1
