rank	username	minecraft:picked_up/minecraft:mangrove_planks
1	Touched_Bread	360
2	Huwulling	292
3	bearlystraight	214
4	k_ce	156
5	Mr_Byzantine	155
6	Legendosh	117
7	Enderxz3	116
8	Segotep999	85
9	hanaryheatwave	45
10	Smashic	42
11	AdmiralSmoke	37
12	PlasticOtari	31
13	pintsizedrogue	26
14	00000000-0000-0000-0009-01fc3bb26159	25
15	luseis	23
16	Jackattack53	22
17	Lutres_	20
18	beeperbeeper5	18
19	xxPipperDipperxx	12
20	12Magner05	10
20	MineMaster0012	10
22	SvenskaHugo	8
22	Kowcio_	8
22	Soplight	8
25	Mahoose	7
26	EMC_	6
26	Lez_	6
28	Sleepy_Time_	5
29	Spacewardharpy7	4
29	EcksD	4
31	jessewegottacook	3
31	Jimb0nat0r	3
33	thewindmillman	2
33	Mattesco	2
33	UCP_TheKingK	2
33	CalebDHawk	2
37	olliebollie48	1
37	Manaateee	1
37	Fuad_R	1
