rank	username	minecraft:picked_up/minecraft:sea_pickle
1	HellsSponge	12180
2	eitanzaki	2803
3	ImpavidArcher	2668
4	Freak_Genius	2647
5	Lez_	2134
6	pintsizedrogue	1386
7	Inbefour	1363
8	Legendosh	1286
9	TheShyPig	1205
10	Kouridragon	1169
11	LeauVox4921	1018
12	Di_infiri	861
13	Ezekson	828
14	Mahoose	804
15	Hyp3rion_	747
16	SaucyDark	652
17	beeperbeeper5	632
18	KarlKaek	589
19	thewindmillman	586
20	500am	553
21	noam464	530
22	RobotMinion101	519
23	Blackberry1310	511
24	Enderslayerxz3	451
25	12Magner05	431
26	Ssor69	420
27	jambvds	380
28	Ryker	369
29	Fullut	361
30	oxfordschool	328
31	MyNameIsJobo	307
32	XboxPanda	302
33	XxCookiequeenxX	293
34	_Dean_123	289
35	jnp_gaming	284
36	YungMaki	280
37	Onennon	245
38	burbankbuilder28	241
39	Smoke____	237
40	Jovaphobic	225
41	fluddd	223
41	SpacesickPrism	223
43	PhantomsGhost_	212
44	Covalents	210
45	emrekn	202
46	El_Jalapeno	198
46	OfficerAnvil	198
48	Marbz_	197
49	Blu3beast	195
50	kekhon	194
50	pixelviolin	194
52	Kukkelikuk	192
53	Eraxa	191
54	Prismyst	188
55	Groundler	186
56	Jackattack53	185
57	Xalithia	182
58	Maenara	177
58	wezzzi	177
60	loveseeker	176
61	ApophisNova	169
61	MyNamaSheff	169
63	Merv__	168
63	seramalen	168
65	bloodbiter	163
65	Voxin2K	163
67	Xclax101	162
68	yoyoYoloMonke	161
69	Arceus1975	158
70	diggydog67	154
71	MrExplorer	152
72	Steelynan	143
73	1442	141
74	RoskobiOne	138
75	MovingFish7	136
76	EveryonesUncle	134
77	Jiminie	131
78	_3Stump_	128
79	KeruNatsema	127
79	Nicserso	127
81	AuroraValkyrie	126
82	M_Patata	117
82	MasterNueve	117
84	The_slideV3	114
85	r123moore	112
86	sandmire	111
86	Inchef	111
88	Kakolbus	110
89	pumpfonzo	109
90	CoffeeNoir	108
90	Vetral1	108
92	joethahobo	107
93	thescout7	106
94	Rumpletaezer	105
95	NameGenerat0r	101
96	MyNameIsDakar	100
97	Comma__	98
98	kinas45y5	97
99	Karbl	95
100	livingdaydreams	94
100	KG1999	94
102	rarrq	92
102	surfinggiraffejp	92
104	PeteO1995	88
104	KingMatthew506	88
106	TheSecondLord	87
106	aec9	87
106	TechnoNinja64	87
109	Spacewardharpy7	86
110	Akoot_	84
111	mwrty	83
111	SuperPooch06	83
113	Rebytre	80
113	NomadicRobin_	80
115	titanlax	78
116	djancak	77
117	Ardennes	76
117	Blaiku	76
117	EcksD	76
120	Leyna3	75
121	EngagedGrub41	74
122	Bandito_Roamer	73
122	Giannism	73
124	6king6colt6	72
124	plato2066	72
126	LilLizardWizard	71
126	DarlaMeow	71
126	PlasticOtari	71
126	FishisTTV	71
130	Soplight	70
131	Skippeh	68
132	RatatJuice	67
132	ShedJr_	67
132	Werbe	67
132	_Karmaa	67
132	Jimb0nat0r	67
137	Smashic	66
137	Typadopoulos	66
137	DarkLawD	66
140	Hiryu27	65
141	NotMeanttoChange	64
142	Frozil20	63
142	Nagasaki_Riku	63
144	Sral7	62
145	h2p_emrld	61
146	Huwulling	60
146	InfernalMound	60
146	xxPipperDipperxx	60
146	ooga47	60
146	MightyWertu	60
151	Scattman_	58
151	orxngejuice	58
151	Mewar	58
151	lordpipe	58
155	BodaciousCake	57
156	csendeslol	56
157	stellarjay	55
158	Cryptacity	53
158	__tomato	53
160	iSammael	51
161	Nesquiczek	50
162	jewbacaman	49
163	Nach0Bear	48
164	TTNG	47
165	monky_irl	46
166	dabloons	45
166	H72l9w	45
166	Kamflame10	45
169	Euclidoris	44
170	eiC_	42
171	Kyrum2169	41
171	jcool7	41
173	Iagoku	40
173	laron58	40
175	LordSpeed37	38
175	bloomkieren	38
177	Dusk_95	37
178	EMC_	36
178	Kynigito	36
178	theofiel	36
181	dudcreeper	34
181	Dragonlfw	34
181	fkGrim	34
181	DukBob	34
181	ZoharGoldMine	34
186	SammiWolfGirl	33
186	Wolverine4302	33
188	UCP_TheKingK	32
188	GlitchyPlate810	32
190	urbeans	30
190	2Stout	30
190	StinkyDiplomat	30
190	33sudo	30
190	smogfrog	30
195	IWorkAtIkea	29
195	TheDiamondCG	29
195	Ashton1242	29
195	Optiprimus	29
195	PortlyPete69	29
200	Krimys	28
200	Historical_Sand	28
202	WYFYoyo	27
203	Groovy_MoonBird	26
203	TooManyDuck	26
203	TheDankPlatypus	26
203	Eerini	26
207	Bolete	24
207	groofles	24
207	fw3xywashere	24
207	Luigipunch989	24
211	heckface	23
211	PigDab	23
211	ADEXTV	23
211	TheSeismicDuck	23
215	egglapras	22
215	arcanemagic	22
215	Jiminbub	22
215	_Bguette_	22
215	claivin	22
215	Powowowow	22
221	Incinere	21
221	Awyrlas	21
221	Bumpy419	21
221	Deathkob	21
221	mihimihimihi	21
226	cowgirlkasia	20
226	_Tilariel_	20
226	MarcusHA05	20
229	kars0n	19
229	Moofyman	19
229	FishyBoy3811	19
232	Dedalus36	18
232	stahouo	18
234	Tobinator_007	17
234	MattieHD	17
234	_Cloverbelle_	17
234	Katsuragi0243218	17
234	sufjanlover	17
234	chipklip	17
240	Rasaq	16
240	crying_wolf_13	16
240	UncreativeArtist	16
240	intropass	16
240	UncleDanDan	16
240	Nicky19	16
240	starbits140	16
240	lcvezra	16
240	Hermanni__	16
249	jacxhadow	15
249	BilboBaggins23	15
249	Donutt	15
249	audiocracked	15
249	IdeallyGrey	15
249	EcksDofficial	15
255	Alteriity	14
255	dopplexd	14
255	jushykins	14
255	ProfessorBee	14
255	fr_ser	14
255	Silvo614	14
255	CarryLine	14
255	YungWali	14
255	AvaRosey	14
255	Jij0	14
265	heysushii	13
265	Cowison	13
265	_Razar	13
265	T045RTY	13
265	SteveCraftBlocks	13
265	lizardfightclub	13
265	censorsheep	13
272	hollowww	12
272	Paleshield	12
272	Seyaboy	12
272	eviltunix	12
272	Vorlice	12
272	Lord_Doob	12
272	MilleGrug	12
272	Zoeyfortnite	12
280	Stynxy	11
280	Motsaro	11
280	_8man	11
280	SpookyDraggin	11
280	misomon	11
280	Renchi19	11
280	Susp1ci0us	11
280	Apicomplexa	11
288	LittleBug562	10
288	I_Am_Mushkin	10
288	gcaisawesome	10
288	mimbo1211	10
288	The11thDoctor	10
288	natajimi	10
288	Fuhrer_Teemo	10
288	KlausVonStiglitz	10
288	marumochis	10
288	IAmTheWalrus910	10
288	Western_1	10
288	Miko_Fullbuster	10
300	eclipseboi	9
