rank	username	minecraft:picked_up/minecraft:green_carpet
1	joethahobo	1612
2	beeperbeeper5	1106
3	Creativebuilder2	565
4	Werbe	471
5	Enderxz3	459
6	mwrty	434
7	Spacewardharpy7	376
8	Cowison	325
9	HellsSponge	239
10	TheShyPig	224
11	luseis	217
12	jnp_gaming	203
13	Huwulling	201
14	YungMaki	172
15	pintsizedrogue	148
16	Legendosh	146
17	Quotary	141
18	XxCookiequeenxX	130
19	Kakolbus	114
20	ITDV	107
21	Snowflowe	104
22	Mahoose	103
22	xxPipperDipperxx	103
24	SaucyDark	95
25	CJPerson	91
26	ApophisNova	83
27	PlzNoBM	82
28	kekhon	76
28	HolyVenom	76
30	cedric72	74
31	Mattesco	72
32	Crowman1	71
33	Merv__	67
34	l_James_	63
35	UCP_TheKingK	62
35	CattSoup	62
37	Lez_	59
38	2blox_	56
39	burbankbuilder28	55
39	Manaateee	55
41	cog	54
42	MyNamaSheff	52
43	EveryonesUncle	49
44	noam464	46
44	Blaiku	46
46	TheSecondLord	45
46	FreakGenius	45
48	corpsecity	44
48	MakeHistory157	44
50	Quaintster	43
51	lordpipe	42
52	Valoth	39
53	rarrq	38
54	titanlax	37
55	wwwwinnebagoooo	36
55	AdmiralSmoke	36
57	Kowcio_	35
58	fr_ser	32
58	Kubeusz2010	32
60	Mr_Byzantine	30
60	teslawolf38	30
60	ShedJr_	30
63	Alphanzt99	29
64	jacxhadow	28
65	Druid95	27
66	ECstardust	25
66	eitanzaki	25
68	The_slideV3	24
69	seramalen	23
70	CLG_Kata	21
70	Ezekson	21
72	ProfessorBee	20
73	Kyrum2169	19
74	Blackberry1310	18
75	Marbz_	17
75	Rebytre	17
77	Inchef	16
78	Racengan	15
78	xolstoi	15
80	Eraxa	14
80	Steelynan	14
82	FishyBoy3811	13
82	KingMatthew506	13
82	TechnoNinja64	13
85	PazinGaming	12
85	Nicserso	12
87	EMC_	11
87	lcvezra	11
87	EcksD	11
90	SteveCraftBlocks	10
90	lillips	10
90	Sral7	10
93	RoskobiOne	9
93	Fullut	9
93	NameGenerat0r	9
93	ConnorDanky_	9
93	cichy096	9
93	Jimb0nat0r	9
99	Kim_Jong_eel	8
100	ImpavidArcher	7
100	PigDab	7
100	Lord_Jord	7
100	SvenskaHugo	7
100	PlasticOtari	7
105	Ailmast	6
105	RebelAndroid	6
105	hanaryheatwave	6
105	GhostRecon8014	6
105	SkateboardR6	6
110	500am	5
110	Hermanni__	5
112	k_ce	4
112	Saucepeh	4
112	gcaisawesome	4
112	TheDankPlatypus	4
112	shadowthemonkey	4
112	Jackattack53	4
112	Rumpletaezer	4
112	RobotMinion101	4
112	pixelviolin	4
112	MineMaster0012	4
112	Soplight	4
123	KarlKaek	3
123	Vizzoid	3
123	SnowyAvi	3
123	lunathelemon	3
123	jumpyPog	3
123	NotMeanttoChange	3
123	Hoshi	3
123	prizm_	3
123	Di_infiri	3
123	Hyp3rion_	3
123	Vladotz	3
123	FreddyFart	3
123	Gryglu583	3
123	weabis	3
123	StarCookiees_	3
123	ZoomieZoomie	3
139	Groovy_MoonBird	2
139	DinoDoctor_	2
139	Alteriity	2
139	IgnoredBee	2
139	bloodbiter	2
139	pr33tu	2
139	Secret_Canary	2
139	excelsionprime	2
139	lorpus	2
139	r123moore	2
139	SuperPooch06	2
139	LAVA129	2
139	UMosDiesIrae	2
139	OreTheBear	2
139	drompje	2
139	F_Uhre	2
139	Shiirazu	2
139	thgrocks	2
139	NomadicRobin_	2
139	Cordicus	2
139	Avocadogerms	2
139	Segotep999	2
161	Anne_Primrose	1
161	NotP0tato	1
161	superfred2010	1
161	Hpdinosaur	1
161	lorywithay	1
161	YairZaki	1
161	heckface	1
161	ItsHydroMC	1
161	BobDeBouwer1337	1
161	__Spektra__	1
161	MattieHD	1
161	TheDiamondCG	1
161	Pelbo	1
161	Smashic	1
161	Tmb1	1
161	thescout7	1
161	Bobby808	1
161	PegLegPete93	1
161	ROY4LE	1
161	imcombxt	1
161	M_Patata	1
161	longappendage	1
161	pappaberg	1
161	victricemque	1
161	Onennon	1
161	Akoot_	1
161	fw3xy74	1
161	Symchro	1
161	Wowful	1
161	Deathkob	1
161	Tyrannosplart	1
161	questbox	1
161	ReflexCode	1
161	El_Jalapeno	1
161	3_Solar_3	1
161	Aezekial	1
161	Uncle_Barba	1
161	Leithz6	1
161	MasterNueve	1
161	ayamefag	1
161	TheEnderMan548	1
161	_Tilariel_	1
161	Shin69	1
161	FadedSpade82	1
161	Yungandspicy	1
161	djancak	1
161	SSytex_X	1
161	Spenduh	1
161	PortlyPete69	1
161	eMpTysVoid	1
161	skrongus	1
161	FishisTTV	1
