rank	username	minecraft:picked_up/minecraft:yellow_shulker_box
1	thewindmillman	1718
2	Legendosh	934
3	Eraxa	749
4	Skylord_Luke	713
5	Spacewardharpy7	671
6	Frozil12	657
7	MakeHistory157	384
8	TheSecondLord	357
9	Jovaphobic	330
10	beeperbeeper5	298
11	Smoke____	290
12	pintsizedrogue	282
13	Fullut	277
14	Kakolbus	261
15	OtariCharlie	256
16	Historical_Sand	244
17	MovingFish7	242
17	Dogcorn69420	242
19	Inbefour	240
20	Mahoose	205
21	BumbleBeever	190
22	Prodiginus	188
23	Snowflowe	187
24	Hoid_the_Roamer	182
24	diggydog67	182
26	kekhon	179
27	Blaiku	176
28	Awyrlas	170
29	joethahobo	164
30	YungMaki	149
31	Fuhrer_Teemo	146
32	EveryonesUncle	144
33	m_be9	142
34	Sky_light_KING	141
35	MattieHD	139
36	Werbe	138
36	AssEatrAndLicker	138
38	sebastiensaborio	136
39	set67	127
40	500am	123
41	jcool7	122
42	Njensen7	118
43	claivin	115
44	Bumpy419	113
45	HellsSponge	110
46	Hyp3rion_	101
46	censorsheep	101
46	Spenduh	101
49	Ecplosive	100
49	Enderslayerxz3	100
51	Akoot_	99
51	Soap_Bender	99
53	jnp_gaming	96
54	LexMakesHistory	90
55	_Virify_	89
56	WyngGoy	87
57	ImpavidArcher	86
57	lillips	86
59	eitanzaki	84
59	stellarjay	84
61	Ezekson	77
62	Nycteus_	76
63	oxfordschool	75
64	12Magner05	73
64	fluddd	73
64	anbbang	73
67	lordpipe	70
68	Groovy_MoonBird	69
68	Myszoaz	69
68	NomadicRobin_	69
68	NameGenerat0r	69
68	Hisiste	69
73	burbankbuilder28	67
74	Dreamdbr14	66
75	stahouo	65
76	Blackberry1310	63
77	teslawolf38	61
77	SammiWolfGirl	61
79	Auseawesome	59
79	mwrty	59
79	IdeallyGrey	59
82	noam464	58
83	Zaridey	57
83	_TCARREIRA_	57
85	SingedBread	55
86	dabloons	54
87	Quotary	52
88	Di_infiri	51
88	MilleGrug	51
90	Voxin2K	50
91	xxPipperDipperxx	49
91	Chromary	49
91	MightyWertu	49
94	Sral7	48
95	PhantomsGhost_	46
96	Iagoku	45
96	Russiancat1	45
96	sp00ky_ghost977	45
99	ShedJr_	44
99	titanlax	44
99	chipklip	44
102	Groundler	42
103	Xalithia	38
103	XboxPanda	38
103	Kowcio_	38
106	Soplight	37
107	KingMatthew506	36
107	RadarHz	36
109	eiC_	33
110	MixerDixer	32
110	Dedalus36	32
110	gcaisawesome	32
110	PigDab	32
110	lcvezra	32
115	rarrq	31
115	1442	31
117	El_Jalapeno	30
118	CoffeeNoir	29
118	_Bguette_	29
120	TooManyDuck	27
120	pappaberg	27
122	Hpdinosaur	26
122	Donutt	26
122	Kateesaur	26
125	Jackattack53	25
126	Maenara	24
126	Freak_Genius	24
126	Razzgriz	24
129	JEWISHBadenBeele	23
129	Inchef	23
131	MSK__	22
131	SellyZ	22
131	EcksD	22
134	emrekn	21
134	gabriels543	21
134	Deathkob	21
134	ThatMan_Dave	21
134	fffMike	21
139	TheShyPig	20
139	AltnumberF4	20
141	AuroraValkyrie	19
141	SuperPooch06	19
141	vandmanden	19
144	ProfessorBee	18
144	KartivGal	18
144	Leyna3	18
144	_3Stump_	18
148	awesomeoneme	17
148	fred870d	17
148	Sheldor097	17
148	h2p_emrld	17
152	ProbablyNick	16
152	Rich_Kat	16
152	ImDisconnected_	16
152	MangoTheFish	16
152	Steven1282598	16
152	Airem_Core	16
158	Kouridragon	15
158	wezzzi	15
158	SvenskaHugo	15
158	TechnoNinja64	15
158	EcksDofficial	15
163	Lepthymo	14
163	Yatitay	14
163	r123moore	14
163	audiocracked	14
163	__tomato	14
163	2blox	14
169	Drlzyy	13
169	Warlord324	13
169	Zoeyfortnite	13
169	JayToe	13
173	I_Am_Mushkin	12
173	Blu3beast	12
175	EMC_	11
175	SaucyDark	11
175	thescout7	11
175	BlossomOwO	11
179	ese_wn_po	10
179	DeGodz4life	10
179	Eczbek	10
182	Merv__	9
182	diamondgolem35	9
182	Hiryu27	9
182	pixelviolin	9
186	Octatrack	8
186	GingerNeutron	8
186	Xclax101	8
189	CyrusIsTired	7
189	SeverianTheLame	7
189	BronkerBrum	7
189	GlitchyPlate810	7
189	ZeroKraken	7
189	TheOuterCore	7
195	KarlKaek	6
195	Houstonion	6
195	MOSS000	6
195	Euclidoris	6
195	surfinggiraffejp	6
195	nitram49b	6
195	HyperCave	6
195	MyNameIsDakar	6
195	Shogunite	6
195	TheTommyGun63	6
195	Ze_BaronKrigler	6
195	Hermanni__	6
207	IWorkAtIkea	5
207	2Stout	5
207	Winklepicker279	5
207	ApophisNova	5
207	CruncyIsTaken	5
207	ProfessorDiaper	5
207	alderban107	5
207	VentiHilton	5
207	Skippeh	5
207	MyNamaSheff	5
207	Nicserso	5
207	Powowowow	5
219	ExtraDumb	4
219	Flores991	4
219	Notta	4
219	SoftSix	4
219	Flapjacker687	4
219	egglapras	4
219	_Boipl_	4
219	k1ngGilgamesh	4
219	p4lp	4
219	Truckoss	4
219	Mattesco	4
219	GoofyBread	4
219	Typadopoulos	4
219	IAmTheWalrus910	4
233	Bandito_Roamer	3
233	pZygh0st	3
233	jimbo61101jr	3
233	H72l9w	3
233	jushykins	3
233	ROY4LE	3
233	Diavri	3
233	Marbz_	3
233	MyNameIsJobo	3
233	xambsam	3
233	Zythose	3
233	The11thDoctor	3
233	FishyBoy3811	3
233	Lord_Jord	3
233	MAns_44	3
233	stavgod	3
233	Jij0	3
233	sea_otter_h	3
251	Froste131	2
251	hm947	2
251	Wooptey	2
251	PhantomBionic	2
251	fr0stss	2
251	SDMNAEK	2
251	_Nuf	2
251	SteveCraftBlocks	2
251	KSI	2
251	EfficientC52	2
251	teakings	2
262	littlesophiagirl	1
262	Incinere	1
262	livingdaydreams	1
262	jimintyy	1
262	SpaceGrenadier	1
262	irregularshed	1
262	YungJakobo	1
262	Austine6698	1
262	potato292	1
262	Z3braYTIL	1
262	Kkanot	1
262	fr_ser	1
262	whoaluv	1
262	DaviusMaximoose	1
262	Rocco_Lane	1
262	drompje	1
262	sxc_	1
262	RodSerlingCringe	1
262	masskedman	1
262	Lord_Zacler	1
262	DarlaMeow	1
262	alddd	1
262	rezi	1
262	Bloo2406	1
262	ceAndy200	1
262	OG_Songsee	1
262	CSG_Haru	1
262	KG1999	1
262	_Yonk_	1
262	obzii	1
262	CouncilCody	1
262	RoboTramp7865	1
262	FelixPSY375	1
