rank	username	minecraft:picked_up/minecraft:smooth_sandstone_slab
1	500am	1558
2	Kim_Jong_eel	1102
3	Steelynan	909
4	Soplight	490
5	Mahoose	440
6	noam464	406
7	Blaiku	385
8	Enderxz3	382
9	Onennon	367
10	Creativebuilder2	320
11	IamCL4SSY	310
12	Frozil20	300
13	Legendosh	294
14	2Stout	271
15	TheDankPlatypus	226
16	jnp_gaming	209
17	RebelAndroid	190
18	xolstoi	186
19	WyngGoy	181
20	Blackberry1310	180
21	KarlKaek	164
22	ImpavidArcher	152
23	Hyugo	144
24	John6970	141
25	eitanzaki	137
26	FreakGenius	135
27	Mr_Byzantine	129
28	_Bguette_	122
29	kekhon	118
30	Ssor69	111
31	Cryptacity	109
32	NameGenerat0r	108
33	WarMachina	102
34	TheShyPig	99
35	_stets	98
36	SteveCraftBlocks	96
37	Sral7	93
38	PlasticOtari	92
39	ooga47	91
40	SkateboardR6	89
41	Kowcio_	85
42	Merv__	83
42	joethahobo	83
44	LeonelSalamanca	74
45	Franco093	72
46	Arceus1975	71
47	PazinGaming	70
48	__tomato	69
49	TechnoNinja64	67
50	Werbe	65
51	Groovy_MoonBird	52
52	yoyoYoloMonke	51
53	The_Quack_Dealer	48
54	BPTY4618	44
54	burbankbuilder28	44
56	Vizzoid	40
57	TheSecondLord	36
57	LeGold	36
59	AltnumberF4	35
60	Tyrannosplart	33
61	Lord_Jord	31
61	luseis	31
63	shadowthemonkey	30
64	CoffeeNoir	29
65	peach0s	27
66	andy_rex	26
67	Snowflowe	25
67	Inbefour	25
67	Crumbls	25
70	QuacksonThe3rd	23
71	MeowMeowMcmuffin	21
72	Frach23	20
73	ApophisNova	18
73	SwooshBoi	18
73	YungMaki	18
73	MyNamaSheff	18
77	xXTheWolfmanXx	17
78	DarlaMeow	16
79	NNikitas	15
80	mwrty	14
80	gcaisawesome	14
82	Akoot_	13
82	xzvu	13
84	groofles	12
85	pintsizedrogue	11
85	Hpdinosaur	11
85	lillips	11
88	Lez_	10
89	Fullut	9
90	Kakolbus	8
90	Wowful	8
90	Segotep999	8
93	beeperbeeper5	7
93	Saucepeh	7
93	Inchef	7
93	Felenov	7
93	XxCookiequeenxX	7
98	jessewegottacook	6
98	lordsaladito	6
98	FreddyFart	6
98	JureJurko	6
98	SexcMf	6
103	ActualPatbaf	5
104	himak1	4
104	Skylord_Luke	4
104	Blu3beast	4
104	Eraxa	4
108	ShedJr_	3
108	oreee	3
108	set67	3
108	Karetoko	3
108	ProfessorDiaper	3
108	Hermanni__	3
114	_Huge_Male_	2
114	Incinere	2
114	Fuzai	2
114	WET_WET_WET	2
114	Voxin2K	2
114	duqboy	2
114	Hisiste	2
114	CalebDHawk	2
122	PhantomsGhost_	1
122	Wooptey	1
122	Di_infiri	1
122	Jackattack53	1
122	King_Pancake1	1
122	epiksk8erduck	1
122	MustaLoordi	1
122	Nycteus_	1
122	Eczbek	1
122	Ezekson	1
122	Calbo_	1
