rank	username	minecraft:picked_up/minecraft:yellow_terracotta
1	thewindmillman	91476
2	RebelAndroid	2539
3	CattSoup	2471
4	TheShyPig	2391
5	RatatJuice	2366
6	Legendosh	2269
7	Enderxz3	2105
8	Snowflowe	1584
9	Jovaphobic	1571
10	the_russell1611	1234
11	Steelynan	1211
12	Mahoose	1142
13	Spacewardharpy7	1082
14	Deerfoot	1014
15	Kowcio_	986
16	Rumpletaezer	971
17	ProfessorBee	835
18	RoofTyler	825
19	CuzIm2Kev	720
20	500am	706
21	Parcc	679
22	PhantomsGhost_	642
23	QueenShuvi	584
24	pintsizedrogue	566
25	kekhon	533
26	ConnorDanky_	484
27	F_Uhre	465
28	ROY4LE	458
29	EMC_	426
30	PlasticOtari	411
31	FreakGenius	348
32	_Nuf	323
33	YungMaki	321
34	00000000-0000-0000-0009-01ff0c3e5e4f	318
35	Jimb0nat0r	302
36	Di_infiri	290
37	AuroraValkyrie	289
38	joethahobo	288
39	weabis	277
40	lillips	275
41	gusstationwerker	235
42	Nicserso	227
43	Huwulling	220
44	Hyp3rion_	218
45	Hoid_the_Roamer	204
46	MAns_44	192
47	Onennon	191
48	TheSecondLord	181
49	oreee	176
50	Skippeh	165
51	Merv__	154
52	EngagedGrub41	145
53	mwrty	143
54	KingMatthew506	140
55	Smoke____	129
56	Lord_Jord	124
57	luseis	122
58	Hermanni__	117
59	eitanzaki	115
60	PortlyPete69	114
61	SDMNAEK	112
62	EcksD	107
63	MightyWertu	104
64	Deathkob	103
65	ooga47	99
66	stavgod	94
67	NomadicRobin_	88
67	jnp_gaming	88
69	IdeallyGrey	87
70	prizm_	82
71	XxCookiequeenxX	81
72	ImpavidArcher	80
72	Swexti	80
74	xXTheWolfmanXx	79
75	Kakolbus	72
76	Notta	71
77	SSytex_X	69
78	corvidpartyfor6	67
79	Crowman1	65
79	MovingFish7	65
81	fw3xywashere	64
82	gabriels543	54
83	noam464	47
84	TheWildMateo	44
85	Hpdinosaur	41
85	shrimp_flips	41
87	Soplight	40
88	Smashic	39
88	Ezekson	39
88	JasmineGK	39
91	Akoot_	35
91	Weepingbiel	35
93	QuiCreans	33
93	Kim_Jong_eel	33
95	Apollo_993	31
96	WET_WET_WET	29
96	Njensen7	29
98	Pearlplatinum	27
98	Inbefour	27
100	xxPipperDipperxx	24
100	gcaisawesome	24
100	THEKINGLyric10	24
103	Sral7	21
104	wirelesstree	20
105	ZigzagLily43042	16
105	mariominejedi	16
107	Mr_Byzantine	14
107	imthatpikachu	14
107	fade_emerge78823	14
107	Blaiku	14
111	J4ko8_	13
112	OG_Songsee	12
113	Frozil20	11
114	Bumpy419	10
114	xolstoi	10
116	MattieHD	9
116	Inchef	9
116	Karetoko	9
116	AnnieBathory	9
116	ZoomieZoomie	9
121	m_be9	8
121	Secret_Canary	8
121	MyNameIsJobo	8
121	Moofyman	8
121	DarlaMeow	8
121	Barlycorn	8
127	SteveCraftBlocks	7
127	Nyxiom_	7
127	AvaRosey	7
127	MilleGrug	7
131	NatalieTW	6
131	MixerDixer	6
131	Kamflame10	6
131	LilLizardWizard	6
135	_Virify_	5
135	NotMeanttoChange	5
135	drunkeeez	5
135	fxiryglitch	5
135	ougstur	5
140	12Magner05	4
140	Fullut	4
140	Tyrannosplart	4
140	Blu3beast	4
140	__tomato	4
145	Bandito_Roamer	3
145	livingdaydreams	3
145	beeperbeeper5	3
145	rarrq	3
145	noodlepack	3
145	Scathra	3
145	2Stout	3
145	RedcatVII	3
145	jcool7	3
145	bladeefan2009	3
155	dimondking777	2
155	SmashingPump	2
155	Scattman_	2
155	thescout7	2
155	Hiryu27	2
155	AlexxO_o	2
155	BunkeredTree	2
155	binman420	2
155	Darkgon	2
155	_Karmaa	2
155	SvenskaHugo	2
155	yatsuta	2
155	xzvu	2
155	fffMike	2
155	Winston_Ingram	2
155	diggydog67	2
171	MunkaKris	1
171	shineh10	1
171	CoffeeNoir	1
171	Lez_	1
171	nocturne78	1
171	ratglock	1
171	bloodbiter	1
171	Megarboh	1
171	theonlymagikarp	1
171	Zaridey	1
171	Marbz_	1
171	_8man	1
171	Rebytre	1
171	d4mndaniel2	1
171	Mattesco	1
171	sammidk	1
171	lizardfightclub	1
171	cog	1
171	lordpipe	1
171	monky_irl	1
171	SexcMf	1
171	pixelviolin	1
171	AssFullaCum	1
171	RealGroot	1
171	djancak	1
171	SammiWolfGirl	1
171	TheALV	1
171	MandenR1	1
171	Zcolt69	1
