rank	username	minecraft:picked_up/minecraft:spire_armor_trim_smithing_template
1	OreTheBear	6
2	lorywithay	3
3	Archsam	2
3	Secret_Canary	2
3	StarCookiees_	2
6	CLG_Kata	1
6	Napoleonpancake	1
6	beeperbeeper5	1
6	Hyp3rion_	1
6	pixelviolin	1
6	Kowcio_	1
