rank	username	minecraft:picked_up/minecraft:stripped_bamboo_block
1	Mattesco	1290
2	milltesco	240
3	Niklas20114552	239
4	CacheOut	227
5	Enderxz3	135
6	Yamdalorian	101
7	Buuck_	84
8	Mr_Byzantine	78
9	Hoid_the_Roamer	17
10	Bambuino	12
10	Jimb0nat0r	12
12	Hahaa_0	10
13	pixelviolin	8
14	Merv__	7
14	Mr_Sun15	7
16	_witch_craft_	6
17	craaaash	5
17	Manaateee	5
19	MattieHD	4
20	robonya_	3
21	nev_s	2
21	TheSecondLord	2
21	Hyp3rion_	2
24	j5ylim	1
24	Lorcout	1
24	Napoleonpancake	1
24	NutellaPenguinz	1
24	cutelilreno	1
24	IlkeCookes_	1
24	Kowcio_	1
