rank	username	minecraft:picked_up/minecraft:prismarine_brick_slab
1	HellsSponge	3884
2	pintsizedrogue	1813
3	Ezekson	665
4	Kakolbus	356
5	Smoke____	349
6	SammiWolfGirl	347
7	Natofthese	254
8	ImpavidArcher	243
9	beeperbeeper5	238
10	diggydog67	228
11	Frozil12	213
12	Maenara	211
13	CliffEmAll	197
14	TheShyPig	166
15	lizardfightclub	157
16	Eraxa	154
17	diamondgolem35	153
18	Chromary	141
19	Spacewardharpy7	137
19	EcksD	137
21	Enderslayerxz3	134
22	sebastiensaborio	131
23	Legendosh	129
24	noam464	122
25	eitanzaki	86
26	joethahobo	84
27	Bumpy419	81
28	Merv__	80
29	Zaridey	76
30	LittleBug562	73
31	Kowcio_	70
32	Blaiku	69
33	PigDab	63
34	Paintz	59
35	500am	56
36	oxfordschool	53
37	Groundler	52
38	lordpipe	50
39	himak1	47
40	Barlycorn	44
41	thescout7	43
42	Hiryu27	32
43	SpookyDraggin	29
44	Comma__	28
44	Blu3beast	28
46	NotMeanttoChange	27
47	YungMaki	26
48	KarlKaek	25
49	Skippeh	23
50	ZoharGoldMine	20
51	Arceus1975	18
52	m_be9	17
52	PortlyPete69	17
54	Vorlice	15
54	obzii	15
56	slendersipl	14
57	jcool7	13
58	stahouo	12
59	CoffeeNoir	10
59	gcaisawesome	10
61	Drlzyy	7
62	TheSecondLord	6
62	kekhon	6
62	M_Patata	6
62	Onennon	6
62	MasterNueve	6
67	Mr_Byzantine	5
67	MightyWertu	5
67	Soplight	5
70	rarrq	4
70	Fullut	4
72	Groovy_MoonBird	3
72	Mahoose	3
72	ShedJr_	3
72	OtariCharlie	3
72	The_slideV3	3
72	Racengan	3
78	error10101	2
78	Hpdinosaur	2
78	ApophisNova	2
78	Werbe	2
78	AssEatrAndLicker	2
78	Nycteus_	2
78	__Auspicious	2
78	KingMatthew506	2
78	MyNamaSheff	2
78	Powowowow	2
78	TechnoNinja64	2
89	Tolhart	1
89	Akoot_	1
89	_Bguette_	1
89	LexMakesHistory	1
89	SingedBread	1
89	lcvezra	1
89	Catharsist	1
89	Nicserso	1
89	EcksDofficial	1
