rank	username	minecraft:picked_up/minecraft:blue_wool
1	thewindmillman	111600
2	joethahobo	74896
3	noam464	70019
4	EcksD	27544
5	Xclax101	6052
6	Snowflowe	5379
7	xxPipperDipperxx	3837
8	Hermanni__	3732
9	Lord_Jord	3527
10	PhantomsGhost_	3359
11	mwrty	2983
12	HellsSponge	2654
13	YungMaki	2195
14	Ezekson	1951
15	Spacewardharpy7	1761
16	Merv__	1660
17	TheShyPig	1522
18	beeperbeeper5	1234
19	IWorkAtIkea	834
20	Werbe	775
21	fw3xywashere	748
22	Inbefour	696
23	The11thDoctor	574
24	FreakGenius	568
25	lordpipe	567
26	Blaiku	564
27	Legendosh	557
28	Soplight	538
29	TeenMomTom	512
30	Rumpletaezer	502
31	Fuhrer_Teemo	493
32	Lez_	491
33	Motsaro	396
34	Smoke____	385
35	TechnoNinja64	345
36	Mattesco	325
37	xolstoi	304
38	Huwulling	281
39	Skylord_Luke	262
40	binman420	256
41	Mr_Byzantine	248
42	The_slideV3	228
43	Deerfoot	226
44	WyngGoy	224
45	ROY4LE	223
46	ConnorDanky_	221
47	Fullut	209
48	Blackberry1310	205
49	Blu3beast	203
50	ShedJr_	200
51	TheSecondLord	195
51	Steelynan	195
53	CadenSteele	186
53	rarrq	186
55	eitanzaki	180
56	PazinGaming	177
57	Jackattack53	167
58	heckface	153
59	Wooptey	149
60	Maenara	147
61	weabis	127
62	kekhon	124
63	ImpavidArcher	123
64	SammiWolfGirl	114
65	bigstankyy	113
66	Mahoose	111
67	MattieHD	110
68	PlasticOtari	105
69	Bumpy419	103
69	IamCL4SSY	103
71	NomadicRobin_	97
72	luseis	95
73	Di_infiri	87
74	dabloons	85
75	Frozil20	84
76	SaucyDark	82
77	Nostrom	78
77	NameGenerat0r	78
79	Crowman1	77
79	El_Jalapeno	77
81	Smashic	70
82	Skippeh	69
83	lcvezra	68
84	Akoot_	67
85	Deathkob	65
85	CalebDHawk	65
87	Comma__	64
87	Mobstr	64
87	Muffindrake	64
90	theonlymagikarp	63
90	gusstationwerker	63
92	_Dean_123	62
92	Dogcorn69420	62
94	nocturne78	59
94	EveryonesUncle	59
94	Northernrabbit	59
97	6king6colt6	58
97	LilyNova	58
99	hollowww	48
100	BreadBacon	42
101	Zoeyfortnite	40
102	DarlaMeow	39
103	MustardDrinker	38
104	MyNameIsDakar	36
105	33sudo	35
105	Kowcio_	35
107	pintsizedrogue	34
107	fffMike	34
109	T045RTY	32
109	bitsplease	32
111	legal_tax_evader	31
111	fkGrim	31
113	Babushka0430	30
113	Nycteus_	30
113	BumbleBeever	30
116	Eraxa	29
117	seanitoo	27
118	_darky1_	26
118	TableTim	26
118	LilLizardWizard	26
121	SuperPooch06	25
121	SSytex_X	25
121	CattSoup	25
124	GlitchyPlate810	24
125	TheWildMateo	23
126	MakeHistory157	22
126	Jij0	22
128	RoboTramp7865	21
129	Kyrum2169	20
130	Kura2218	19
131	thgrocks	18
131	Russiancat1	18
131	censorsheep	18
134	MrExplorer	17
134	GingerNeutron	17
134	Smussa	17
137	FazeObama69	16
137	Foof13	16
137	mariominejedi	16
137	djancak	16
141	AlexxO_o	15
141	SpacesickPrism	15
143	m_be9	14
143	Arceus1975	14
143	Drewen24	14
146	teslawolf38	13
146	Karetoko	13
146	Sral7	13
146	MandenR1	13
150	CoffeeNoir	12
150	Barlycorn	12
150	__Auspicious	12
150	monky_irl	12
154	Valoth	11
154	bladeefan2009	11
156	TheMaster972	10
156	Tjhodskins19	10
156	Kijiki	10
156	BioKing99	10
156	JasmineGK	10
161	SlowMoNinja1994	9
161	Inchef	9
161	Iamthejo	9
161	Jimb0nat0r	9
165	Biites	8
166	MrQuanQuan	7
166	420BreadLizard	7
166	jnp_gaming	7
169	RebelAndroid	6
169	gaziter10	6
169	dopplexd	6
169	Ardennes	6
169	intropass	6
169	Fuad_R	6
169	ReflexCode	6
169	laron58	6
177	BPTY4618	5
177	SmashingPump	5
177	NieToksikpl	5
177	PeteO1995	5
177	Dooinfe	5
177	fluddd	5
177	PlzNoBM	5
177	Enderxz3	5
185	jushykins	4
185	corvidpartyfor6	4
185	shadowthemonkey	4
185	StinkyDiplomat	4
185	marumochis	4
185	THEKINGLyric10	4
185	xzvu	4
185	xof_on_microwave	4
193	KomputerDude	3
193	bloodbiter	3
193	MinttyFressh	3
193	ProfessorBee	3
193	AlexStrange	3
193	RoofTyler	3
199	Bandito_Roamer	2
199	EMC_	2
199	Historical_Sand	2
199	InfernalMound	2
199	bbquakes	2
199	ImDisconnected_	2
199	__Fanda__	2
199	gabriels543	2
199	RohnJosin	2
199	Skomo	2
199	claivin	2
199	SvenskaHugo	2
199	pablopickle	2
199	UCP_TheKingK	2
199	guccipucci_	2
199	KingMatthew506	2
199	Quotary	2
199	Kateesaur	2
217	BigMaoguai	1
217	_AceOfSpace_	1
217	tramizu	1
217	Rich_Kat	1
217	squillz105	1
217	set67	1
217	Scathra	1
217	Yirtle	1
217	NotMeanttoChange	1
217	Eman__1	1
217	yaboo88	1
217	Jeteight	1
217	SonicRainBow_	1
217	MinerDec	1
217	gloryoftherain	1
217	OverallConcept	1
217	Groundler	1
217	Njensen7	1
217	VentiHilton	1
217	Wolverine4302	1
217	aubergined	1
