rank	username	minecraft:picked_up/minecraft:danger_pottery_sherd
1	j5ylim	13
2	pintsizedrogue	5
3	Enderxz3	4
4	k_ce	3
4	Mr_Byzantine	3
4	beeperbeeper5	3
4	crashomon	3
4	OreTheBear	3
4	Kowcio_	3
10	oscminus	2
10	pixelviolin	2
12	Archsam	1
12	Secret_Canary	1
12	Samificator	1
12	Pumpkin_P_Patch	1
