rank	username	minecraft:picked_up/minecraft:oak_chest_boat
1	Ezekson	6
2	Mahoose	5
3	Marbz_	4
4	pintsizedrogue	3
5	shineh10	2
5	Jackattack53	2
5	luseis	2
8	j5ylim	1
8	beeperbeeper5	1
8	PaperCanvas	1
