rank	username	minecraft:picked_up/minecraft:chiseled_tuff
1	CLG_Kata	18
2	thewindmillman	11
3	Spaghettatron	7
4	Buuck_	6
5	Mr_Byzantine	3
5	MyMawgDonaldsGon	3
5	Secret_Canary	3
8	MattieHD	2
9	MAns_44	1
9	Pumpkin_P_Patch	1
