rank	username	minecraft:picked_up/minecraft:oak_button
1	Legendosh	341
2	thewindmillman	314
3	rarrq	303
4	500am	293
5	Lord_Zacler	250
6	beeperbeeper5	186
7	burbankbuilder28	133
8	Groundler	101
9	thescout7	97
10	Di_infiri	93
11	Mahoose	86
12	eitanzaki	84
12	TheShyPig	84
14	jnp_gaming	63
15	Ezekson	56
16	PhantomsGhost_	50
17	PlasticOtari	48
18	HellsSponge	46
19	Jackattack53	44
20	Segotep999	40
21	Soplight	38
22	Kouridragon	36
23	gabriels543	35
24	xxPipperDipperxx	33
25	Smoke____	32
26	KingFaenor	31
26	Spacewardharpy7	31
28	M_Patata	30
29	ProfessorDiaper	27
30	El_Jalapeno	26
31	XboxPanda	25
32	BumbleBeever	21
32	oxfordschool	21
34	awesomeoneme	19
34	noam464	19
36	Werbe	18
36	Kubeusz2010	18
36	cichy096	18
39	MasterNueve	17
40	Merv__	16
40	__tomato	16
42	mwrty	15
42	Hiryu27	15
42	ApophisNova	15
42	MyNamaSheff	15
46	pintsizedrogue	14
46	Cowison	14
46	SteveCraftBlocks	14
46	CharlieButt	14
46	diggydog67	14
51	kekhon	13
52	tsohomie	12
52	Ardennes	12
52	NotMeanttoChange	12
52	Akoot_	12
52	lordpipe	12
57	EveryonesUncle	11
57	Frozil12	11
57	EcksDofficial	11
60	joethahobo	10
60	Awyrlas	10
60	Bumpy419	10
60	sufjanlover	10
64	Jovaphobic	9
64	Sleek_Storm_721	9
64	kars0n	9
64	Xclax101	9
64	YungMaki	9
69	ColeSnyder	8
69	Purplehere	8
69	Windo_licker	8
69	ooga47	8
69	Onennon	8
69	fkGrim	8
69	Blu3beast	8
69	MilleGrug	8
77	Groovy_MoonBird	7
77	Jackster03	7
77	Blackberry1310	7
77	12Magner05	7
77	_Nuf	7
77	gcaisawesome	7
77	chipklip	7
77	ebanana	7
77	Soap_Bender	7
77	fluddd	7
77	Ze_BaronKrigler	7
88	teslawolf38	6
88	Natty	6
88	ccormacs	6
88	ratglock	6
88	Zenlou	6
88	ogoa	6
88	NameGenerat0r	6
88	Nycteus_	6
88	Warlord324	6
88	PabloGonza02	6
88	laron58	6
88	Jordan_R	6
100	Bandito_Roamer	5
100	ssleepless	5
100	livingdaydreams	5
100	T045RTY	5
100	jushykins	5
100	bloodbiter	5
100	Rich_Kat	5
100	benediktine1	5
100	Mpkkiller	5
100	Syropatathe	5
100	_Bguette_	5
100	lcvezra	5
112	The_Thund	4
112	nataliecool	4
112	Dedalus36	4
112	ImpavidArcher	4
112	CoffeeNoir	4
112	tortillatitan	4
112	Enigma0251	4
112	crying_wolf_13	4
112	hcb238	4
112	NotKaden_	4
112	purpolepickle	4
112	loveseeker	4
112	_Boipl_	4
112	domagawha	4
112	epiksk8erduck	4
112	Drewen24	4
112	DanTheBuilderino	4
112	Kyrum2169	4
112	BlankityMcBlank	4
112	EcksD	4
112	smogfrog	4
133	seanitoo	3
133	Franco093	3
133	fr0stss	3
133	Ssor69	3
133	m_be9	3
133	shyshyannne	3
133	r123moore	3
133	Karetoko	3
133	DeeDeeThonk	3
133	PigDab	3
133	LilLizardWizard	3
133	lizardfightclub	3
133	Maenara	3
133	ILoveCarrot	3
133	proxivitoid	3
133	OrangeJuiceBox	3
133	MightyWertu	3
133	__Auspicious	3
133	Typadopoulos	3
133	AvaRosey	3
133	IAmTheWalrus910	3
133	Sheldor097	3
133	OfficerAnvil	3
133	Quotary	3
133	RoboTramp7865	3
158	MunkaKris	2
158	MixerDixer	2
158	ItsColin11	2
158	Lapbottom	2
158	HollieDaNugget	2
158	Swexti	2
158	titanlax	2
158	Cryptacity	2
158	_Dean_123	2
158	Fullut	2
158	egglapras	2
158	SUSUGAM	2
158	Noah_Bez	2
158	MyNameIsJobo	2
158	SuperPooch06	2
158	WET_WET_WET	2
158	Arceus1975	2
158	DaviusMaximoose	2
158	tobinwilliams	2
158	cedric72	2
158	Oragious	2
158	Huic_ostiarius	2
158	Oldham	2
158	RodSerlingCringe	2
158	Sky_light_KING	2
158	masskedman	2
158	Inbefour	2
158	SpouHn	2
158	NoChumpChange	2
158	Jiminie	2
158	NYJ	2
158	ChocolatePepsi	2
158	Charleszetoast	2
158	censorsheep	2
158	Cyntrical	2
158	GravitySaint	2
158	Blaiku	2
158	Racengan	2
158	SkateboardR6	2
158	Hisiste	2
158	CSG_Haru	2
158	Pickel_Lord	2
158	Eraxa	2
158	KG1999	2
158	yatsuta	2
158	Kowcio_	2
158	gaming4Naming	2
158	Kferno	2
158	TitanCrafting	2
158	Nicserso	2
158	Enderslayerxz3	2
158	adiccting01	2
210	heysushii	1
210	JohnnyFyes	1
210	MayorEden	1
210	dimondking777	1
210	Houstonion	1
210	bigstankyy	1
210	NotP0tato	1
210	No_u4	1
210	SteveWithClout	1
210	Da_Boss_Rani	1
210	nocturne78	1
210	Euclidoris	1
210	prelutrinae	1
210	TheSecondLord	1
210	ThePoliteG	1
210	Mariopreeet	1
210	PegLegPete93	1
210	zemey	1
210	FennYuzuna	1
210	Ecplosive	1
210	Sagaram	1
210	valiSW	1
210	whoaluv	1
210	Snowflowe	1
210	andy_rex	1
210	RyuNeko932000	1
210	MangoTheFish	1
210	DAD_1996	1
210	RobotMinion101	1
210	HyperCave	1
210	MousePlays	1
210	CaptainAvenger7	1
210	ToastedGamingYT	1
210	Jimi7hits	1
210	Nicky19	1
210	SpookyDraggin	1
210	Blamphe	1
210	yulgur1	1
210	FreddyFart	1
210	avalan64	1
210	claivin	1
210	NotMeowMix	1
210	WyngGoy	1
210	Shin69	1
210	SvenskaHugo	1
210	ReyTheLegend	1
210	starbits140	1
210	Luigipunch989	1
210	jcool7	1
210	Eczbek	1
210	imaginek1d	1
210	Yahrto	1
210	zmpeg	1
210	JayToe	1
210	h2p_emrld	1
210	00000000-0000-0000-0009-01f898304150	1
