rank	username	minecraft:picked_up/minecraft:acacia_boat
1	500am	634
2	M_Patata	247
3	MasterNueve	245
4	beeperbeeper5	199
5	SteveCraftBlocks	151
6	youhjjhhhjj	105
7	MineMaster0012	102
8	Merv__	95
9	Mahoose	92
10	CalebDHawk	91
11	TechnoNinja64	80
12	Blu3beast	67
13	AdmiralSmoke	63
14	Lord_Zacler	60
15	ROY4LE	52
16	Jackattack53	49
17	kekhon	48
17	himak1	48
19	Frozil20	47
20	TheShyPig	45
21	FelixPSY375	44
22	Deathkob	42
23	Steelynan	40
24	wwwwinnebagoooo	39
24	Soplight	39
26	Di_infiri	37
26	yulgur1	37
28	Euclidoris	36
28	SammiWolfGirl	36
28	Sral7	36
31	Kamflame10	35
31	underscore_2	35
33	eitanzaki	34
33	Ezekson	34
35	EcksD	32
36	joethahobo	31
36	_Dean_123	31
36	OPTOMA_KING	31
39	Powowowow	30
40	MyNameIsJobo	29
41	the__Reaper4999	28
42	Groovy_MoonBird	27
42	Apollo_993	27
44	Eraxa	26
45	thescout7	25
45	SuperPooch06	25
47	Blackberry1310	24
47	Raspberry_Sodas	24
49	rarrq	23
49	FreakGenius	23
49	IAmTheWalrus910	23
49	PncakeUniverse	23
53	UCP_TheKingK	22
53	Legendosh	22
53	xolstoi	22
56	blockgamer_69	21
56	lordpipe	21
56	Daedalus342	21
59	TheSecondLord	20
59	DarlaMeow	20
59	Ir0npack	20
62	PhantomsGhost_	19
62	paranoid_plant	19
62	r123moore	19
62	mariominejedi	19
62	Akoot_	19
62	XxCookiequeenxX	19
62	lillips	19
62	SvenskaHugo	19
62	h2p_emrld	19
71	pintsizedrogue	18
71	buttsandcats	18
71	Werbe	18
71	starbits140	18
71	PortlyPete69	18
71	PlzNoBM	18
71	jnp_gaming	18
78	KarlKaek	17
78	Hyp3rion_	17
80	ImpavidArcher	16
80	legal_tax_evader	16
80	MakeHistory157	16
83	_Razaria	15
83	FishyBoy3811	15
83	Kowcio_	15
86	Rorrofighter	14
86	Chromary	14
86	Mattesco	14
86	Leyna3	14
86	Meatlaugh	14
86	Spenduh	14
86	SpaceTurtleOX	14
93	6king6colt6	13
93	Incinere	13
93	Wooptey	13
93	noam464	13
93	CranialBlowout	13
93	Kynigito	13
93	Wowful	13
93	HellsSponge	13
93	MovingFish7	13
93	YungMaki	13
93	ConnorDanky_	13
104	ECstardust	12
104	Franco093	12
104	No_u4	12
104	BreadCatFan5400	12
104	bmac2718	12
104	EveryonesUncle	12
104	ProfessorDiaper	12
104	Enderxz3	12
104	CrazyPotater	12
113	Froste131	11
113	Myszoaz	11
113	Rich_Kat	11
113	Pelbo	11
113	TheSeismicDuck	11
113	censorsheep	11
113	iSammael	11
113	MasterOwen1	11
121	k_ce	10
121	Natty	10
121	Chickenchaser2	10
121	gcaisawesome	10
121	AnnieBathory	10
121	MustardDrinker	10
121	Dreamdbr14	10
128	I_Am_Mushkin	9
128	Kkanot	9
128	oscminus	9
128	F_Uhre	9
128	claivin	9
128	C0oOK13M0N5T3R	9
128	csendeslol	9
128	Pelku	9
128	KingMatthew506	9
128	MirielThePastor	9
128	diggydog67	9
139	diamondgolem35	8
139	Shazzyling	8
139	rpmm	8
139	Fullut	8
139	WET_WET_WET	8
139	6e519903-6217-4a88-968d-485bf79491f4	8
139	Russiancat1	8
139	Quaintster	8
139	JosephCW	8
139	Soul_Atreus	8
149	Mr_Byzantine	7
149	SmashingPump	7
149	CoffeeNoir	7
149	Swexti	7
149	ProfessorBee	7
149	set67	7
149	Touched_Bread	7
149	ADEXTV	7
149	Deodorante	7
149	Nicserso	7
149	Zoeyfortnite	7
160	ShedJr_	6
160	dopplexd	6
160	HoltGrim	6
160	GOOBERGABE04	6
160	thewindmillman	6
160	Zythose	6
160	King_Pancake1	6
160	TechnolyzeLuceo	6
160	ooga47	6
160	thgrocks	6
160	FlashMigma	6
160	Groundler	6
160	Druid95	6
160	SunsetwolfGG	6
160	fffMike	6
160	skrongus	6
176	Jovaphobic	5
176	ProbablyNick	5
176	MLG_Kirby69	5
176	ITDV	5
176	Covalents	5
176	SHAOBADMAN	5
176	ImDisconnected_	5
176	Hiryu27	5
176	Onennon	5
176	makw	5
176	Elastiq	5
176	_Bguette_	5
176	Mweems	5
176	Warlord324	5
176	Slapface522	5
176	felincaus	5
176	_3Stump_	5
176	alderban107	5
194	_Panyu_	4
194	JohnnyMines	4
194	KingFaenor	4
194	Hpdinosaur	4
194	wickedword	4
194	nocturne78	4
194	jushykins	4
194	Scathra	4
194	mwrty	4
194	Irko	4
194	xxPipperDipperxx	4
194	mimbo1211	4
194	CollinMH06	4
194	Arceus1975	4
194	The_Cruncy	4
194	ogoa	4
194	Inbefour	4
194	xofe	4
194	Tyrannosplart	4
194	Dakar_	4
194	_Karmaa	4
194	StinkyDiplomat	4
194	CubeMuse	4
194	Nycteus_	4
194	fluddd	4
194	MS_Pryxx	4
194	Cocoamallows	4
194	Razzgriz	4
194	__tomato	4
194	lcvezra	4
194	c0la_c0ca	4
194	Slovitypagus	4
194	Sheldor097	4
194	Soffbord	4
194	jcool7	4
194	Hermanni__	4
194	Vellu21	4
231	abramgray	3
231	xXTheWolfmanXx	3
231	Historical_Sand	3
231	Vizzoid	3
231	12Magner05	3
231	o0z	3
231	MEMES4_LIFE	3
231	andy_rex	3
231	Bumpy419	3
231	PigDab	3
231	Syropatathe	3
231	fkGrim	3
231	luseis	3
231	Quincannon	3
231	silverpopcorn	3
231	SUN_DREAM	3
231	geekbird	3
231	CornOnTheCobalt	3
231	Kura2218	3
231	AssFullaCum	3
231	BlankityMcBlank	3
231	xzvu	3
231	DennyKai	3
231	MilleGrug	3
231	laron58	3
231	erkada	3
231	_AAZAR	3
231	little_dUki	3
231	Goat_Man512	3
260	_stets	2
260	Flegneh	2
260	TheMilkerOfCats	2
260	RebelAndroid	2
260	SDMNAEK	2
260	Tiberonus	2
260	Sloths_Ender	2
260	BreadFruggis	2
260	IforgotCS_Source	2
260	NotMeanttoChange	2
260	SomeWanderer	2
260	Zerosene	2
260	ARandomHedge	2
260	platinumzero	2
260	Styris	2
260	GothicJamm	2
260	ItsAki_	2
260	selectrix	2
260	DeeDeeThonk	2
260	seramalen	2
260	Sqwishy	2
260	AlexxO_o	2
260	xKhoshekh	2
260	dnlksl	2
260	Ender_Souls	2
260	CarryLine	2
260	IamCL4SSY	2
260	TruestTurnip	2
260	Jiminbub	2
260	KlausVonStiglitz	2
260	godipose	2
260	shrimp_flips	2
260	NameGenerat0r	2
260	Deerfoot	2
260	ReflexCode	2
260	kalzor	2
260	Blaiku	2
260	LordAurum	2
260	Barlycorn	2
260	_Ruzeeq_	2
260	Segotep999	2
