rank	username	minecraft:picked_up/minecraft:brown_terracotta
1	thewindmillman	119015
2	Snowflowe	8721
3	MilleGrug	6947
4	Rumpletaezer	6521
5	FreakGenius	6491
6	ConnorDanky_	5578
7	TheShyPig	4291
8	Deerfoot	3928
9	EMC_	3666
10	Werbe	2367
11	lordpipe	2089
12	KingMatthew506	2043
13	ROY4LE	1976
14	the_russell1611	1910
15	EcksD	1856
16	Sral7	1834
17	EveryonesUncle	1739
18	Inbefour	1687
19	GoofySilly	1659
20	Steelynan	1475
21	Dusk_95	1446
22	El_Jalapeno	1321
23	joethahobo	1302
24	PhantomsGhost_	1279
25	Hyp3rion_	1191
26	Onennon	1127
27	ApophisNova	1118
27	MyNamaSheff	1118
29	MightyWertu	1070
30	Hoid_the_Roamer	1029
31	xxPipperDipperxx	965
32	kekhon	888
33	Parcc	869
34	Hermanni__	828
35	Spacewardharpy7	799
36	gabriels543	797
37	mwrty	743
38	Nicserso	722
39	QuiCreans	719
40	RatatJuice	710
41	RebelAndroid	667
42	fanofbands101	639
43	F_Uhre	634
44	Kamflame10	609
45	SuperPooch06	590
46	Enderxz3	577
47	Stiar	573
48	TooManyDuck	572
49	Nyxiom_	567
50	QueenShuvi	540
51	Fullut	538
52	diggydog67	535
53	Rebytre	533
54	cog	494
55	YungMaki	464
56	NomadicRobin_	434
57	Mahoose	419
58	ougstur	406
59	The11thDoctor	374
60	Comma__	368
61	Kakolbus	366
62	Blaiku	318
63	_Virify_	317
64	_Nuf	316
65	Chromary	315
66	titanlax	309
67	pintsizedrogue	306
68	CoffeeNoir	295
69	AuroraValkyrie	284
70	TechnoNinja64	269
71	fkGrim	268
72	ImDisconnected_	264
73	SDMNAEK	263
74	MrMeisterProper	255
75	masskedman	235
76	Barlycorn	232
77	Merv__	222
78	beeperbeeper5	206
79	groofles	203
80	Akoot_	202
80	_Bguette_	202
82	gren_ben	199
83	theonlymagikarp	195
84	audiocracked	185
85	MyNameIsJobo	182
86	TheSecondLord	179
87	Deodorante	178
88	Natty	177
89	Lord_Jord	169
90	mariominejedi	168
91	Swexti	163
92	lillips	157
93	500am	146
94	MinttyFressh	143
95	Zaridey	131
95	djancak	131
97	00000000-0000-0000-0009-01f073f37a91	128
98	PortlyPete69	124
99	jcool7	113
100	fluddd	103
101	xolstoi	97
102	Di_infiri	96
102	Nycteus_	96
104	MovingFish7	89
105	EngagedGrub41	87
106	Tyrannosplart	85
107	ProfessorBee	77
107	wirelesstree	77
109	Sabby65	74
109	Kowcio_	74
111	nocturne78	64
111	Juk3b0x	64
113	Hiryu27	63
113	__tomato	63
115	Jackattack53	60
116	Noah_Bez	49
117	DarlaMeow	48
118	soundad	42
118	Ozixar	42
120	XxCookiequeenxX	35
121	Frozil20	34
122	imthatpikachu	33
122	yatsuta	33
124	thescout7	32
125	Eraza	30
126	bloodbiter	29
126	J4ko8_	29
128	Groovy_MoonBird	28
129	CityPotato	26
129	SpaceTurtleOX	26
131	Deathkob	25
131	RealGroot	25
133	MixerDixer	22
133	SammiWolfGirl	22
135	m_be9	20
135	Kouridragon	20
137	Blu3beast	17
137	Skippeh	17
139	Notta	16
139	SteveCraftBlocks	16
139	Skylord_Luke	16
142	eitanzaki	15
142	RoofTyler	15
144	Huwulling	14
145	the__Reaper4999	12
145	WinterYoke	12
147	livingdaydreams	11
147	rarrq	11
147	G1ldor	11
147	noam464	11
151	ShedJr_	10
151	Darkgon	10
153	bmac2718	9
153	Scathra	9
153	AnnieBathory	9
153	wfk7	9
153	ReflexCode	9
158	Jovaphobic	8
158	Bandito_Roamer	8
158	LeDuctTape	8
161	Blackberry1310	7
161	_HoneySlime_	7
161	UncleDanDan	7
161	RefluxRatio	7
161	NameGenerat0r	7
166	Eraxa	6
167	Historical_Sand	5
167	StylesK	5
167	vandmanden	5
167	Smoke____	5
171	BobDeBouwer1337	4
171	natajimi	4
171	Karbl	4
171	The_slideV3	4
171	monky_irl	4
171	gusstationwerker	4
171	xzvu	4
171	PlasticOtari	4
179	homeofmew	3
179	ImpavidArcher	3
179	301851	3
179	Vizzoid	3
179	Awyrlas	3
179	legal_tax_evader	3
179	iHuBlack	3
179	Bumpy419	3
179	RobotMinion101	3
179	ooga47	3
179	yulgur1	3
179	MyNameIsDakar	3
179	_Karmaa	3
179	SexcMf	3
179	Weepingbiel	3
179	Jimb0nat0r	3
195	elicobnoah	2
195	set67	2
195	PigDab	2
195	Blamphe	2
195	claivin	2
195	GlitchyPlate810	2
195	Ezekson	2
195	Legendosh	2
203	Lez_	1
203	SpaceGrenadier	1
203	Scattman_	1
203	fade_emerge78823	1
203	Xalithia	1
203	asspharte	1
203	Marbz_	1
203	CarltheCuck	1
203	drompje	1
203	Kim_Jong_eel	1
203	SaintJosie	1
203	LexMakesHistory	1
203	Quincannon	1
203	ItsDeltaMC	1
203	07shiny	1
203	pixelviolin	1
203	Quotary	1
203	little_dUki	1
203	MirielThePastor	1
203	Deliriohm	1
