rank	username	minecraft:picked_up/minecraft:red_mushroom_block
1	Blaiku	7104
2	YungMaki	5872
3	thewindmillman	5516
4	Werbe	5203
5	Lez_	4416
6	12Magner05	4308
7	joethahobo	4200
8	EMC_	3194
9	pintsizedrogue	2739
10	xxPipperDipperxx	2726
11	Enderxz3	2468
12	Di_infiri	2271
13	Jimb0nat0r	2257
14	MightyWertu	2061
15	Kowcio_	1920
16	Alteriity	1798
17	Hermanni__	1656
18	diggydog67	1532
19	Hyp3rion_	1258
20	corpsecity	1209
21	luseis	1068
22	Smoke____	1034
23	kekhon	891
24	ApophisNova	780
24	MyNamaSheff	780
26	groofles	777
27	Historical_Sand	745
28	AuroraValkyrie	597
29	El_Jalapeno	574
30	CattSoup	555
31	RatatJuice	528
32	EveryonesUncle	518
33	SpaceGrenadier	488
34	burbankbuilder28	479
35	Mattesco	471
36	claivin	443
37	MyNameIsDakar	413
38	Ezekson	395
39	Blackberry1310	392
40	H72l9w	391
41	lordpipe	390
42	SammiWolfGirl	379
43	Awyrlas	355
43	PigDab	355
45	Akoot_	343
46	ShedJr_	307
47	beeperbeeper5	306
48	set67	280
49	WyngGoy	278
50	Xclax101	267
51	nattybears	262
52	Arceus1975	255
53	Ryker	224
54	CoffeeNoir	223
55	XxCookiequeenxX	212
56	Deathkob	177
57	titanlax	168
58	Tyrannosplart	164
59	Euclidoris	160
60	noam464	150
61	NameGenerat0r	145
62	UCP_TheKingK	138
63	Legendosh	137
64	Maenara	131
65	seramalen	129
65	Spacewardharpy7	129
65	ConnorDanky_	129
68	EcksD	128
69	Rumpletaezer	127
69	TheSeismicDuck	127
69	djancak	127
72	RoofTyler	118
72	MovingFish7	118
74	gcaisawesome	117
74	HellsSponge	117
76	Frozil20	116
77	Rebytre	111
78	thescout7	99
79	Steelynan	98
80	Marbz_	96
81	PortlyPete69	95
82	fluddd	94
83	Chromary	90
83	LexMakesHistory	90
83	stellarjay	90
86	eitanzaki	88
86	CalebDHawk	88
86	bladeefan2009	88
89	DinoDoctor_	87
90	Jindong	83
91	MattieHD	82
92	ROY4LE	81
93	FreakGenius	77
94	RobotMinion101	75
95	KomputerDude	74
96	eviltunix	72
96	LeEricc	72
98	Fullut	65
98	Kubeusz2010	65
100	binman420	64
101	lillips	59
102	Hpdinosaur	58
103	Mahoose	55
104	Killercatty78	54
105	BumbleBeever	47
106	KingFaenor	45
106	_Nuf	45
106	Shiirazu	45
106	sxc_	45
106	SaintJosie	45
106	Lord_Jord	45
106	Blu3beast	45
106	MakeHistory157	45
106	Kyrum2169	45
106	KingMatthew506	45
106	Nicserso	45
117	Sleek_Storm_721	44
117	SteveCraftBlocks	44
117	lcvezra	44
120	crying_wolf_13	43
121	fanofbands101	42
121	AlexxO_o	42
121	Inbefour	42
124	TheSecondLord	41
125	SuperPooch06	38
126	SellyZ	37
127	pixelviolin	33
128	SaucyDark	32
128	T045RTY	32
130	Soplight	31
131	KarlKaek	30
131	DC_XII	30
133	Eraxa	28
134	hanaryheatwave	27
135	Jiminbub	26
136	Zoeyfortnite	23
137	Cryptacity	22
138	gabriels543	18
138	__tomato	18
140	eclipseboi	15
141	IAmTheWalrus910	14
142	_darky1_	13
142	RealGroot	13
144	Incinere	12
144	LeGold	12
146	SpacesickPrism	10
147	SyntheticSurgeon	8
147	Lekol	8
149	Blazebit	6
149	masskedman	6
149	PlasticOtari	6
152	legal_tax_evader	5
153	Onennon	4
153	TechnoNinja64	4
155	jcool7	3
155	h2p_emrld	3
157	Crowman1	2
157	Scathra	2
157	WET_WET_WET	2
157	Hisiste	2
157	ScarmedLeft	2
162	Cowison	1
162	Zippyzam	1
162	NoHaHeHa	1
162	Kakolbus	1
162	TheShyPig	1
162	Meepcraft	1
162	JESS_THE_RERE	1
162	Fuad_R	1
162	Groundler	1
162	SingedBread	1
162	ItsDeltaMC	1
162	LilcoinXX	1
162	xzvu	1
