rank	username	minecraft:picked_up/minecraft:mangrove_boat
1	CLG_Kata	128
2	Mattesco	119
3	pretty_pink_reno	22
4	falcon244	11
5	Ekkie_Catdeer	10
5	Kowcio_	10
7	Secret_Canary	9
8	beeperbeeper5	8
9	pintsizedrogue	7
9	Merv__	7
9	Enderxz3	7
12	QuiCreans	6
13	Mahoose	5
14	crashomon	4
14	FiguraDei	4
16	OPTOMA_KING	3
16	Segotep999	3
18	Mr_Byzantine	2
18	ImpavidArcher	2
18	MrQuanQuan	2
18	majlin16	2
18	TheKingK_	2
18	Jimb0nat0r	2
18	Yamdalorian	2
25	k_ce	1
25	T045RTY	1
25	SteveCraftBlocks	1
25	Zepsi_Zola_	1
25	bl1ss0	1
25	WET_WET_WET	1
25	luseis	1
25	Manaateee	1
25	BartekB19	1
25	Soplight	1
25	SammiWolfGirl	1
25	TheBananaKat	1
25	skitzxo	1
