rank	username	minecraft:picked_up/minecraft:raw_iron_block
1	thewindmillman	2034
2	Ezekson	866
3	MyNameIsDakar	356
4	GlitchyPlate810	230
5	PlasticOtari	125
6	EMC_	100
7	pintsizedrogue	71
8	diamondgolem35	55
9	starbits140	49
10	Flapjacker687	36
11	fw3xywashere	23
12	TAKrules	19
13	Enderslayerxz3	18
14	lordpipe	12
15	Kakolbus	10
16	Mahoose	8
16	Kowcio_	8
16	Segotep999	8
19	500am	6
20	chrolus	5
20	Mattesco	5
20	Dan_Scha	5
23	KGTV	4
24	Arceus1975	3
24	Jiminie	3
24	ConJaBz	3
24	Miko_Fullbuster	3
24	00000000-0000-0000-0009-01ff0c3e5e4f	3
29	_NieToksikpl_	2
29	Da_Boss_Rani	2
29	ChampPog_	2
29	The_Fulgurator	2
29	pixelviolin	2
29	Spenduh	2
29	Smoke____	2
36	nataliecool	1
36	Ryker	1
36	joethahobo	1
36	TerraVl	1
36	egglapras	1
36	PigDab	1
36	Zielo2017PL	1
36	Lord_Zacler	1
36	wwwwinnebagoooo	1
36	ItsDeltaMC	1
36	Xi_J1nping	1
36	Aryamanee	1
36	Weepingbiel	1
36	coobert42	1
