rank	username	minecraft:picked_up/minecraft:blue_concrete_powder
1	thewindmillman	1464
2	Kyrum2169	1449
3	GlitchyPlate810	1024
4	YungMaki	785
5	set67	640
6	Klerick	512
7	Dusk_95	480
8	RoboTramp7865	447
9	oxfordschool	398
10	Frozil12	384
11	jnp_gaming	322
12	stahouo	256
13	jcool7	252
14	mwrty	238
15	Snowflowe	148
16	lordpipe	137
16	sp00ky_ghost977	137
16	__tomato	137
19	HellsSponge	135
20	XboxPanda	132
21	xxPipperDipperxx	130
22	KingMatthew506	107
23	Xclax101	97
24	Merv__	86
25	Hiryu27	80
26	EMC_	75
27	Truckoss	68
28	Inchef	66
28	Jackattack53	66
30	jacxhadow	61
31	Blaiku	32
31	Xovalt_	32
33	HyperCave	30
34	eitanzaki	21
35	Steelynan	20
36	starbits140	13
37	ImpavidArcher	10
38	Miko_Fullbuster	9
39	Tobinator_007	5
39	beeperbeeper5	5
39	ReverendSmith	5
39	King_Pancake1	5
39	Kowcio_	5
44	pintsizedrogue	4
45	_Dean_123	3
46	Groovy_MoonBird	2
46	TheSecondLord	2
46	kekhon	2
46	ROY4LE	2
46	noam464	2
46	Hoid_the_Roamer	2
46	ElKaySVK	2
53	TheBiggestFeller	1
53	Mahoose	1
53	titanlax	1
53	Orcus113	1
53	Deathkob	1
53	Spacewardharpy7	1
53	Kubeusz2010	1
53	Legendosh	1
