rank	username	minecraft:picked_up/minecraft:amethyst_cluster
1	thewindmillman	11621
2	Mahoose	3572
3	Hyp3rion_	1826
4	TheSecondLord	1566
5	pintsizedrogue	1311
6	ImpavidArcher	591
7	Enderslayerxz3	437
8	RebelAndroid	324
9	PlasticOtari	250
10	Smashic	209
11	Smoke____	170
12	Jiminie	166
13	500am	162
14	lordpipe	159
15	SingedBread	140
16	Kakolbus	86
17	joethahobo	71
18	diamondgolem35	69
19	_NieToksikpl_	62
20	Hermanni__	48
21	Blackberry1310	46
22	Kowcio_	43
23	pixelviolin	39
24	TheDankPlatypus	36
25	Deathkob	33
26	12Magner05	28
27	CalebDHawk	24
28	Frozil12	21
29	_stets	20
29	KarlKaek	20
29	fw3xywashere	20
29	_Karmaa	20
33	SteveCraftBlocks	19
34	Spacewardharpy7	18
35	Freak_Genius	16
36	Flores991	12
36	MSK__	12
36	KGTV	12
39	beeperbeeper5	10
39	Jimi7hits	10
39	MilleGrug	10
42	gcaisawesome	9
42	SuperPooch06	9
42	Legendosh	9
45	Jackattack53	8
45	Toriankel	8
45	IdeallyGrey	8
45	YungMaki	8
49	eitanzaki	7
49	Khelvoryk	7
51	noam464	5
52	Rebytre	4
52	Steelynan	4
54	THExMuffinx	3
54	ShedJr_	3
54	Winklepicker279	3
54	Joestra	3
54	SammiWolfGirl	3
54	TheOuterCore	3
54	Skippeh	3
54	WYFYoyo	3
62	kekhon	2
62	Skylord_Luke	2
62	ApophisNova	2
62	PigDab	2
62	MinuteMira	2
62	lillips	2
62	Nycteus_	2
62	Steven1282598	2
62	CheifJumbo	2
62	Soplight	2
62	EcksD	2
62	MyNamaSheff	2
74	EMC_	1
74	Masssonnn	1
74	egglapras	1
74	Inchef	1
74	Xalithia	1
74	xxPipperDipperxx	1
74	cwartzo	1
74	_Boipl_	1
74	dartwaffle	1
74	HolyVenom	1
74	lizardfightclub	1
74	NomadicRobin_	1
74	TheALV	1
74	Miko_Fullbuster	1
74	sideofbbq	1
74	smogfrog	1
74	Weepingbiel	1
74	2blox	1
