rank	username	minecraft:killed/minecraft:pig
1	corvidpartyfor6	654
2	Kateesaur	410
3	oscminus	348
4	claivin	340
5	thewindmillman	262
5	Akoot_	262
7	kekhon	242
8	El_Jalapeno	227
9	Kubeusz2010	218
10	Di_infiri	217
10	EveryonesUncle	217
12	Windo_licker	216
13	Hyp3rion_	204
14	HellsSponge	194
15	YungMaki	193
16	Frozil20	190
17	BlancoFlaco	172
18	ooga47	171
19	Manaateee	169
20	The11thDoctor	166
21	joethahobo	164
21	Yamdalorian	164
23	UrbanPlanningEx	163
24	EMC_	155
24	RadarHz	155
26	NatalieTW	146
26	beeperbeeper5	146
28	PhantomsGhost_	143
28	trexgb	143
30	burbankbuilder28	137
30	stellarjay	137
32	yulgur1	136
33	thescout7	134
34	eviltunix	133
34	sufjanlover	133
36	pintsizedrogue	131
37	Lez_	127
38	ROY4LE	124
39	00000000-0000-0000-0009-01ff0c3e5e4f	116
40	MattieHD	112
40	Gryglu583	112
42	Rumpletaezer	110
43	k_ce	107
44	KingMatthew506	106
44	Enderxz3	106
46	6king6colt6	105
47	KarlKaek	103
48	Secret_Canary	102
49	m_be9	99
50	T045RTY	97
50	Comma__	97
52	mwrty	94
53	Hahaa_0	93
54	TheShyPig	91
54	sp00ky_ghost977	91
56	Tyrannosplart	90
57	Giannism	89
58	Natty	88
59	Lord_Jord	87
60	Werbe	85
61	Blackberry1310	84
61	NormanFetus	84
63	Spenduh	80
64	Blu3beast	79
65	Jiminbub	78
66	Hisiste	76
66	Segotep999	76
68	Spacewardharpy7	75
69	Snowflowe	74
70	Kowcio_	72
71	lunaticusx	71
71	Blazebit	71
73	excelsionprime	68
73	F_Uhre	68
75	alanbleachdemon	67
76	SyK7	66
76	GingerNeutron	66
76	Vetral1	66
76	masskedman	66
80	__TheNorseMan__	65
80	IAmTheWalrus910	65
82	wobn	63
83	trixterrx	61
84	CLG_Kata	60
85	CoffeeNoir	59
85	mobunni	59
87	voiding_	58
88	Mowelan	57
89	MrKrabOnCoke	56
90	Killercatty78	55
91	mimbo1211	53
91	Skippeh	53
93	rarrq	52
93	Nach0Bear	52
95	I_Am_Mushkin	51
95	fade_emerge78823	51
97	SharpDev	50
97	legal_tax_evader	50
97	Bumpy419	50
97	brofrickcheaters	50
101	ayamefag	49
102	Enigma0251	48
102	SeverianOfUrth	48
102	StarCookiees_	48
105	TheSandwhich_	47
106	ActualPatbaf	46
106	ratglock	46
106	SpicyMeatballs	46
109	Kura2218	45
109	tartanboy	45
111	420BreadLizard	44
112	Blaiku	43
113	spellmre	42
113	Xclax101	42
113	RedcatVII	42
116	Groovy_MoonBird	41
116	Bandito_Roamer	41
116	Gemstuff	41
116	ItsAki_	41
116	BRRRN179	41
116	3_Solar_3	41
116	Legendosh	41
123	yheece	40
123	Ezekson	40
123	MusicMe1005	40
126	eitanzaki	39
126	ThePoliteG	39
126	Kubelz	39
126	pappaberg	39
126	fffMike	39
131	2extreeme	38
131	DeeDeeThonk	38
131	Typadopoulos	38
131	OfficerAnvil	38
131	Zoeyfortnite	38
136	dabloons	37
136	hanaryheatwave	37
138	noam464	36
138	Russiancat1	36
138	calamariclam_I	36
141	maxdacatv2	35
141	gaziter10	35
141	set67	35
141	Skylord_Luke	35
141	St4nLe7	35
141	DarlaMeow	35
141	EcksD	35
148	500am	34
148	Dakar_	34
148	FreakGenius	34
148	Decaying_Lotus	34
148	DennyKai	34
148	cichy096	34
154	MuffinManzz	33
154	_Dean_123	33
154	luseis	33
157	emrekn	32
157	censorsheep	32
157	krutas2000	32
157	jnp_gaming	32
