rank	username	minecraft:killed/minecraft:skeleton
1	Spacewardharpy7	80467
2	thewindmillman	37049
3	TechnoNinja64	13369
4	El_Jalapeno	9310
5	Smoke____	6765
6	NomadicRobin_	5457
7	KarlKaek	5301
8	TheShyPig	4818
9	Kakolbus	4621
10	eitanzaki	4440
11	censorsheep	4213
12	Blaiku	4175
13	beeperbeeper5	4157
14	Deerfoot	4012
15	Di_infiri	3975
16	luseis	3879
17	SaintJosie	3697
18	Xclax101	2529
19	StinkyDiplomat	2523
20	pintsizedrogue	2510
21	Mahoose	2463
22	thescout7	2289
23	Bumpy419	2286
24	SingedBread	2246
25	rarrq	2235
26	PlasticOtari	2215
27	soundad	2080
28	non089	2050
29	Njensen7	1977
30	YungMaki	1910
31	GravitySaint	1742
32	aec9	1734
33	HellsSponge	1711
34	joethahobo	1704
35	Kamflame10	1686
36	MattieHD	1676
37	Hyp3rion_	1651
38	Yirtle	1642
39	ooga47	1640
40	BilboBaggins23	1565
41	bloomkieren	1562
42	Steelynan	1546
43	Frozil20	1540
44	Deathkob	1537
45	Jovaphobic	1510
46	Akoot_	1465
47	wezzzi	1460
48	500am	1419
49	Zythose	1375
50	Tyrannosplart	1358
51	Iamthejo	1341
52	Fildyr	1316
53	m_be9	1315
54	Arceus1975	1278
55	Fullut	1274
56	lcvezra	1252
57	laron58	1249
58	gcaisawesome	1245
59	EcksD	1238
60	EveryonesUncle	1225
61	Blackberry1310	1202
62	Skylord_Luke	1175
63	sp00ky_ghost977	1167
64	JayToe	1166
65	eviltunix	1149
66	HesDemonPants	1123
67	EMC_	1049
68	LeauVox4921	1040
69	RebelAndroid	1028
70	ApophisNova	1009
70	MyNamaSheff	1009
72	noam464	1005
73	Skippeh	993
74	Ezekson	980
75	PortlyPete69	956
76	4774	945
77	Snowflowe	942
78	ConnorDanky_	925
79	Meatlaugh	895
80	Legendosh	892
81	PigDab	888
82	RealGroot	878
83	lordpipe	876
84	Enderxz3	871
85	Blu3beast	862
86	SharpDev	831
87	OfficerAnvil	829
88	TheSecondLord	807
89	Cowison	785
90	q_wq	769
91	ebanana	762
92	Eraxa	742
93	Kubeusz2010	737
94	kekhon	732
95	Racengan	724
96	Ssor69	722
97	Groundler	717
98	RyuNeko932000	708
99	Quaintster	673
100	xxPipperDipperxx	667
101	F_Uhre	648
102	vandmanden	643
103	Mewar	638
104	fr_ser	632
105	Kowcio_	612
106	2bolx_	607
107	_Dean_123	604
108	ougstur	600
108	AlphaWolfPlaysMC	600
110	set67	573
111	mihimihimihi	567
112	diggydog67	562
113	gary_	560
114	Groovy_MoonBird	556
114	ROY4LE	556
116	Barlycorn	542
117	Sleek_Storm_721	540
118	MovingFish7	531
119	FirsTimeGamingTV	528
120	TheOnlyRake	517
121	Jackattack53	506
122	FreakGenius	500
123	eiC_	494
124	PhantomsGhost_	491
124	r123moore	491
126	Werbe	489
126	claivin	489
128	M_Patata	487
128	FlashMigma	487
128	gusstationwerker	487
131	Nicserso	484
132	bigstankyy	483
132	Zaridey	483
134	Merv__	472
134	The11thDoctor	472
136	Rebytre	469
137	SammiWolfGirl	461
138	Donutt	456
139	Septemb3r	454
140	ChronoSounds	453
141	Rumpletaezer	451
142	MasterNueve	448
143	Soul_Atreus	447
144	Ryker	444
145	Kateesaur	442
146	SwooshBoi	430
147	Winklepicker279	424
148	LordSpeed37	417
149	Maenara	416
150	WYFYoyo	404
151	Lord_Jord	403
152	Jij0	402
153	LAVA129	397
154	SunsetwolfGG	396
155	TheDankPlatypus	393
156	Queen_Jalapeno	383
157	QuiCreans	372
158	CalebDHawk	369
159	xzvu	364
160	mariominejedi	363
161	Comma__	360
162	ThiccExotic	356
163	CoffeeNoir	354
164	WyngGoy	353
164	pixelviolin	353
166	fade_emerge78823	348
167	Hisiste	345
168	Inchef	344
169	himak1	342
170	__Fanda__	338
171	dudcreeper	336
171	UncleDanDan	336
173	Giannism	335
174	KingFaenor	334
175	SkateboardR6	330
176	T045RTY	326
177	Soplight	325
178	Killercatty78	323
179	ImpavidArcher	315
180	Jeteight	310
180	MilleGrug	310
180	jnp_gaming	310
183	NatalieTW	307
183	Luigipunch989	307
185	Sebaschan__	306
