rank	username	minecraft:killed/minecraft:warden
1	EcksD	69
2	Jackattack53	16
3	Segotep999	13
4	rarrq	12
5	Jimb0nat0r	10
6	MyMawgDonaldsGon	8
6	Hetti301	8
8	Merv__	7
9	pintsizedrogue	6
9	beeperbeeper5	6
9	Fuad_R	6
12	k_ce	5
12	ImpavidArcher	5
12	Wowful	5
12	TheBananaKat	5
12	Enderxz3	5
17	EMC_	4
17	NATE_the_HALO	4
17	Eczbek	4
20	TheSecondLord	3
20	500am	3
20	hanaryheatwave	3
20	Manaateee	3
20	FiguraDei	3
20	SvenskaHugo	3
20	TheKingK_	3
20	Soplight	3
28	ECstardust	2
28	Blackberry1310	2
28	MinttyFressh	2
28	Di_infiri	2
28	Rebytre	2
28	Werbe	2
28	StinkyDiplomat	2
28	pixelviolin	2
36	Apollo_993	1
36	PazinGaming	1
36	powercas_gamer	1
36	nattybears	1
36	net_flex	1
36	Rani_R	1
36	royal_2	1
36	12Magner05	1
36	MattieHD	1
36	Secret_Canary	1
36	Fullbit_	1
36	xxPipperDipperxx	1
36	noam464	1
36	craaaash	1
36	Marbz_	1
36	Hyp3rion_	1
36	oscminus	1
36	AlexxO_o	1
36	Hahaa_0	1
36	luseis	1
36	Kowcio_	1
36	doublemaki	1
36	Pumpkin_P_Patch	1
36	robonya_	1
36	KeterComet	1
36	_3Stump_	1
36	11Brewer	1
36	DairyNickel756	1
36	TheWickedBird	1
