rank	username	minecraft:killed/minecraft:squid
1	beeperbeeper5	1473
2	12Magner05	1258
3	EveryonesUncle	926
4	RebelAndroid	885
5	TheShyPig	835
6	Snowflowe	771
7	Blackberry1310	590
8	masskedman	541
9	joethahobo	538
10	thewindmillman	428
11	Frozil20	422
12	CoffeeNoir	400
13	SteveCraftBlocks	397
14	Ezekson	377
15	pixelviolin	357
16	oxfordschool	337
17	LordSpeed37	330
18	pintsizedrogue	317
19	IWorkAtIkea	282
20	Rumpletaezer	237
21	Freak_Genius	236
22	Racengan	235
23	Ryker	231
24	MightyWertu	221
25	Smoke____	209
26	YungMaki	207
27	Hyp3rion_	205
28	Blaiku	196
29	Bumpy419	194
30	500am	187
31	Comma__	185
32	Jiminie	179
33	Mahoose	158
34	Dusk_95	155
35	noam464	150
36	Hiryu27	147
37	CharlieButt	146
37	Deathkob	146
39	kekhon	141
40	Soplight	140
41	h2p_emrld	136
42	youhjjhhhjj	133
42	SkateboardR6	133
44	Merv__	131
44	Winklepicker279	131
46	Akoot_	130
47	PlasticOtari	127
48	Kowcio_	124
49	Kakolbus	121
50	burbankbuilder28	115
51	titanlax	113
51	Eczbek	113
53	MilleGrug	112
54	Legendosh	110
55	Spacewardharpy7	109
56	Wowful	108
57	T045RTY	105
57	claivin	105
59	Soap_Bender	103
60	Lord_Jord	102
61	DarlaMeow	95
62	1442	93
63	Enderslayerxz3	91
64	TheSecondLord	90
65	Dan_Scha	86
66	gcaisawesome	85
66	MyNameIsJobo	85
68	m_be9	83
69	Bandito_Roamer	82
70	MangoTheFish	81
71	Di_infiri	77
72	Crowman1	76
72	YoshikageBites	76
74	Swexti	74
75	Arceus1975	73
76	SuperPooch06	72
77	Awyrlas	70
78	ooga47	69
79	_TCARREIRA_	68
80	hm947	67
80	Werbe	67
80	PigDab	67
83	jushykins	65
84	Jovaphobic	64
85	Historical_Sand	63
86	bigstankyy	59
86	chipklip	59
88	PortlyPete69	58
89	RoskobiOne	57
89	ImpavidArcher	57
91	Groovy_MoonBird	55
92	MissCeleste7	54
92	cichy096	54
94	Dedalus36	53
94	sp00ky_ghost977	53
94	Miko_Fullbuster	53
97	Steelynan	51
97	2blox	51
99	EfficientC52	50
99	Blu3beast	50
101	mwrty	47
101	Onennon	47
101	Syropatathe	47
101	Fizznut909	47
105	fkGrim	46
106	Alexanderjac	45
106	fffMike	45
108	SaucyDark	42
108	Nicserso	42
110	teslawolf38	41
110	M_Patata	41
110	jnp_gaming	41
113	CollinMH06	40
113	seramalen	40
113	Xclax101	40
113	MasterNueve	40
113	anbbang	40
118	Nach0Bear	39
118	calamariclam_I	39
120	SSytex_X	38
120	Winston_Ingram	38
122	_Dean_123	37
123	Cowison	36
123	EMC_	36
123	Xalithia	36
123	Rocco_Lane	36
127	fluddd	35
128	AJplaysMC_	34
128	PlzNoBM	34
130	jacxhadow	33
130	Sky_light_KING	33
132	non089	32
132	JayToe	32
134	Smashic	31
135	ThePoliteG	30
135	Zythose	30
135	gustarbite	30
138	eitanzaki	29
138	NomadicRobin_	29
140	Ssor69	28
140	Frxnkz	28
140	Kynigito	28
140	Sheldor097	28
144	KarlKaek	27
144	Eraxa	27
144	SvenskaHugo	27
147	GOOBERGABE04	26
147	Ze_BaronKrigler	26
147	EngagedGrub41	26
147	RadarHz	26
151	Avrelion	25
151	SlayerCrypto	25
151	lordpipe	25
151	TheEnderman548	25
155	Cryptacity	24
155	AnnieBathory	24
155	Segotep999	24
158	rarrq	23
158	AlexxO_o	23
158	RedcatVII	23
158	SingedBread	23
162	Menthas	22
162	BlancoFlaco	22
162	NinjaKnifeKill	22
162	Jeteight	22
162	xo_Marren_xo	22
162	Fuad_R	22
162	El_Jalapeno	22
162	MineMaster0012	22
170	MattieHD	21
170	Chromary	21
170	DTwenty	21
170	XxCookiequeenxX	21
170	__tomato	21
170	EcksD	21
170	Powowowow	21
170	kinas45y5	21
178	Lez_	20
178	shyshyannne	20
178	Kubelz	20
178	_Boipl_	20
178	epiksk8erduck	20
178	binman420	20
178	Groundler	20
178	diggydog67	20
186	ProfessorBee	19
186	gabriels543	19
186	Jackattack53	19
186	Skylord_Luke	19
186	Inbefour	19
186	OverallConcept	19
186	Nycteus_	19
186	obzii	19
194	Tobinator_007	18
194	MrExplorer	18
194	Megarboh	18
194	corvidpartyfor6	18
194	ConcretePirate	18
194	egglapras	18
194	ROY4LE	18
194	Steven1282598	18
194	Cocoamallows	18
203	Fullut	17
203	LeauVox4921	17
205	bloodbiter	16
205	Rebytre	16
205	Luminad3	16
205	audiocracked	16
205	djancak	16
205	TechnoNinja64	16
211	soundad	15
211	AuroraValkyrie	15
211	TooManyDuck	15
211	Alteriity	15
211	MinttyFressh	15
211	set67	15
211	himak1	15
211	Inchef	15
211	ItsAki_	15
211	Leyna3	15
211	Maenara	15
211	starbits140	15
211	Spenduh	15
211	GlitchyPlate810	15
211	CalebDHawk	15
211	_3Stump_	15
