rank	username	minecraft:killed/minecraft:villager
1	Di_infiri	374
2	eitanzaki	366
3	joethahobo	346
4	Bumpy419	291
5	Historical_Sand	225
6	noam464	210
6	Arceus1975	210
8	HellsSponge	184
9	fffMike	166
10	VentiHilton	148
11	thescout7	129
12	Blaiku	126
13	Da_Boss_Rani	116
14	Shogunite	108
15	TheShyPig	97
16	MightyWertu	82
17	Smoke____	78
18	Spacewardharpy7	77
19	MattieHD	75
20	jnp_gaming	67
21	Lord_Jord	62
22	Freak_Genius	60
23	Werbe	58
24	El_Jalapeno	56
25	Alteriity	54
26	beeperbeeper5	53
27	Akoot_	52
28	ayamefag	51
29	gcaisawesome	49
30	Fuad_R	47
30	PlasticOtari	47
32	PegLegPete93	45
32	Sky_light_KING	45
32	ProbsNotNova	45
32	Sral7	45
36	thewindmillman	41
36	Frozil12	41
38	YungMaki	37
39	BumbleBeever	35
39	Ezekson	35
41	kekhon	33
42	xXxSebastianLxXx	29
43	_Nuf	28
43	mawileite	28
45	PigDab	26
46	Hyp3rion_	24
47	stavgod	23
48	Jackattack53	21
49	emrekn	20
49	eiC_	20
49	Racengan	20
49	Zoeyfortnite	20
53	egglapras	18
54	EcksD	17
55	DScatgirls	16
56	Kakolbus	13
57	Drlzyy	12
57	_Dean_123	12
57	Wanjibon	12
60	EMC_	11
60	censorsheep	11
60	Xclax101	11
63	Spenduh	10
64	XboxPanda	9
64	Rumpletaezer	9
64	lillips	9
64	Skippeh	9
68	WarMachina	8
68	Onennon	8
68	TheSeismicDuck	8
68	JESS_THE_RERE	8
72	Windo_licker	7
72	FishyBoy3811	7
72	Groundler	7
75	_Virify_	6
75	ImpavidArcher	6
75	Mahoose	6
75	Frxnkz	6
75	arcanemagic	6
75	chipklip	6
75	Segotep999	6
82	Swexti	5
82	mwrty	5
82	ClemenPine	5
82	fkGrim	5
82	Blu3beast	5
82	IdeallyGrey	5
82	UCP_TheKingK	5
82	2blox	5
82	JayToe	5
82	Kateesaur	5
92	Groovy_MoonBird	4
92	hm947	4
92	T045RTY	4
92	youhjjhhhjj	4
92	drippysusbaka	4
92	rarrq	4
92	Fullut	4
92	NotMeanttoChange	4
92	xxPipperDipperxx	4
92	Bolete	4
92	TableTim	4
92	Kim_Jong_eel	4
92	h2p_emrld	4
105	pintsizedrogue	3
105	dimondking777	3
105	KingFaenor	3
105	CoffeeNoir	3
105	Blackberry1310	3
105	MinttyFressh	3
105	groggregg42	3
105	HoltGrim	3
105	TheDankPlatypus	3
105	Chromary	3
105	lOlmantschi	3
105	fred870d	3
105	Lord_Zacler	3
105	DanTheBuilderino	3
105	microcrisp	3
105	Luigipunch989	3
105	jcool7	3
105	EcksDofficial	3
123	PhantomsGhost_	2
123	AuroraValkyrie	2
123	bigstankyy	2
123	SirUnderpants	2
123	Bad_At_Names_Guy	2
123	RebelAndroid	2
123	Seyaboy	2
123	MOSS000	2
123	301851	2
123	Euclidoris	2
123	Prodiginus	2
123	Albertalo	2
123	set67	2
123	prizm_	2
123	mariominejedi	2
123	gabriels543	2
123	SuperPooch06	2
123	Skylord_Luke	2
123	FastLane1	2
123	Skomo	2
123	stuy9	2
123	fw3xywashere	2
123	googmeister	2
123	_Karmaa	2
123	fluddd	2
123	SkateboardR6	2
123	sp00ky_ghost977	2
123	Kowcio_	2
123	Soplight	2
123	Njensen7	2
123	Hermanni__	2
123	TheOuterCore	2
123	anbbang	2
156	Mr_Worthless	1
156	Bandito_Roamer	1
156	abramgray	1
156	Mowelan	1
156	Cowison	1
156	soundad	1
156	MikeIsSalty	1
156	Hyugo	1
156	BlancoFlaco	1
156	tuckerdoodle	1
156	Incinere	1
156	ShedJr_	1
156	TheSecondLord	1
156	Comma__	1
156	jushykins	1
156	m_be9	1
156	12Magner05	1
156	MrExplorer	1
156	ProfessorBee	1
156	GingerNeutron	1
156	500am	1
156	slkiey	1
156	Z3braYTIL	1
156	Dali1465	1
156	Uzbeki_John	1
156	Xalithia	1
156	SellyZ	1
156	purpolepickle	1
156	SeverianTheLame	1
156	Zorin_Blitz	1
156	Bucscw24	1
156	loveseeker	1
156	CarltheCuck	1
156	jedi_george	1
156	Queen_Jalapeno	1
156	Snowflowe	1
156	burbankbuilder28	1
156	KillerNekoRain	1
156	MisterKanister	1
156	ApophisNova	1
156	RobotMinion101	1
156	LeGold	1
156	AlexxO_o	1
156	jewbacaman	1
156	xo_Marren_xo	1
156	YahooScreen9000	1
156	TheTrueClipse	1
156	AuroraSkies	1
156	yulgur1	1
156	audiocracked	1
156	Inbefour	1
156	Meepcraft	1
156	NYJ	1
156	DrGrant	1
156	KermitTheKripple	1
156	MyNameIsDakar	1
156	Quincannon	1
156	EfficientC52	1
156	Nycteus_	1
156	the__Reaper4999	1
156	DeGodz4life	1
156	Warlord324	1
156	moolerbooler	1
156	GuitarXpress	1
156	OG_Songsee	1
156	33sudo	1
156	Soul_Atreus	1
156	Eraxa	1
156	TheEnderman548	1
156	07shiny	1
156	EtherealEspresso	1
156	starbits140	1
156	__tomato	1
156	jaimshae	1
156	Fizznut909	1
156	obzii	1
156	krutas2000	1
156	Sheldor097	1
156	MilleGrug	1
156	BreadBacon	1
156	MyNamaSheff	1
156	Nicserso	1
156	momis24	1
156	TechnoNinja64	1
156	kinas45y5	1
156	The_SlideV5	1
156	camando92	1
156	FishisTTV	1
156	diggydog67	1
