rank	username	minecraft:killed/minecraft:slime
1	joethahobo	7981
2	Di_infiri	4513
3	Spacewardharpy7	4267
4	Enderxz3	3892
5	gcaisawesome	3656
6	Blaiku	2919
7	Ezekson	2834
8	lordpipe	2419
9	noam464	2160
10	Maenara	2035
11	Deathkob	2008
12	Snowflowe	1725
13	EngagedGrub41	1698
14	Bumpy419	1641
15	Skippeh	1638
16	PigDab	1624
17	Yamdalorian	1426
18	NatalieTW	1408
19	HellsSponge	1382
20	beeperbeeper5	1380
21	Zythose	1351
22	Hyp3rion_	1329
23	YungMaki	1320
24	Steelynan	1215
25	eitanzaki	1193
26	Mahoose	1175
27	Lord_Jord	1124
28	MyNameIsJobo	1043
29	PlasticOtari	1018
30	thewindmillman	911
31	Iamthejo	893
32	TheShyPig	807
33	Mewar	776
34	pintsizedrogue	767
35	Jackattack53	742
36	non089	736
37	EMC_	722
38	Kowcio_	638
39	DTwenty	622
40	ProfessorBee	614
41	pixelviolin	604
42	Blu3beast	602
43	Eraxa	581
44	Legendosh	553
45	MattieHD	540
46	500am	536
47	12Magner05	530
47	pretty_pink_reno	530
49	obzii	518
50	picardred	508
51	vandmanden	480
52	livingdaydreams	478
53	Soplight	477
54	Frozil20	471
55	Kakolbus	470
56	Historical_Sand	436
57	EcksD	405
58	Tyrannosplart	404
59	taengoos	371
60	Galactic_Badger	369
61	ImpavidArcher	364
62	BumbleBeever	358
63	RebelAndroid	354
64	Hpdinosaur	352
65	kekhon	350
66	rarrq	343
67	FreakGenius	337
68	Jimb0nat0r	297
69	MilleGrug	286
70	mihimihimihi	282
71	ediballbearings	273
72	Blackberry1310	272
73	Dogcorn69420	271
74	KarlKaek	261
75	Arceus1975	256
76	Fullut	253
76	TheSandwhich_	253
78	m_be9	249
79	TheSecondLord	242
80	Barlycorn	241
81	oscminus	240
82	Airem_Core	238
83	BobDeBouwer1337	236
84	MakeHistory157	233
85	skitzxo	231
86	Alteriity	230
87	noodlepack	224
87	Fuhrer_Teemo	224
89	MoistMicrowave	220
90	Lez_	218
90	Gus2005	218
92	hanaryheatwave	212
93	SuperPooch06	208
94	k_ce	206
95	SingedBread	205
96	heckface	204
96	Ebsen05	204
98	Awyrlas	198
99	PhantomsGhost_	197
100	eviltunix	196
101	MightyWertu	193
102	T045RTY	192
103	Werbe	184
104	EveryonesUncle	183
105	thescout7	180
106	catandmoose	172
106	set67	172
108	crashomon	171
108	CalebDHawk	171
110	hermmm_	170
110	TechnoNinja64	170
112	Mr_Byzantine	160
113	_Mythic____	159
114	burbankbuilder28	158
115	SellyZ	155
116	Segotep999	154
117	FreddyFart	150
117	claivin	150
119	Marbz_	149
119	ReSynced	149
121	Cowison	144
122	fanofbands101	143
122	PazinGaming	143
122	Kouridragon	143
125	Rumpletaezer	142
126	Manaateee	139
127	Soap_Bender	137
127	Eczbek	137
129	luseis	136
130	Merv__	133
130	Xclax101	133
132	Krowuss	131
133	corvidpartyfor6	130
134	I_Am_Mushkin	125
135	diamondgolem35	122
136	lorpus	121
137	Shogunite	119
137	JayToe	119
139	Chromary	118
140	El_Jalapeno	117
141	ScootOfBoot	112
142	jushykins	109
142	Akoot_	109
144	CoffeeNoir	108
144	NoChumpChange	108
146	Y_A_N_N_I	107
147	SammiWolfGirl	106
148	DarlaMeow	103
149	Jovaphobic	102
149	seramalen	102
151	SkateboardR6	100
152	__tomato	97
153	Afinnity	93
153	AspenLightVT	93
155	ECstardust	91
156	AstreaTSS	88
157	Spenduh	87
157	TheWickedBird	87
159	Franco093	86
160	Julmish	84
160	TheALV	84
160	FelixPSY375	84
163	Inchef	82
163	MAns_44	82
165	Pumpkin_P_Patch	81
166	gustarlep	80
166	sp00ky_ghost977	80
168	Deu_Stew	79
168	Rasmanden	79
170	valkam13	78
170	DanTheBuilderino	78
172	EdGalbraith	77
172	Inbefour	77
174	ItsJWolff	76
175	Chickenchaser2	74
175	xxPipperDipperxx	74
175	PortlyPete69	74
178	lorywithay	73
178	selectrix	73
180	Lutres_	72
180	The_slideV3	72
180	Kyrum2169	72
180	ConnorDanky_	72
184	Tiberonus	71
184	Olib3ar	71
184	07shiny	71
187	Kegradigm	69
187	U_Mos_	69
187	ApophisNova	69
187	MyNamaSheff	69
191	TheSeismicDuck	67
191	Avocadogerms	67
193	whoaluv	66
193	AlexxO_o	66
195	AlphaWolfPlaysMC	65
195	SvenskaHugo	65
197	diggydog67	64
198	Groovy_MoonBird	63
198	Sheldor097	63
200	Sleepy_Evelyn	62
200	TheThomas69	62
202	dudcreeper	61
202	censorsheep	61
204	stavgod	59
205	Rocco_Lane	57
206	NomadicRobin_	56
206	calamariclam_I	56
206	h2p_emrld	56
209	FirsTimeGamingTV	55
209	Mattesco	55
211	Dali1465	53
