rank	username	minecraft:killed/minecraft:blaze
1	Spacewardharpy7	253218
2	thewindmillman	105522
3	NomadicRobin_	16547
4	Smoke____	13868
5	eitanzaki	12383
6	Di_infiri	9815
7	HellsSponge	8367
8	Blaiku	7076
9	thescout7	5651
10	lordpipe	3709
11	EcksD	2706
12	Segotep999	1713
13	masskedman	1459
14	bloodbiter	1129
15	Frozil12	1082
16	r123moore	922
17	joethahobo	883
18	lizardfightclub	811
19	Hyp3rion_	605
20	fred870d	597
21	dudcreeper	532
22	error10101	506
23	beeperbeeper5	500
24	vandmanden	435
25	Vorlice	408
26	chipklip	380
27	PlasticOtari	379
28	RebelAndroid	375
29	Jiminie	313
30	xxPipperDipperxx	306
31	Arceus1975	299
32	EMC_	285
33	kekhon	261
34	Mahoose	257
35	Sky_light_KING	245
36	EveryonesUncle	239
37	SaucyDark	230
38	eiC_	222
39	6king6colt6	221
40	wezzzi	208
41	Bumpy419	205
42	TheShyPig	198
43	Lord_Jord	194
44	Merv__	183
45	KnightmareD	179
46	M_Patata	178
46	MasterNueve	178
48	stellarjay	175
49	Powowowow	166
50	Prismyst	164
51	_TCARREIRA_	160
52	yulgur1	157
52	Freak_Genius	157
52	pixelviolin	157
55	noam464	156
56	claivin	154
57	Rasmanden	153
58	Hisiste	152
59	Nicserso	144
59	TechnoNinja64	144
61	xPixelRainx	140
62	jnp_gaming	139
63	Fildyr	136
64	500am	134
64	YungMaki	134
66	MilleGrug	131
67	Quincannon	127
67	DanTheBuilderino	127
69	monky_irl	124
70	djancak	123
71	Bandito_Roamer	122
72	SingedBread	121
72	Skippeh	121
74	MightyWertu	118
75	Ezekson	117
76	gabriels543	115
77	Snowflowe	112
78	Cocoamallows	108
79	SoftSix	107
80	titanlax	102
80	crying_wolf_13	102
80	AlphaWolfPlaysMC	102
83	ROY4LE	101
84	Jackattack53	100
85	m_be9	99
86	mwrty	97
87	Kyrum2169	95
87	Miko_Fullbuster	95
89	Akoot_	94
89	sp00ky_ghost977	94
91	EllaBellaChu	93
91	livingdaydreams	93
93	BobDeBouwer1337	91
93	Rumpletaezer	91
95	Inbefour	87
95	diggydog67	87
97	Racengan	84
98	TooManyDuck	82
98	NotMeowMix	82
100	Fullut	81
100	RodSerlingCringe	81
100	kinas45y5	81
103	Xclax101	79
104	I_Am_Mushkin	78
104	gcaisawesome	78
104	Zaridey	78
107	mimbo1211	77
108	Groovy_MoonBird	76
108	T045RTY	76
108	Groundler	76
111	TheSeismicDuck	75
112	DTwenty	72
113	33sudo	68
114	Sleek_Storm_721	67
114	ApophisNova	67
114	_AAZAR	67
114	MyNamaSheff	67
118	Blackberry1310	66
118	Comma__	66
118	12Magner05	66
121	H72l9w	65
121	PigDab	65
121	Zoeyfortnite	65
124	whoaluv	64
124	__tomato	64
126	UrbanPlanner1978	63
126	h2p_emrld	63
128	jacxhadow	61
128	tobinwilliams	61
128	Winston_Ingram	61
131	Megarboh	60
132	RadarHz	58
133	RefluxRatio	56
134	Mewar	55
134	Barlycorn	55
134	PortlyPete69	55
137	_Virify_	54
137	The11thDoctor	54
137	LetsDoItLive	54
137	Razzgriz	54
141	Cowison	53
141	301851	53
143	Vizzoid	52
143	set67	52
145	rarrq	51
145	Maenara	51
145	MyNameIsDakar	51
145	Deguns123	51
145	2blox	51
150	Eraxa	50
151	Malorn_Aetherius	48
151	Nach0Bear	48
151	surfinggiraffejp	48
154	youhjjhhhjj	47
154	_naturell	47
156	FujiBS	46
156	ThatBurritoTh0	46
158	TTNG	45
158	XxCookiequeenxX	45
160	Zythose	44
160	_8man	44
162	himak1	42
162	LazySupport00	42
162	striker90333	42
165	jimintyy	41
165	gaziter10	41
165	UncreativeArtist	41
168	MyNameIsJobo	40
169	ThePoliteG	39
169	El_Jalapeno	39
169	fluddd	39
172	_Karmaa	38
172	Quaintster	38
172	stahouo	38
175	diamondgolem35	37
175	zorin123	37
175	SellyZ	37
175	Typadopoulos	37
175	Soplight	37
175	trexgb	37
181	PhantomsGhost_	36
181	Guillemet	36
181	Kakolbus	36
181	Hiryu27	36
181	MAns_44	36
186	Giannism	35
186	pappaberg	35
186	SpookyDraggin	35
189	RatatJuice	34
189	Euclidoris	34
189	stavgod	34
189	OfficerAnvil	34
193	501g	33
194	RobotMinion101	32
194	Karbl	32
194	Blu3beast	32
194	Strangemonkey71	32
194	Legendosh	32
199	AuroraValkyrie	31
199	q_wq	31
199	Unitas_isa	31
199	Hoid_the_Roamer	31
199	Deodorante	31
204	MattieHD	30
205	Jovaphobic	29
205	Houstonion	29
205	ColeSnyder	29
205	xX_HaroldHolt_Xx	29
205	StanClubPenguin	29
205	TheOnlyRake	29
211	Sparky_KT	28
211	CarbonatedCola	28
211	MakeHistory157	28
214	lotarp	27
214	tartanboy	27
214	Sral7	27
217	Paleshield	26
217	GLLogan2	26
217	TableTim	26
217	Bazongoman	26
217	Kubeusz2010	26
217	FishisTTV	26
223	pintsizedrogue	25
223	Froste131	25
223	Bobby808	25
223	LotusProject	25
223	Corbsman	25
223	TheTrueClipse	25
223	SSytex_X	25
223	Steelynan	25
223	Lowjinx	25
232	Ryker	24
233	__TheNorseMan__	23
233	Winklepicker279	23
233	SuperPooch06	23
233	oxfordschool	23
237	Ninzyyy	22
237	Kegradigm	22
237	Onennon	22
237	Dusk_95	22
237	Chaotic1s	22
242	Historical_Sand	21
242	TheSecondLord	21
242	_Nuf	21
242	Leyna3	21
242	censorsheep	21
247	Paint	20
247	CharlieButt	20
247	Chromary	20
247	DarlaMeow	20
