rank	username	minecraft:killed/minecraft:stray
1	rarrq	439
2	Ezekson	206
3	m_be9	112
4	Eraxa	80
5	Di_infiri	59
6	Sky_light_KING	58
7	Historical_Sand	56
8	diamondgolem35	52
9	TheShyPig	51
10	noam464	50
11	chipklip	47
12	Guillemet	45
13	FelixPSY375	44
14	M_Patata	43
14	MasterNueve	43
16	Natty	39
17	Kamflame10	38
18	JESS_THE_RERE	37
19	Smoke____	35
20	Drlzyy	34
21	Deathkob	33
22	FlashMigma	31
23	TTNG	30
24	Mahoose	28
24	OtariCharlie	28
24	sebastiensaborio	28
27	12Magner05	27
27	Akoot_	27
27	Hisiste	27
30	_8man	26
31	Warlord324	25
32	Covalents	23
33	kekhon	22
33	Blaiku	22
35	Fullut	21
35	gcaisawesome	21
35	FishyBoy3811	21
35	Soplight	21
39	NoxxxxiS	20
39	sammidk	20
39	YungMaki	20
39	EcksDofficial	20
43	stahouo	19
44	Frozil12	17
44	Skippeh	17
46	xyct	16
46	thescout7	16
46	claivin	16
49	shyshyannne	15
49	_Boipl_	15
49	ooga47	15
49	Hail_the_wombat	15
49	Smiguli_	15
54	teslawolf38	14
54	eitanzaki	14
54	Kkanot	14
54	set67	14
54	Rumpletaezer	14
54	_naturell	14
54	censorsheep	14
54	sp00ky_ghost977	14
54	Legendosh	14
63	Harotio	13
63	_Dean_123	13
63	Razzgriz	13
63	TheOuterCore	13
67	chimpmunker	12
67	ROY4LE	12
67	Leyna3	12
67	oxfordschool	12
71	Merv__	11
71	TheSecondLord	11
71	Spacewardharpy7	11
74	Cowison	10
74	Enigma0251	10
76	Blackberry1310	9
76	Ardennes	9
76	1442	9
76	stellarjay	9
76	EcksD	9
81	r123moore	8
81	Jonte0599	8
81	WyngGoy	8
84	heysushii	7
84	joethahobo	7
84	beeperbeeper5	7
84	500am	7
84	Bobby808	7
84	RodSerlingCringe	7
84	Lord_Jord	7
84	jnp_gaming	7
92	dabloons	6
92	Michaelelelelele	6
92	Winklepicker279	6
92	Bumpy419	6
92	Rasmanden	6
97	_Virify_	5
97	strongman951753	5
97	Healthing	5
97	I_Am_Mushkin	5
97	H72l9w	5
97	Valoth	5
97	himak1	5
97	Ristebraaten	5
97	fr_ser	5
97	Arceus1975	5
97	Zythose	5
97	ApophisNova	5
97	Jiminie	5
97	misomon	5
97	QueenShuvi	5
97	Spenduh	5
97	_TCARREIRA_	5
97	MyNamaSheff	5
115	pintsizedrogue	4
115	SaucyDark	4
115	Jahara	4
115	CoffeeNoir	4
115	jacxhadow	4
115	Septemb3r	4
115	burbankbuilder28	4
115	Maenara	4
115	KevinLikesPie	4
115	lillips	4
115	Dusk_95	4
115	Hermanni__	4
115	Kateesaur	4
128	Crowvens	3
128	Paint	3
128	AshleeCW	3
128	SlavBylat	3
128	Incinere	3
128	Myszoaz	3
128	MSK__	3
128	IWorkAtIkea	3
128	MrMattyPatt	3
128	Euclidoris	3
128	XboxPanda	3
128	RobotMinion101	3
128	BRRRN179	3
128	Xeno175	3
128	Deodorante	3
128	LexMakesHistory	3
128	drumine	3
128	Kayotx	3
128	ediballbearings	3
147	PhantomsGhost_	2
147	jpoxman	2
147	bigstankyy	2
147	ImpavidArcher	2
147	HollieDaNugget	2
