rank	username	minecraft:killed/minecraft:wither_skeleton
1	Spacewardharpy7	211710
2	thewindmillman	97833
3	Frozil12	94745
4	noam464	74068
5	EcksD	67086
6	NomadicRobin_	19852
7	eitanzaki	15264
8	HellsSponge	14015
9	Di_infiri	11459
10	Blaiku	10976
11	thescout7	8118
12	PigDab	7038
13	joethahobo	1204
14	r123moore	1199
15	vandmanden	932
16	PortlyPete69	716
17	fred870d	602
18	chipklip	589
19	Hyp3rion_	560
20	RebelAndroid	362
21	Corbsman	353
22	Arceus1975	342
23	Groovy_MoonBird	295
24	SaucyDark	276
25	Smoke____	271
26	SingedBread	268
27	MilleGrug	230
28	Merv__	217
29	Powowowow	215
30	_TCARREIRA_	196
31	Onennon	189
31	YungMaki	189
33	SellyZ	181
34	Rasmanden	180
35	M_Patata	178
35	MasterNueve	178
37	claivin	161
37	pixelviolin	161
39	Cocoamallows	160
40	wezzzi	157
41	AlphaWolfPlaysMC	156
42	TheSeismicDuck	155
43	Kyrum2169	154
44	Rumpletaezer	149
45	Jackattack53	148
46	_Nuf	142
47	mwrty	138
48	stavgod	133
49	Blu3beast	131
50	titanlax	129
51	MightyWertu	126
52	Skippeh	123
53	Hisiste	121
54	TooManyDuck	118
55	RobotMinion101	116
56	ApophisNova	107
56	MyNamaSheff	107
58	RefluxRatio	93
59	Vorlice	89
60	Bandito_Roamer	85
61	Mewar	80
62	ROY4LE	78
63	Soplight	77
64	Ezekson	74
64	Nicserso	74
66	NotMeowMix	72
67	beeperbeeper5	71
68	Maenara	69
68	_Karmaa	69
70	eiC_	68
70	Snowflowe	68
70	TheShyPig	68
70	Zoeyfortnite	68
74	301851	67
75	Scathra	65
75	GoofyBread	65
77	fluddd	63
78	Legendosh	62
79	Hiryu27	61
80	Iagoku	60
80	jimintyy	60
82	Euclidoris	57
82	Xclax101	57
82	diggydog67	57
85	Bumpy419	54
86	Comma__	52
87	Mahoose	50
87	H72l9w	50
87	Winston_Ingram	50
90	youhjjhhhjj	49
90	h2p_emrld	49
92	_8man	48
92	audiocracked	48
92	Groundler	48
95	SpookyDraggin	47
96	stahouo	46
97	kekhon	45
98	Winklepicker279	43
99	m_be9	41
100	Zaridey	40
101	AuroraValkyrie	39
101	TheSecondLord	39
103	Fullut	38
103	2blox	38
105	TTNG	37
106	trexgb	36
107	livingdaydreams	33
107	lotarp	33
107	xxPipperDipperxx	33
107	gcaisawesome	33
107	33sudo	33
112	ColeSnyder	32
112	loveseeker	32
112	Deodorante	32
115	__tomato	31
116	dudcreeper	28
116	lcvezra	28
118	El_Jalapeno	27
119	wickedword	26
119	bloodbiter	26
119	AngalexikCZ	26
119	Quincannon	26
119	jnp_gaming	26
124	Ninzyyy	25
124	rarrq	25
124	Guillemet	25
124	boog4loo	25
124	YungWali	25
124	OG_Songsee	25
130	gaziter10	24
130	BobDeBouwer1337	24
130	set67	24
130	Leyna3	24
130	RodSerlingCringe	24
130	Akoot_	24
136	Cowison	23
136	6king6colt6	23
136	Blackberry1310	23
139	ThePoliteG	21
139	MattieHD	21
139	Freak_Genius	21
139	censorsheep	21
143	Kijiki	20
143	sebastiensaborio	20
143	Miko_Fullbuster	20
143	oxfordschool	20
147	FelixPSY375	19
148	Harotio	18
148	Hyugo	18
148	GLLogan2	18
148	Karbl	18
152	Ardennes	17
152	KnightmareD	17
152	MAns_44	17
152	djancak	17
152	tartanboy	17
157	UncreativeArtist	16
157	SuperPooch06	16
157	HoldThatPee	16
157	drumine	16
157	Eraxa	16
157	GlitchyPlate810	16
157	TheOnlyRake	16
157	TechnoNinja64	16
165	fanofbands101	15
165	OtariCharlie	15
165	Inbefour	15
165	SSytex_X	15
169	PhantomsGhost_	14
169	Sleek_Storm_721	14
169	error10101	14
169	Motsaro	14
169	DarlaMeow	14
174	Awyrlas	13
175	pintsizedrogue	12
175	diamondgolem35	12
175	FirsTimeGamingTV	12
175	500am	12
175	JESS_THE_RERE	12
175	SwooshBoi	12
181	zorin123	11
181	TheHarryMeister	11
181	SamZombie	11
181	Dusk_95	11
181	Luigipunch989	11
186	freeandrew	10
186	Frxnkz	10
186	__TheNorseMan__	10
186	ImDisconnected_	10
186	AnnieBathory	10
186	Nyxiom_	10
186	Fuhrer_Teemo	10
186	Racengan	10
186	RadarHz	10
195	Hpdinosaur	9
195	Kubelz	9
195	jedi_george	9
195	Kouridragon	9
195	Kim_Jong_eel	9
195	The_slideV3	9
195	DanTheBuilderino	9
195	monky_irl	9
195	Spenduh	9
195	_AAZAR	9
195	Enderslayerxz3	9
206	Paint	8
206	Lukeee33	8
206	T045RTY	8
206	Nach0Bear	8
206	ooga47	8
206	Deathkob	8
206	FlashMigma	8
206	Fildyr	8
206	WyngGoy	8
206	07shiny	8
206	AssFullaCum	8
206	Njensen7	8
206	The_SlideV5	8
206	Yahrto	8
220	Jovaphobic	7
220	EMC_	7
220	XboxPanda	7
220	Kakolbus	7
220	WET_WET_WET	7
220	EfficientC52	7
220	Strangemonkey71	7
220	Zetsey	7
220	striker90333	7
220	OfficerAnvil	7
230	Shadoko_	6
230	surfinggiraffejp	6
230	ReverendSmith	6
230	KartivGal	6
230	mawileite	6
230	JayToe	6
236	openatheclose	5
236	NinjaKnifeKill	5
236	ShedJr_	5
236	Vizzoid	5
236	BilboBaggins23	5
236	Kamflame10	5
236	Cerbric	5
236	_naturell	5
236	MovingFish7	5
236	Soul_Atreus	5
236	MADDMASTA	5
236	laron58	5
236	BreadBacon	5
249	bigstankyy	4
249	hm947	4
249	KomputerDude	4
249	Reamdin	4
249	MSK__	4
249	Valoth	4
249	Khelvoryk	4
249	12Magner05	4
249	ABUSNA1996	4
249	leaf26	4
249	crying_wolf_13	4
249	himak1	4
249	Giannism	4
249	whoaluv	4
249	Hoid_the_Roamer	4
249	XeroByMyth	4
249	TheTrueClipse	4
249	natajimi	4
249	MustaLoordi	4
249	BumbleBeever	4
249	Barlycorn	4
249	Typadopoulos	4
249	lordpipe	4
249	TheDumbHuman	4
249	ayamefag	4
249	kinas45y5	4
275	_Virify_	3
275	_NieToksikpl_	3
275	Ailmast	3
275	q_wq	3
275	Yatitay	3
275	UltimuShadow	3
275	Incinere	3
275	platinumzero	3
275	Windo_licker	3
275	gabriels543	3
275	Zythose	3
275	ItsAki_	3
275	The11thDoctor	3
275	Kynigito	3
275	lizardfightclub	3
275	Vladotz	3
275	stuy9	3
275	Wowful	3
275	wobn	3
275	Ilovebacon2	3
275	NameGenerat0r	3
275	Pickel_Lord	3
275	stellarjay	3
275	ProbsNotNova	3
275	Dogcorn69420	3
275	krutas2000	3
