rank	username	minecraft:killed/minecraft:bee
1	noam464	221
2	joethahobo	53
3	PhantomsGhost_	45
4	Kakolbus	16
5	_Dean_123	13
6	eitanzaki	11
6	Di_infiri	11
6	claivin	11
6	djancak	11
10	thewindmillman	10
11	hm947	8
11	Spacewardharpy7	8
11	microcrisp	8
14	Fullut	7
15	ImpavidArcher	6
15	Paranoidlemon	6
15	fred870d	6
15	Cattoh	6
15	sp00ky_ghost977	6
20	thescout7	5
21	Incinere	4
21	Inchef	4
21	Kubelz	4
21	lordpipe	4
21	07shiny	4
21	Spenduh	4
21	Smoke____	4
28	EMC_	3
28	Mahoose	3
28	Scathra	3
28	PeteO1995	3
28	Skylord_Luke	3
28	TheWildMateo	3
28	Moofyman	3
28	PuFY	3
28	Wowful	3
28	EveryonesUncle	3
28	MAns_44	3
28	Cyntrical	3
28	Goldiethebear03	3
28	Steelynan	3
42	Jovaphobic	2
42	Begformurrcy	2
42	DinoDoctor_	2
42	Prismyst	2
42	Shazzyling	2
42	rarrq	2
42	CliffEmAll	2
42	Nicky_H225	2
42	shyshyannne	2
42	Nach0Bear	2
42	CharlieButt	2
42	gabriels543	2
42	Jackattack53	2
42	StarPlanetMoon	2
42	WarMachina	2
42	AuroraSkies	2
42	Fuhrer_Teemo	2
42	Racengan	2
42	SkateboardR6	2
42	StanClubPenguin	2
42	HeyGoat	2
42	Segotep999	2
42	fffMike	2
42	Kferno	2
42	VentiHilton	2
42	Ezekson	2
42	AltnumberF4	2
42	JasmineGK	2
42	momis24	2
42	trexgb	2
42	h2p_emrld	2
73	pintsizedrogue	1
73	Groovy_MoonBird	1
73	nataliecool	1
73	soundad	1
73	Merv__	1
73	Bad_At_Names_Guy	1
73	RebelAndroid	1
73	Humpcat	1
73	CoffeeNoir	1
73	MSK__	1
73	Da_Boss_Rani	1
73	beeperbeeper5	1
73	Vizzoid	1
73	Ozixar	1
73	Blackberry1310	1
73	bloodbiter	1
73	MinttyFressh	1
73	kekhon	1
73	Nostrom	1
73	TheThomas69	1
73	niinii	1
73	set67	1
73	4774	1
73	mwrty	1
73	Dali1465	1
73	r123moore	1
73	HypixelForums	1
73	UncleDanDan	1
73	MyNameIsJobo	1
73	burbankbuilder28	1
73	DaviusMaximoose	1
73	GreedyFern8581	1
73	_Boipl_	1
73	Kynigito	1
73	HyperCave	1
73	BRRRN179	1
73	Capss	1
73	TheShyPig	1
73	KeruNatsema	1
73	ToastedGamingYT	1
73	YahooScreen9000	1
73	HolyVenom	1
73	magmaniacmc	1
73	masskedman	1
73	fkGrim	1
73	HellsSponge	1
73	Freak_Genius	1
73	fluddd	1
73	Toriankel	1
73	Warlord324	1
73	Airem_Core	1
73	ElKaySVK	1
73	TheEnderman548	1
73	KG1999	1
73	IdeallyGrey	1
73	YungMaki	1
73	alderban107	1
73	Kubeusz2010	1
73	amkold	1
73	cichy096	1
73	Nicserso	1
73	Enderslayerxz3	1
73	HesDemonPants	1
73	jnp_gaming	1
73	MeetTheWollo	1
73	kinas45y5	1
73	EcksDofficial	1
