rank	username	minecraft:killed/minecraft:axolotl
1	jessewegottacook	972
2	Alteriity	314
3	Huwulling	279
4	joethahobo	228
5	Krowuss	150
6	thewindmillman	57
7	eitanzaki	56
8	Manaateee	38
9	noam464	35
10	Cyanide4Kitten	32
11	Frozil20	27
12	luseis	15
13	ECstardust	8
13	Crowman1	8
13	Kowcio_	8
16	Inchef	7
17	pintsizedrogue	6
17	hm947	6
17	ActualPatbaf	6
17	Lez_	6
17	ITDV	6
17	weabis	6
23	TheSecondLord	5
23	poopybh	5
23	Ezekson	5
26	Di_infiri	4
26	Jackattack53	4
28	CLG_Kata	3
28	Hyp3rion_	3
28	fluddd	3
28	Yahir091	3
28	_Dri_	3
33	Merv__	2
33	q_wq	2
33	itburb	2
33	Marbz_	2
33	SuperPooch06	2
33	Toriankel	2
33	YungMaki	2
33	brofrickcheaters	2
33	Steelynan	2
33	Jimb0nat0r	2
43	shineh10	1
43	EMC_	1
43	jimbo61101jr	1
43	PhantomBionic	1
43	Da_Boss_Rani	1
43	lorpus	1
43	hcb238	1
43	Kubelz	1
43	Drake_l0ver	1
43	eli_tschki	1
43	JETrotter	1
43	PigDab	1
43	LeGold	1
43	HolyVenom	1
43	fw3xy74	1
43	El_Jalapeno	1
43	ThatMan_Dave	1
43	TheEnderMan548	1
43	SquidZooka2	1
43	MineMaster0012	1
43	Spenduh	1
43	LeEricc	1
43	_i_ERROR_i_	1
43	EcksD	1
