rank	username	minecraft:killed/minecraft:magma_cube
285	KeruNatsema	20
285	athereall	20
292	I_Am_Mushkin	19
292	domagawha	19
292	SvenskaHugo	19
292	Luigipunch989	19
292	Heisenbberrg	19
292	Dreamdbr14	19
298	Kegradigm	18
298	nocturne78	18
298	tortillatitan	18
