rank	username	minecraft:killed/minecraft:zombie
1	joethahobo	6183
2	Spacewardharpy7	5192
3	Bumpy419	4453
4	bloomkieren	4421
5	Di_infiri	3922
6	rarrq	3680
7	beeperbeeper5	3658
8	Mahoose	3509
9	noam464	3338
10	EveryonesUncle	3223
11	PlasticOtari	2995
12	PigDab	2824
13	Smoke____	2789
14	HellsSponge	2718
15	Fullut	2531
16	pintsizedrogue	2527
17	gcaisawesome	2516
18	Frozil12	2328
19	selectrix	2282
20	Blackberry1310	2281
21	Freak_Genius	2280
22	Ezekson	2199
23	500am	2170
23	djancak	2170
25	TheShyPig	2145
26	Jiminie	2128
27	Akoot_	2096
28	YungMaki	2021
29	kekhon	1969
30	Steelynan	1963
31	Kowcio_	1865
32	Skippeh	1863
33	EMC_	1847
34	thewindmillman	1841
35	ROY4LE	1840
36	set67	1744
37	monky_irl	1730
38	TheSecondLord	1677
39	eitanzaki	1663
40	Blaiku	1601
41	Cowison	1450
42	CrateOfBoxes	1378
43	M_Patata	1290
44	Snowflowe	1278
45	Enderslayerxz3	1262
46	thescout7	1258
47	Katsuragi0243218	1243
48	Hyp3rion_	1223
49	chipklip	1222
50	Eraxa	1209
51	EcksD	1152
52	MasterNueve	1145
53	El_Jalapeno	1115
54	Lord_Jord	1113
55	oxfordschool	1107
56	lordpipe	1097
57	Segotep999	1090
58	m_be9	1061
59	ProfessorDiaper	1044
60	Spenduh	1002
61	ivorico	987
62	LordSpeed37	986
63	12Magner05	946
64	Winklepicker279	941
65	NomadicRobin_	940
66	sp00ky_ghost977	939
67	Deathkob	938
68	RebelAndroid	929
69	himak1	918
70	eviltunix	913
71	Skylord_Luke	910
72	SkateboardR6	904
73	MyNameIsJobo	899
74	Hisiste	892
75	fffMike	883
76	Menthas	881
77	IWorkAtIkea	868
78	Mewar	848
79	SammiWolfGirl	841
80	T045RTY	837
81	MilleGrug	809
82	livingdaydreams	805
83	burbankbuilder28	789
84	Kakolbus	781
85	Jackattack53	778
86	Merv__	776
86	Rumpletaezer	776
88	fred870d	774
89	whoaluv	750
90	Rebytre	739
91	masskedman	728
92	CoffeeNoir	727
93	JohnPrice	724
94	Historical_Sand	722
95	PhantomsGhost_	694
96	Arceus1975	692
97	h2p_emrld	689
98	Werbe	688
99	RodSerlingCringe	682
100	jnp_gaming	662
101	Inchef	655
102	Racengan	646
103	Soplight	639
103	Nicserso	639
105	jacxhadow	627
106	Zythose	622
106	EcksDofficial	622
108	Xclax101	620
109	BlancoFlaco	607
110	pixelviolin	603
111	ImpavidArcher	592
111	Blu3beast	592
113	Sky_light_KING	584
114	xxPipperDipperxx	576
114	Hermanni__	576
116	MeetTheWollo	570
117	ExtraDumb	563
118	_Virify_	558
118	Maenara	558
120	PortlyPete69	555
121	FishyBoy3811	554
122	stahouo	552
122	Legendosh	552
124	CollinMH06	549
125	Nach0Bear	548
126	awesomeoneme	547
126	ShedJr_	547
128	claivin	539
129	obzii	533
130	Dusk_95	521
131	Lowjinx	520
132	Awyrlas	514
133	Warlord324	511
134	Sleek_Storm_721	510
135	ooga47	509
136	Luigipunch989	506
137	r123moore	504
138	Kubelz	500
139	Shogunite	494
140	fade_emerge78823	491
141	vandmanden	490
142	TheDankPlatypus	481
143	teslawolf38	479
144	Jovaphobic	478
145	KarlKaek	475
146	Dedalus36	474
147	q_wq	468
148	ApophisNova	467
148	MyNamaSheff	467
150	RadarHz	459
151	PuFY	457
152	Sral7	454
153	laron58	452
154	FelixPSY375	448
155	youhjjhhhjj	440
156	Nicky_H225	438
157	diggydog67	436
158	KingMatthew506	434
159	Njensen7	429
160	CalebDHawk	428
161	Mattesco	426
162	Chromary	424
163	_Dean_123	417
163	JESS_THE_RERE	417
163	MyNameIsDakar	417
163	SvenskaHugo	417
163	Sheldor097	417
168	mariominejedi	407
169	Zoeyfortnite	406
170	Russiancat1	405
171	gabriels543	402
172	DanTheBuilderino	400
173	Quincannon	399
174	The11thDoctor	397
175	TechnoNinja64	396
176	Inbefour	393
177	Wowful	391
177	GlitchyPlate810	391
179	jushykins	387
180	DarlaMeow	386
181	bigstankyy	382
182	Kamflame10	381
183	SuperPooch06	378
184	NoChumpChange	376
185	diamondgolem35	374
185	H72l9w	374
187	Euclidoris	373
187	Barlycorn	373
189	Cocoamallows	371
190	TheSeismicDuck	367
191	lillips	361
191	_Karmaa	361
193	I_Am_Mushkin	359
194	XboxPanda	355
194	Leyna3	355
196	bloodbiter	353
196	Soap_Bender	353
198	ItsDeltaMC	351
199	Onennon	349
200	_NieToksikpl_	347
201	fw3xywashere	341
202	Nycteus_	340
203	fluddd	336
204	Smashic	332
205	Miko_Fullbuster	330
206	SSytex_X	320
207	fr0stss	319
207	MAns_44	319
207	smogfrog	319
210	Rocco_Lane	317
211	kinas45y5	315
212	07shiny	313
213	Meatlaugh	312
214	cedric72	310
214	UCP_TheKingK	310
216	benediktine1	307
217	lcvezra	303
218	soundad	301
218	tartanboy	301
220	fkGrim	300
220	censorsheep	300
222	Bandito_Roamer	299
223	platinumzero	296
223	NameGenerat0r	296
225	wezzzi	295
226	BobDeBouwer1337	287
226	MightyWertu	287
228	MunkaKris	286
229	LeeMcGee30	284
230	Fizznut909	282
230	00000000-0000-0000-0009-01ff0c3e5e4f	282
232	egglapras	281
233	Kkanot	279
233	jedi_george	279
235	2blox	278
236	Windo_licker	276
237	Drlzyy	275
238	Quaintster	272
239	MrExplorer	271
240	ToastedGamingYT	270
240	_TCARREIRA_	270
242	DarkS0L	265
242	Kubeusz2010	265
244	_naturell	263
244	SingedBread	263
246	seramalen	262
247	Covalents	255
248	FirsTimeGamingTV	254
249	Marbz_	248
249	alderban107	248
251	Nagasaki_Riku	247
252	TheTrueClipse	246
253	Natty	242
254	ProfessorBee	241
255	Ozixar	237
256	Myszoaz	236
256	WyngGoy	236
258	starbits140	235
259	KG1999	234
259	Eczbek	234
261	Groovy_MoonBird	233
261	ogoa	233
263	JEWISHBadenBeele	232
263	AlexxO_o	232
265	RedcatVII	231
266	tuckerdoodle	227
267	Darkgon	226
268	wwwwinnebagoooo	225
269	Flores991	223
270	__tomato	222
271	2Stout	221
272	Froste131	217
272	CSG_Haru	217
272	brofrickcheaters	217
275	Hashinshin69	215
276	Hpdinosaur	214
276	Malorn_Aetherius	214
276	Comma__	214
279	stavgod	213
280	Wooptey	212
280	Airem_Core	212
282	Valoth	210
282	anbbang	210
282	Quotary	210
282	UrbanPlanner1978	210
286	Jorrdi	209
287	Aezekial	208
288	Deodorante	205
289	TooManyDuck	203
290	6king6colt6	202
290	Groundler	202
292	fanofbands101	200
292	lotarp	200
292	AuroraSkies	200
292	MissCeleste7	200
296	SquadMonster	199
296	theonlymagikarp	199
296	Ze_BaronKrigler	199
299	SaucyDark	198
299	Xalithia	198
