rank	username	minecraft:killed/minecraft:drowned
1	thewindmillman	764029
2	Skippeh	11503
3	HellsSponge	5193
4	Dedalus36	2892
5	YungMaki	2780
6	pappaberg	2176
7	Xalithia	1937
8	Freak_Genius	1310
9	MightyWertu	1289
10	beeperbeeper5	856
11	12Magner05	616
12	wezzzi	486
13	Zythose	445
14	Hyp3rion_	396
15	pintsizedrogue	387
16	Bumpy419	383
17	CoffeeNoir	381
18	Enderslayerxz3	342
19	ImpavidArcher	338
20	Ezekson	331
21	joethahobo	316
22	calamariclam_I	314
23	500am	295
24	rarrq	290
25	Arceus1975	287
26	fluddd	280
27	_TCARREIRA_	272
28	EcksD	270
29	Blackberry1310	259
30	Kowcio_	250
31	IdeallyGrey	240
32	stavgod	234
33	SaucyDark	230
34	bloomkieren	228
35	noam464	212
36	Blaiku	210
37	Merv__	202
38	TheShyPig	193
39	_Dean_123	190
40	kekhon	178
41	Mahoose	177
42	Covalents	176
43	Legendosh	168
44	Dusk_95	167
45	Steelynan	166
45	Smoke____	166
47	Fullut	164
47	claivin	164
47	Frozil12	164
50	chipklip	156
51	Blu3beast	151
52	TheSecondLord	144
53	Lord_Jord	140
54	Maenara	136
54	Spacewardharpy7	136
56	Snowflowe	132
56	SammiWolfGirl	132
58	thescout7	127
59	PlasticOtari	126
60	himak1	121
61	Zaridey	118
62	Eraxa	116
63	youhjjhhhjj	115
64	EMC_	113
64	obzii	113
66	T045RTY	109
66	Di_infiri	109
68	Rasmanden	108
68	pixelviolin	108
68	Segotep999	108
71	lizardfightclub	105
71	h2p_emrld	105
73	QueenShuvi	101
74	EveryonesUncle	100
75	CalebDHawk	99
76	diggydog67	97
77	Akoot_	96
78	SuperPooch06	95
79	Rumpletaezer	94
80	BumbleBeever	92
81	DarlaMeow	91
82	NomadicRobin_	88
82	vandmanden	88
84	sp00ky_ghost977	87
85	6king6colt6	86
85	Soplight	86
87	selectrix	81
88	Wowful	78
89	Nicky_H225	76
89	Sky_light_KING	76
91	Racengan	75
92	Xclax101	74
93	Kouridragon	73
94	Kim_Jong_eel	72
95	gcaisawesome	71
95	Eczbek	71
97	Euclidoris	70
97	AltnumberF4	70
99	PhantomsGhost_	69
99	HesDemonPants	69
101	livingdaydreams	68
102	CollinMH06	67
102	Inbefour	67
102	ProbsNotNova	67
102	Dogcorn69420	67
106	MinttyFressh	66
107	titanlax	65
107	Chromary	65
109	Kubelz	64
109	MyNameIsJobo	64
109	Kubeusz2010	64
112	Spenduh	63
113	eitanzaki	61
113	GlitchyPlate810	61
113	oxfordschool	61
116	Nach0Bear	60
116	Fuhrer_Teemo	60
118	Jovaphobic	59
118	CharlieButt	59
118	fred870d	59
121	set67	58
121	AssFullaCum	58
123	Mr_Byzantine	56
123	ratglock	56
125	NieToksikpl	55
126	Masssonnn	53
127	KarlKaek	52
127	m_be9	52
129	Bandito_Roamer	51
129	jacxhadow	51
129	Winklepicker279	51
129	Dan_Scha	51
129	Barlycorn	51
134	Inchef	50
134	Karetoko	50
134	lcvezra	50
137	ROY4LE	49
137	MangoTheFish	49
137	Skylord_Luke	49
137	NameGenerat0r	49
137	Jordan_R	49
142	MrKrabOnCoke	48
142	Chickenchaser2	48
142	wwwwinnebagoooo	48
142	RoboTramp7865	48
146	SteveCraftBlocks	47
146	burbankbuilder28	47
146	Hisiste	47
149	whoaluv	46
149	Donutt	46
151	RodSerlingCringe	45
151	jnp_gaming	45
153	CrateOfBoxes	44
154	teslawolf38	43
154	Kkanot	43
154	lordpipe	43
157	Tommhh	42
158	ivorico	41
159	_Virify_	40
159	SlayerCrypto	40
159	AnnieBathory	40
159	NoChumpChange	40
159	_Karmaa	40
159	DanTheBuilderino	40
159	RadarHz	40
159	Powowowow	40
167	WyngGoy	39
168	mwrty	38
168	platinumzero	38
170	I_Am_Mushkin	37
170	Jackattack53	37
170	ToastedGamingYT	37
170	IAmTheWalrus910	37
170	alderban107	37
175	Alteriity	36
175	Comma__	36
175	mimbo1211	36
175	M_Patata	36
175	Russiancat1	36
175	El_Jalapeno	36
181	Gary_	35
181	smogfrog	35
183	Kakolbus	34
183	PigDab	34
185	XboxPanda	33
185	_naturell	33
185	Jiminie	33
185	stahouo	33
185	Hermanni__	33
185	Zoeyfortnite	33
191	hm947	32
191	ThePoliteG	32
191	gabriels543	32
191	jambvds	32
191	Nicserso	32
191	EcksDofficial	32
191	JayToe	32
198	ExtraDumb	31
198	Ryker	31
198	jushykins	31
198	Werbe	31
198	censorsheep	31
198	djancak	31
204	Lukeee33	30
204	RatatJuice	30
204	_Razar	30
204	Tmb1	30
204	TheTrueClipse	30
209	KingFaenor	29
209	Wooptey	29
209	Megarboh	29
209	corvidpartyfor6	29
209	SkateboardR6	29
