rank	username	minecraft:killed/minecraft:strider
1	noam464	41
2	Spacewardharpy7	27
3	joethahobo	11
3	Hyp3rion_	11
5	eitanzaki	7
6	Secret_Canary	6
6	Zythose	6
6	Soplight	6
9	CLG_Kata	5
9	M_Patata	5
9	PigDab	5
9	lizardfightclub	5
9	MasterNueve	5
9	diggydog67	5
15	k_ce	4
15	Di_infiri	4
15	thewindmillman	4
15	Racengan	4
15	Skippeh	4
15	2blox_	4
21	ECstardust	3
21	ITDV	3
21	SuperPooch06	3
21	Moofyman	3
21	Luminad3	3
21	LeonelSalamanca	3
21	EveryonesUncle	3
21	NameGenerat0r	3
21	Nicserso	3
30	_Virify_	2
30	Cowison	2
30	bigstankyy	2
30	hm947	2
30	Killercatty78	2
30	RebelAndroid	2
30	T045RTY	2
30	Swexti	2
30	Miroryk	2
30	Fullut	2
30	Marbz_	2
30	whoaluv	2
30	burbankbuilder28	2
30	fw3xy74	2
30	DTwenty	2
30	Eraxa	2
30	_Yonk_	2
30	AltnumberF4	2
48	pintsizedrogue	1
48	NatalieTW	1
48	Badenbeele	1
48	PazinGaming	1
48	Merv__	1
48	KarlKaek	1
48	CoffeeNoir	1
48	Huwulling	1
48	Mahoose	1
48	Myrlewen	1
48	Da_Boss_Rani	1
48	beeperbeeper5	1
48	rarrq	1
48	TheSecondLord	1
48	12Magner05	1
48	TheThomas69	1
48	noodlepack	1
48	_Dean_123	1
48	500am	1
48	mwrty	1
48	Awyrlas	1
48	ROY4LE	1
48	Winklepicker279	1
48	yheece	1
48	Jackattack53	1
48	F_Uhre	1
48	lillips	1
48	Mr_Gulle	1
48	DarlaMeow	1
48	Shogunite	1
48	MAns_44	1
48	FreakGenius	1
48	SingedBread	1
48	wwwwinnebagoooo	1
48	Druid95	1
48	IdeallyGrey	1
48	Kowcio_	1
48	Segotep999	1
48	Spenduh	1
48	Sheldor097	1
48	Steelynan	1
48	VentiHilton	1
48	Erased_Identity	1
48	amkold	1
48	EcksD	1
48	smogfrog	1
48	Jordan_R	1
48	FishisTTV	1
